fixationid,aoi_id,world_timestamp
0,Dashboard|9,522967.863231
0,Mid|2,522967.863231
1,Mid|2,522967.963762
1,Dashboard|9,522967.963762
1,Left|2,522968.064293
2,Mid|2,522968.164824
2,Dashboard|9,522968.164824
2,Left|2,522968.198335
3,Mid|2,522968.265356
3,Dashboard|9,522968.265356
3,Left|1,522968.265356
4,Mid|2,522968.399397
4,Dashboard|8,522968.399397
5,Mid|4,522968.902053
6,Dashboard|6,522969.270668
7,Left|9,522969.639282
9,Left|7,522970.348846
10,Left|7,522970.482889
10,Right|9,522970.650444
11,Left|9,522970.784488
12,Left|9,522970.985553
13,Mid|5,522971.722794
14,Mid|5,522971.92386
15,Mid|8,522972.057903
16,Mid|9,522972.258969
17,Right|7,522972.359502
19,Right|7,522972.594078
19,Mid|8,522972.6611
20,Right|9,522973.532384
21,Right|9,522973.632917
24,Right|5,522974.336647
25,Right|5,522974.470691
26,Dashboard|7,522975.274953
26,Mid|2,522975.308464
27,Dashboard|4,522975.408997
28,Dashboard|4,522975.576551
29,Dashboard|5,522975.87815
30,Dashboard|5,522975.978683
31,Dashboard|5,522976.079215
32,Left|9,522976.61539
33,Left|9,522976.715923
34,Mid|8,522976.849967
35,Mid|8,522976.984011
37,Left|4,522978.156893
38,Left|4,522978.257426
39,Right|4,522979.162221
40,Left|8,522979.564353
41,Mid|1,522979.698396
42,Dashboard|5,522980.067017
42,Left|1,522980.134038
43,Dashboard|5,522980.167549
44,Dashboard|8,522980.234571
44,Mid|2,522980.234571
44,Left|2,522980.268082
45,Dashboard|9,522980.335104
45,Mid|2,522980.335104
46,Mid|2,522980.502659
46,Dashboard|8,522980.502659
52,Dashboard|4,522982.915446
53,Dashboard|1,522983.04949
54,Dashboard|1,522983.217044
55,Dashboard|4,522983.753219
56,Mid|3,522983.920774
56,Left|1,522983.987796
56,Dashboard|6,522984.021307
60,Right|7,522986.266539
61,Right|7,522986.367072
63,Mid|9,522986.936758
64,Right|9,522988.042619
65,Right|8,522988.344217
66,Right|5,522988.44475
67,Right|5,522988.545283
68,Mid|1,522989.718165
69,Mid|5,522990.488917
69,Left|6,522990.522428
70,Mid|5,522990.555939
71,Mid|5,522991.025092
72,Mid|8,522992.164464
73,Mid|1,522993.370857
74,Mid|2,522993.538412
75,Mid|5,522994.677784
76,Mid|5,522995.180448
77,Mid|5,522995.280981
78,Mid|5,522995.415024
79,Mid|8,522995.917688
80,Mid|8,522996.018221
81,Mid|8,522996.118754
82,Mid|8,522996.286309
83,Mid|5,522996.822484
84,Mid|5,522996.956527
85,Mid|5,522997.023549
86,Mid|5,522997.124082
87,Right|4,522997.258126
88,Right|4,522997.358658
89,Right|1,522997.459191
90,Right|1,522997.559724
91,Right|3,522997.961855
91,Left|2,522997.995366
92,Right|3,522998.095899
92,Left|2,522998.12941
93,Mid|5,522998.49803
94,Mid|2,522998.632074
95,Mid|8,522999.000694
96,Dashboard|8,522999.134738
96,Mid|2,522999.134738
97,Mid|2,522999.737935
97,Dashboard|7,522999.737935
98,Mid|5,522999.972511
99,Dashboard|1,523000.27411
99,Left|5,523000.341132
101,Left|4,523001.514014
102,Left|4,523001.681569
103,Left|8,523002.78743
104,Right|4,523004.027334
105,Right|1,523004.529998
105,Left|1,523004.59702
106,Right|6,523005.334261
106,Left|2,523005.367772
107,Right|6,523005.468304
107,Left|2,523005.501815
108,Right|6,523005.66937
108,Left|2,523005.66937
109,Right|6,523005.870436
109,Left|1,523005.937458
110,Right|6,523005.970968
111,Left|2,523006.3731
111,Right|6,523006.3731
112,Right|6,523006.540654
113,Right|4,523006.942786
114,Right|5,523007.177362
115,Right|5,523007.311406
115,Left|3,523007.378428
116,Left|3,523007.780559
116,Right|6,523007.780559
117,Right|6,523007.881092
117,Left|2,523007.948114
118,Right|6,523008.115668
118,Left|2,523008.115668
119,Right|6,523008.216201
119,Left|2,523008.283223
120,Mid|3,523008.819398
120,Left|2,523008.852909
121,Left|1,523008.919931
121,Mid|3,523008.919931
122,Mid|3,523009.489617
122,Left|2,523009.556638
123,Left|1,523009.657171
124,Mid|3,523009.791215
124,Left|1,523009.891748
125,Left|1,523009.992281
129,Right|4,523012.204002
130,Right|8,523012.405068
131,Right|8,523012.505601
132,Right|6,523012.874221
133,Right|6,523013.343374
135,Left|2,523016.526913
136,Left|2,523016.660956
137,Mid|3,523017.264153
137,Left|2,523017.264153
138,Left|4,523017.699795
139,Mid|3,523018.872678
140,Mid|3,523018.9397
140,Left|1,523018.973211
141,Left|2,523019.341831
141,Right|2,523019.341831
142,Mid|3,523019.643429
142,Left|2,523019.743962
143,Right|1,523020.146094
143,Left|1,523020.179605
144,Right|1,523020.280137
144,Left|1,523020.313648
145,Left|8,523020.782801
146,Mid|6,523021.318976
147,Right|4,523021.687597
148,Right|4,523021.788129
149,Right|4,523021.922173
150,Mid|5,523023.061545
151,Left|5,523024.267938
152,Left|3,523025.876463
155,Mid|5,523026.915302
156,Mid|5,523027.015835
157,Dashboard|9,523027.384455
157,Mid|2,523027.384455
158,Mid|2,523027.518499
158,Dashboard|9,523027.518499
159,Mid|5,523028.121696
160,Right|2,523028.62436
160,Left|2,523028.657871
161,Right|2,523028.858936
161,Left|2,523028.892447
162,Right|2,523028.959469
162,Left|2,523028.99298
163,Right|2,523029.060002
163,Left|2,523029.127024
164,Left|1,523029.596177
164,Right|1,523029.596177
165,Right|1,523029.69671
166,Right|2,523030.333417
167,Right|1,523030.467461
167,Left|2,523030.500972
168,Right|1,523030.601505
168,Left|3,523030.768404
172,Left|1,523032.712036
173,Right|3,523032.87959
173,Left|2,523032.87959
174,Left|2,523033.382253
175,Left|2,523033.482786
176,Left|1,523033.985449
176,Right|1,523033.985449
177,Mid|3,523035.057797
178,Mid|3,523035.627482
178,Left|2,523035.627482
179,Mid|3,523035.728015
180,Mid|3,523035.895569
181,Mid|5,523036.733341
182,Left|1,523037.202494
182,Right|1,523037.202494
183,Right|1,523037.303026
183,Left|1,523037.370048
184,Left|2,523038.107288
184,Right|1,523038.107288
185,Mid|5,523038.710484
186,Dashboard|1,523038.878038
187,Dashboard|7,523039.414212
187,Mid|1,523039.414212
191,Mid|2,523041.022734
192,Dashboard|7,523041.156778
192,Mid|2,523041.156778
193,Dashboard|5,523043.50254
194,Dashboard|5,523043.837649
195,Mid|2,523044.742442
196,Mid|5,523045.41266
197,Mid|2,523046.1499
197,Dashboard|8,523046.1499
