fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
0,522967.863231,19,522967.8531695,92.79500000411645,0.6605988659036963,0.5747286677360535,0.053764756768941796,0.574636697769165,0.0538657829165458,True,2,1.0,522967.963762,2.0,2 -> 2.0,0.10053100000368431
1,522967.963762,22,522967.9661375,181.5564999706112,1.494890002098766,0.5791074335575104,0.07239251087109243,0.5800095200538635,0.0698218867182731,True,2,2.0,522968.164824,2.0,2 -> 2.0,0.20106199994916096
2,522968.164824,28,522968.1517285,92.79549994971605,0.5435305879599621,0.5793108940124512,0.11206268519163126,0.5796598196029663,0.1112872809171676,True,2,3.0,522968.265356,2.0,2 -> 2.0,0.1005320000112988
3,522968.265356,31,522968.2727665,117.0024999883026,0.7805129137500773,0.591237735748291,0.08584707528352732,0.5900622010231018,0.0858293697237968,True,2,4.0,522968.399397,2.0,2 -> 2.0,0.1340409999829717
4,522968.399397,35,522968.413977,80.69100003922358,1.408509055121997,0.5174852460622787,0.05161025468260045,0.5203611850738525,0.0510562919080257,True,2,5.0,522968.902053,4.0,2 -> 4.0,0.502656000026036
5,522968.902053,50,522968.895428,217.86699997028336,0.8688647697183173,0.13800900216613493,0.6162947756903512,0.1796496212482452,0.6174390316009521,True,4,13.0,522971.722794,5.0,4 -> 5.0,2.8207410000031814
13,522971.722794,134,522971.7384755,177.52199998358265,1.4894947438204131,0.3837667235306331,0.5695915988513401,0.3869961202144623,0.5674940943717957,True,5,14.0,522971.92386,5.0,5 -> 5.0,0.20106599997961894
14,522971.92386,140,522971.92003200005,96.82999993674456,1.4624755605414907,0.4296792820096016,0.5656703412532806,0.4281489849090576,0.547227680683136,True,5,15.0,522972.057903,8.0,5 -> 8.0,0.13404299999820068
15,522972.057903,144,522972.065277,80.69150004303083,1.4495752084624185,0.5581327676773071,0.8620420396327972,0.5663625001907349,0.7777922749519348,True,8,16.0,522972.258969,9.0,8 -> 9.0,0.2010660000378266
16,522972.258969,150,522972.246833,80.69199998863041,1.4808518030866102,0.806633989016215,0.9767658511797587,0.8326288461685181,0.9696074724197388,True,9,19.0,522972.6611,8.0,9 -> 8.0,0.40213100000983104
19,522972.6611,162,522972.5978425,121.03750003734604,1.3863887096811365,0.5549084544181824,0.8994624018669128,0.5549084544181824,0.8994624018669128,True,8,26.0,522975.308464,2.0,8 -> 2.0,2.647363999974914
