fixationid,aoi_id,world_timestamp,next_fixation_id,next_aoi,next_world_timestamp,transition_duration,transition
0,Dashboard|9,522967.863231,0.0,Mid|2,522967.863231,0.0,Dashboard|9 -> Mid|2
0,Mid|2,522967.863231,1.0,Mid|2,522967.963762,0.10053100000368431,Mid|2 -> Mid|2
1,Mid|2,522967.963762,1.0,Dashboard|9,522967.963762,0.0,Mid|2 -> Dashboard|9
1,Dashboard|9,522967.963762,1.0,Left|2,522968.064293,0.10053099994547665,Dashboard|9 -> Left|2
1,Left|2,522968.064293,2.0,Mid|2,522968.164824,0.10053100000368431,Left|2 -> Mid|2
2,Mid|2,522968.164824,2.0,Dashboard|9,522968.164824,0.0,Mid|2 -> Dashboard|9
2,Dashboard|9,522968.164824,2.0,Left|2,522968.198335,0.03351100004510954,Dashboard|9 -> Left|2
2,Left|2,522968.198335,3.0,Mid|2,522968.265356,0.06702099996618927,Left|2 -> Mid|2
3,Mid|2,522968.265356,3.0,Dashboard|9,522968.265356,0.0,Mid|2 -> Dashboard|9
3,Dashboard|9,522968.265356,3.0,Left|1,522968.265356,0.0,Dashboard|9 -> Left|1
3,Left|1,522968.265356,4.0,Mid|2,522968.399397,0.1340409999829717,Left|1 -> Mid|2
4,Mid|2,522968.399397,4.0,Dashboard|8,522968.399397,0.0,Mid|2 -> Dashboard|8
4,Dashboard|8,522968.399397,5.0,Mid|4,522968.902053,0.502656000026036,Dashboard|8 -> Mid|4
5,Mid|4,522968.902053,6.0,Dashboard|6,522969.270668,0.3686149999848567,Mid|4 -> Dashboard|6
6,Dashboard|6,522969.270668,7.0,Left|9,522969.639282,0.36861400003544986,Dashboard|6 -> Left|9
7,Left|9,522969.639282,9.0,Left|7,522970.348846,0.7095639999606647,Left|9 -> Left|7
9,Left|7,522970.348846,10.0,Left|7,522970.482889,0.13404299999820068,Left|7 -> Left|7
10,Left|7,522970.482889,10.0,Right|9,522970.650444,0.16755500005092472,Left|7 -> Right|9
10,Right|9,522970.650444,11.0,Left|9,522970.784488,0.13404399994760752,Right|9 -> Left|9
11,Left|9,522970.784488,12.0,Left|9,522970.985553,0.2010650000302121,Left|9 -> Left|9
12,Left|9,522970.985553,13.0,Mid|5,522971.722794,0.7372409999952652,Left|9 -> Mid|5
13,Mid|5,522971.722794,14.0,Mid|5,522971.92386,0.20106599997961894,Mid|5 -> Mid|5
14,Mid|5,522971.92386,15.0,Mid|8,522972.057903,0.13404299999820068,Mid|5 -> Mid|8
