surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|2,7,827.0880000200123,118.15542857428747
Dashboard,Dashboard|3,5,512.3920000041835,102.4784000008367
Dashboard,Dashboard|4,2,270.3170001041144,135.1585000520572
Dashboard,Dashboard|5,7,847.260499955155,121.03721427930785
Dashboard,Dashboard|6,7,992.5054999766871,141.7864999966696
Dashboard,Dashboard|7,5,504.3225000263192,100.86450000526384
Dashboard,Dashboard|8,11,1307.2040000115521,118.83672727377747
Dashboard,Dashboard|9,5,669.7405001032166,133.94810002064332
Left,Left|1,47,5813.825499964878,123.69841489286975
Left,Left|2,96,12656.473999726586,131.83827083048527
Left,Left|3,18,2642.648500041105,146.81380555783915
Left,Left|4,10,1129.6820000279695,112.96820000279695
Left,Left|5,22,2715.2714999974705,123.42143181806684
Left,Left|6,10,1141.7835000902414,114.17835000902414
Left,Left|7,6,702.0150001044385,117.00250001740642
Left,Left|8,8,1053.9894998073578,131.74868747591972
Left,Left|9,7,806.9155000266619,115.2736428609517
Mid,Mid|1,5,540.6325000221841,108.12650000443682
Mid,Mid|2,43,5632.26850022329,130.9829883772858
Mid,Mid|3,21,2646.6829999699257,126.0325238080917
Mid,Mid|4,15,1916.4219998638146,127.76146665758763
Mid,Mid|5,45,5648.407500295434,125.52016667323187
Mid,Mid|6,29,3138.9025000389665,108.23801724272299
Mid,Mid|7,10,968.2990000583231,96.82990000583231
Mid,Mid|8,32,3675.5015002563596,114.85942188301124
Mid,Mid|9,30,4151.578000048175,138.38593333493918
Right,Right|1,25,3009.7959999693558,120.39183999877423
Right,Right|2,20,2190.777500043623,109.53887500218116
Right,Right|3,40,4849.560999893583,121.23902499733958
Right,Right|4,37,4103.164500382263,110.89633784816928
Right,Right|5,84,10502.010000112932,125.023928572773
Right,Right|6,85,11345.234499603976,133.4733470541644
Right,Right|7,34,4099.127999972552,120.56258823448682
Right,Right|8,19,2041.49800009327,107.4472631628037
Right,Right|9,4,338.9039999456145,84.72599998640362
