fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
8,Mid,523154.490216,58,523154.4882905,137.1754999854602,1.121582011382304,0.39921672940254205,0.5939224481582641,0.4038190841674804,0.5814827084541321,True,5,Mid|5,9.0,523154.724792,Left|6,Mid|5 -> Left|6,0.23457600001711398,Mid,Left
9,Left,523154.724792,65,523154.730365,161.38350003166124,1.4689215627330443,0.9075019856293997,0.5187606066465378,0.929571568965912,0.3632115721702575,True,6,Left|6,10.0,523155.260965,Right|7,Left|6 -> Right|7,0.5361730000004172,Left,Right
11,Right,523155.327987,83,523155.339587,104.89899996900932,1.2827057947185807,0.26667516678571695,0.9909958243370056,0.2559436559677124,0.998020589351654,True,7,Right|7,12.0,523156.23278,Mid|4,Right|7 -> Mid|4,0.9047930000233464,Right,Mid
14,Mid,523156.735443,125,523156.727482,112.96900000888854,1.4169127634799992,0.69893479347229,0.5726799219846725,0.6966188549995422,0.587689220905304,True,6,Mid|6,18.0,523158.478008,Left|3,Mid|6 -> Left|3,1.7425650000222959,Mid,Left
20,Left,523159.148225,197,523159.124023,96.82999993674456,1.4705589762876885,0.5708547830581665,0.0377443954348564,0.5708547830581665,0.0377443954348564,True,2,Left|2,21.0,523159.315779,Mid|3,Left|2 -> Mid|3,0.16755399998510256,Left,Mid
21,Mid,523159.315779,202,523159.3297865,153.31400005379692,1.4668816202095,0.8770791292190552,0.05566830746829505,0.8775944709777832,0.0555074997246265,True,3,Mid|3,22.0,523159.985997,Right|3,Mid|3 -> Right|3,0.6702180000138469,Mid,Right
22,Right,523159.985997,222,523159.9712845,117.00299999210984,1.4270278650612798,0.9572492986917496,0.027003645431250275,0.9569942951202391,0.0295755267143249,True,3,Right|3,22.0,523160.053018,Left|2,Right|3 -> Left|2,0.06702099996618927,Right,Left
22,Left,523160.053018,224,523159.9712845,117.00299999210984,1.4270278650612798,0.596027672290802,0.1370678395032882,0.596027672290802,0.1370678395032882,True,2,Left|2,23.0,523160.455149,Right|2,Left|2 -> Right|2,0.40213100000983104,Left,Right
23,Right,523160.455149,236,523160.4433305,129.1069999570027,1.0972636898501709,0.36999749541282656,0.2006163895130157,0.382276713848114,0.2051968872547149,True,2,Right|2,23.0,523160.488659,Left|2,Right|2 -> Left|2,0.03351000003749505,Right,Left
27,Left,523162.968463,311,523162.8560095,173.48700005095452,1.2082992558928238,0.5541423559188843,0.0520857162773609,0.5541423559188843,0.0520857162773609,True,2,Left|2,28.0,523163.370593,Mid|3,Left|2 -> Mid|3,0.40213000000221655,Left,Mid
28,Mid,523163.370593,323,523163.3603325,133.1404999946244,1.4841765877913589,0.7214515924453735,0.2823848307132721,0.716981828212738,0.2953817844390869,True,3,Mid|3,29.0,523163.739213,Right|7,Mid|3 -> Right|7,0.3686199999647215,Mid,Right
29,Right,523163.739213,334,523163.747652,173.4864999889396,1.3905621223606317,0.06527094170451161,0.9590566953023275,0.0667783692479133,0.9597068428993224,True,7,Right|7,30.0,523164.074321,Dashboard|3,Right|7 -> Dashboard|3,0.3351080000284128,Right,Dashboard
30,Dashboard,523164.074321,344,523164.0179685,88.76099996268749,1.4373332188957144,0.9841122031211853,0.328205406665802,0.990595281124115,0.3304883539676666,True,3,Dashboard|3,37.0,523167.257853,Right|4,Dashboard|3 -> Right|4,3.1835319999954663,Dashboard,Right
38,Right,523167.358386,442,523167.370705,117.0024999883026,1.273846115453437,0.12782244384288782,0.5378090381622315,0.1363956332206726,0.5398357510566711,True,4,Right|4,39.0,523167.827538,Mid|8,Right|4 -> Mid|8,0.46915200003422797,Right,Mid
