fixationid,aoi_id,world_timestamp
2,Mid|4,523153.149781
7,Mid|5,523154.389683
8,Mid|5,523154.490216
9,Left|6,523154.724792
10,Right|7,523155.260965
11,Right|7,523155.327987
12,Mid|4,523156.23278
13,Mid|4,523156.333313
14,Mid|6,523156.735443
18,Left|3,523158.478008
20,Left|2,523159.148225
21,Mid|3,523159.315779
22,Right|3,523159.985997
22,Left|2,523160.053018
23,Right|2,523160.455149
23,Left|2,523160.488659
25,Left|2,523161.460474
26,Left|1,523162.800909
27,Left|2,523162.968463
28,Mid|3,523163.370593
29,Right|7,523163.739213
30,Dashboard|3,523164.074321
37,Right|4,523167.257853
38,Right|4,523167.358386
39,Mid|8,523167.827538
40,Right|5,523168.29669
41,Right|5,523168.899885
42,Right|5,523169.603613
43,Right|5,523170.407874
46,Right|6,523171.513732
48,Mid|5,523172.250971
51,Mid|9,523174.16109
52,Right|5,523175.065884
53,Right|5,523175.568547
54,Right|5,523175.635568
55,Right|5,523176.071209
55,Dashboard|6,523176.071209
56,Right|5,523176.171742
56,Left|3,523176.372807
57,Right|5,523176.372807
57,Left|3,523176.372807
58,Right|5,523177.24409
59,Left|2,523177.512176
59,Right|5,523177.512176
60,Right|6,523178.148883
61,Right|5,523178.282926
61,Left|2,523178.282926
60,Left|2,523178.282926
62,Right|5,523178.41697
62,Left|2,523178.41697
63,Right|6,523178.886122
64,Right|6,523179.087187
65,Mid|6,523179.757404
67,Right|8,523181.566991
68,Right|5,523181.667523
69,Right|5,523182.170186
70,Right|5,523182.404762
71,Right|5,523182.505295
72,Right|6,523182.806892
72,Left|2,523182.806892
73,Right|6,523182.940936
74,Right|6,523183.544131
75,Right|3,523183.912751
76,Mid|5,523184.683501
77,Right|5,523184.918077
78,Right|5,523185.018609
79,Right|5,523185.152653
80,Right|5,523185.588294
81,Right|5,523185.688826
81,Left|2,523185.82287
82,Mid|5,523186.325533
83,Right|5,523186.794685
84,Mid|7,523187.263837
85,Mid|8,523187.39788
86,Mid|8,523187.531924
87,Left|5,523188.771825
88,Mid|2,523189.676619
89,Right|7,523190.346836
90,Right|5,523191.184607
91,Right|5,523191.318651
92,Right|8,523191.419183
93,Right|5,523192.089401
93,Mid|8,523192.189933
94,Right|5,523192.45802
95,Right|5,523192.692596
96,Right|5,523192.793129
97,Right|5,523192.994194
98,Right|5,523193.061216
99,Right|5,523193.195259
100,Right|6,523194.200585
102,Left|5,523195.1724
103,Left|5,523195.473997
107,Right|5,523197.953801
108,Right|6,523198.892105
111,Left|2,523202.042126
113,Right|6,523202.846387
114,Mid|9,523203.248517
115,Mid|6,523203.382561
116,Mid|6,523203.483093
117,Left|6,523204.019267
118,Left|6,523204.086289
119,Mid|8,523204.488419
120,Mid|8,523204.722995
121,Left|9,523205.192147
123,Left|9,523206.063429
130,Left|2,523208.476211
130,Right|6,523208.476211
131,Mid|5,523210.419841
132,Right|8,523210.788461
133,Right|8,523210.855482
135,Mid|7,523211.827297
136,Right|4,523212.799112
137,Mid|9,523213.268264
138,Mid|5,523213.770927
139,Mid|5,523213.938481
140,Mid|8,523214.106036
141,Right|7,523214.508166
142,Right|7,523214.608699
143,Right|7,523215.111362
144,Right|7,523215.245405
146,Left|2,523215.81509
146,Right|6,523215.848601
148,Right|6,523217.088502
149,Right|6,523217.222546
150,Mid|9,523217.75872
151,Left|2,523218.127339
155,Right|9,523219.166176
156,Mid|8,523220.137991
157,Mid|5,523220.238523
158,Right|1,523220.942251
159,Right|3,523222.617794
159,Left|2,523222.651305
160,Right|3,523223.455566
160,Left|2,523223.522588
161,Mid|5,523223.958229
162,Left|3,523224.360359
163,Mid|2,523224.829511
163,Dashboard|7,523224.829511
164,Dashboard|7,523224.930044
164,Mid|2,523224.930044
165,Mid|2,523225.030576
165,Dashboard|8,523225.030576
165,Left|2,523225.131109
166,Dashboard|8,523225.265152
166,Mid|2,523225.265152
167,Right|7,523225.96888
168,Right|4,523228.381662
169,Mid|2,523228.951347
170,Left|9,523229.45401
171,Left|6,523229.655075
172,Dashboard|9,523230.124227
172,Mid|2,523230.124227
172,Left|1,523230.191249
173,Right|5,523230.492846
174,Right|5,523230.559868
177,Right|6,523231.833281
178,Right|6,523231.933813
178,Left|2,523231.967324
179,Right|6,523232.101368
179,Left|2,523232.168389
180,Mid|2,523233.34127
182,Right|3,523234.882769
182,Left|3,523235.016813
183,Mid|6,523235.351921
184,Left|1,523235.787562
184,Right|6,523235.787562
185,Right|2,523237.329062
185,Left|1,523237.329062
186,Mid|6,523237.63066
188,Mid|2,523238.468431
189,Right|9,523238.837051
197,Right|6,523242.255158
197,Left|2,523242.288669
198,Left|1,523242.456224
198,Right|6,523242.456224
199,Mid|8,523242.958886
200,Mid|5,523243.126441
201,Mid|9,523245.103581
202,Mid|9,523245.204114
203,Right|4,523245.639755
204,Right|4,523245.773799
205,Right|4,523245.907842
207,Mid|9,523249.661059
208,Right|5,523250.0967
210,Right|5,523250.766917
211,Right|5,523250.90096
212,Right|5,523251.906286
213,Right|6,523252.710547
213,Left|3,523252.710547
214,Right|6,523252.911612
215,Right|6,523254.721198
216,Right|6,523254.955774
221,Dashboard|3,523256.128654
222,Right|6,523256.530785
223,Right|5,523256.73185
224,Mid|7,523257.201002
225,Mid|8,523257.335045
226,Mid|6,523257.5026
227,Right|5,523258.105795
228,Right|6,523258.340371
228,Left|2,523258.474415
229,Right|6,523258.507926
230,Mid|2,523259.07761
231,Right|5,523259.546762
231,Left|2,523259.580273
232,Mid|8,523259.982403
233,Right|6,523260.451556
233,Left|1,523260.485066
234,Left|2,523261.088262
234,Right|3,523261.088262
235,Left|1,523261.222305
235,Right|2,523261.222305
235,Dashboard|2,523261.255816
236,Right|2,523261.859012
237,Right|3,523262.495718
238,Right|5,523262.763805
239,Right|5,523263.132424
240,Right|6,523263.668598
241,Right|6,523263.769131
242,Right|5,523264.003707
243,Right|2,523264.171261
244,Right|3,523264.975522
244,Left|2,523265.009032
245,Right|3,523265.076054
246,Right|6,523266.248934
247,Right|6,523266.684575
248,Right|5,523267.25426
251,Right|4,523268.259586
252,Right|1,523268.360118
253,Right|4,523268.862781
254,Right|1,523268.996825
254,Left|2,523269.030336
255,Right|4,523269.164379
256,Right|1,523269.298423
256,Left|1,523269.298423
