fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
2,523153.149781,18,523153.1609135,88.76049995888025,1.0603122000749123,0.09030973166227335,0.49129055440425873,0.1042122840881347,0.495093286037445,True,4,7.0,523154.389683,5.0
7,523154.389683,55,523154.3833915,100.86450004018845,1.4920296557008583,0.3736925274133682,0.5940641760826111,0.3773022592067718,0.5867648124694824,True,5,8.0,523154.490216,5.0
8,523154.490216,58,523154.4882905,137.1754999854602,1.121582011382304,0.39921672940254205,0.5939224481582641,0.4038190841674804,0.5814827084541321,True,5,12.0,523156.23278,4.0
12,523156.23278,110,523156.2433325,84.72650003386661,1.412187985004225,0.2393333241343498,0.5033176094293594,0.240951731801033,0.4825854003429413,True,4,13.0,523156.333313,4.0
13,523156.333313,113,523156.3320935,197.694499976933,1.4272281072592286,0.23117039459092273,0.4613069806780134,0.225685566663742,0.4869371950626373,True,4,14.0,523156.735443,6.0
14,523156.735443,125,523156.727482,112.96900000888854,1.4169127634799992,0.69893479347229,0.5726799219846725,0.6966188549995422,0.587689220905304,True,6,21.0,523159.315779,3.0
21,523159.315779,202,523159.3297865,153.31400005379692,1.4668816202095,0.8770791292190552,0.05566830746829505,0.8775944709777832,0.0555074997246265,True,3,28.0,523163.370593,3.0
28,523163.370593,323,523163.3603325,133.1404999946244,1.4841765877913589,0.7214515924453735,0.2823848307132721,0.716981828212738,0.2953817844390869,True,3,39.0,523167.827538,8.0
39,523167.827538,456,523167.8145090001,80.69099998101592,1.3598024269647713,0.5533378918965658,0.8047318458557129,0.5544902086257935,0.7984474301338196,True,8,48.0,523172.250971,5.0
48,523172.250971,588,523172.115371,129.10649995319545,1.4597343902069757,0.3677877187728882,0.4056476354598999,0.3677877187728882,0.4056476354598999,True,5,51.0,523174.16109,9.0
51,523174.16109,645,523174.09635,217.86700002849105,1.377349278529178,0.8882868885993958,0.8819108605384827,0.8882868885993958,0.8819108605384827,True,9,65.0,523179.757404,6.0
65,523179.757404,812,523179.7609005,96.83000005315988,1.4127103641857064,0.951292872428894,0.5587087273597717,0.9566202759742736,0.5618938207626343,True,6,76.0,523184.683501,5.0
76,523184.683501,959,523184.6709845,117.00250004651024,1.221329892811178,0.5383842438459396,0.6584859937429428,0.5390298962593079,0.6540061831474304,True,5,82.0,523186.325533,5.0
82,523186.325533,1008,523186.3413005,133.14150006044656,1.3153415933951822,0.5237198829650879,0.6399330258369446,0.5363228917121887,0.6326009631156921,True,5,84.0,523187.263837,7.0
