from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,523153.149781,523154.389683,1.239902000001166
Mid,Mid,523154.389683,523154.490216,0.1005330000189133
Mid,Left,523154.490216,523154.724792,0.23457600001711398
Left,Right,523154.724792,523155.260965,0.5361730000004172
Right,Right,523155.260965,523155.327987,0.06702199997380376
Right,Mid,523155.327987,523156.23278,0.9047930000233464
Mid,Mid,523156.23278,523156.333313,0.10053299996070564
Mid,Mid,523156.333313,523156.735443,0.40213000000221655
Mid,Left,523156.735443,523158.478008,1.7425650000222959
Left,Left,523158.478008,523159.148225,0.6702170000062324
Left,Mid,523159.148225,523159.315779,0.16755399998510256
Mid,Right,523159.315779,523159.985997,0.6702180000138469
Right,Left,523159.985997,523160.053018,0.06702099996618927
Left,Right,523160.053018,523160.455149,0.40213100000983104
Right,Left,523160.455149,523160.488659,0.03351000003749505
Left,Left,523160.488659,523161.460474,0.9718149999971502
Left,Left,523161.460474,523162.800909,1.3404349999618717
Left,Left,523162.800909,523162.968463,0.16755400004331023
Left,Mid,523162.968463,523163.370593,0.40213000000221655
Mid,Right,523163.370593,523163.739213,0.3686199999647215
Right,Dashboard,523163.739213,523164.074321,0.3351080000284128
Dashboard,Right,523164.074321,523167.257853,3.1835319999954663
Right,Right,523167.257853,523167.358386,0.10053299996070564
Right,Mid,523167.358386,523167.827538,0.46915200003422797
Mid,Right,523167.827538,523168.29669,0.4691519999760203
Right,Right,523168.29669,523168.899885,0.6031950000324287
Right,Right,523168.899885,523169.603613,0.7037279999931343
Right,Right,523169.603613,523170.407874,0.8042610000120476
Right,Right,523170.407874,523171.513732,1.1058579999953508
Right,Mid,523171.513732,523172.250971,0.7372389999800362
Mid,Mid,523172.250971,523174.16109,1.9101190000073984
Mid,Right,523174.16109,523175.065884,0.9047939999727532
Right,Right,523175.065884,523175.568547,0.5026630000211298
Right,Right,523175.568547,523175.635568,0.06702100002439693
Right,Right,523175.635568,523176.071209,0.4356409999891184
Right,Dashboard,523176.071209,523176.071209,0.0
Dashboard,Right,523176.071209,523176.171742,0.10053299996070564
Right,Left,523176.171742,523176.372807,0.2010650000302121
Left,Right,523176.372807,523176.372807,0.0
Right,Left,523176.372807,523176.372807,0.0
Left,Right,523176.372807,523177.24409,0.8712829999858513
Right,Left,523177.24409,523177.512176,0.26808599999640137
