from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,4363.00846,4363.276542,0.2680819999995947
Mid,Left,4363.276542,4363.410583,0.1340410000002521
Left,Mid,4363.410583,4363.578134,0.16755100000045786
Mid,Mid,4363.578134,4364.482911,0.9047769999997399
Mid,Mid,4364.482911,4364.616952,0.1340410000002521
Mid,Mid,4364.616952,4364.784503,0.16755099999954837
Mid,Mid,4364.784503,4364.985565,0.20106200000009267
Mid,Mid,4364.985565,4365.186626,0.20106099999975413
Mid,Mid,4365.186626,4365.387688,0.20106200000009267
Mid,Mid,4365.387688,4365.588749,0.20106099999975413
Mid,Mid,4365.588749,4365.823321,0.23457200000029843
Mid,Mid,4365.823321,4366.024383,0.20106200000009267
Mid,Mid,4366.024383,4366.258954,0.2345709999999599
Mid,Mid,4366.258954,4366.493526,0.23457200000029843
Mid,Mid,4366.493526,4366.694587,0.20106099999975413
Mid,Mid,4366.694587,4366.929159,0.23457200000029843
Mid,Mid,4366.929159,4367.163731,0.23457199999938894
Mid,Mid,4367.163731,4367.364792,0.20106100000066363
Mid,Mid,4367.364792,4367.599364,0.23457199999938894
Mid,Mid,4367.599364,4369.509448,1.9100840000000971
Mid,Mid,4369.509448,4369.576469,0.06702099999984057
Mid,Mid,4369.576469,4369.677,0.10053100000004633
Mid,Mid,4369.677,4369.844551,0.16755100000045786
Mid,Mid,4369.844551,4370.012102,0.16755099999954837
Mid,Mid,4370.012102,4370.112633,0.10053100000004633
Mid,Mid,4370.112633,4370.313694,0.20106100000066363
Mid,Dashboard,4370.313694,4370.481246,0.1675519999998869
Dashboard,Dashboard,4370.481246,4370.715817,0.2345709999999599
Dashboard,Left,4370.715817,4370.849858,0.1340409999993426
Left,Left,4370.849858,4370.849858,0.0
Left,Dashboard,4370.849858,4370.849858,0.0
Dashboard,Left,4370.849858,4371.11794,0.2680820000005042
Left,Dashboard,4371.11794,4371.184961,0.06702099999984057
Dashboard,Dashboard,4371.184961,4371.285491,0.1005299999997078
Dashboard,Mid,4371.285491,4371.52222,0.2367290000001958
Mid,Mid,4371.52222,4371.756792,0.23457200000029843
Mid,Mid,4371.756792,4371.991365,0.23457299999972747
Mid,Mid,4371.991365,4372.192427,0.20106200000009267
Mid,Right,4372.192427,4372.359978,0.16755100000045786
Right,Right,4372.359978,4372.628061,0.26808299999993324
Right,Right,4372.628061,4372.728592,0.10053100000004633
Right,Mid,4372.728592,4373.097206,0.36861399999997957
