fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
0,5379.016616,0,5378.9432195,217.868499999895,0.3101011019529821,0.644584846496582,0.47030970454216003,0.647447407245636,0.4707458019256592,True,5,1.0,5379.15066,5.0
1,5379.15066,4,5379.1651225000005,217.868499999895,0.1432236582003274,0.6510873362421989,0.45865708217024803,0.649077832698822,0.4603763818740845,True,5,2.0,5379.385238,5.0
2,5379.385238,11,5379.3870255,217.86950000023356,0.1706412071853188,0.6568650305271149,0.45256544277071953,0.6493251919746399,0.4592120945453644,True,5,3.0,5379.619815,5.0
3,5379.619815,18,5379.6089295,217.868499999895,0.2151189205103917,0.6492653574262347,0.4583396996770586,0.6509158611297607,0.4557613134384155,True,5,4.0,5379.820881,5.0
4,5379.820881,24,5379.8308325,217.86950000023356,0.1483323762935593,0.6513760387897491,0.4396486096084118,0.6507148146629333,0.4560572206974029,True,5,5.0,5380.055459,5.0
5,5380.055459,31,5380.0527365,217.868499999895,0.1472455571216302,0.6496851940949758,0.44676331182320905,0.7397466897964478,0.3325022161006927,True,5,6.0,5380.290036,5.0
6,5380.290036,38,5380.2746395,217.86900000006423,0.3461312829184911,0.6339754632541111,0.461505583354405,0.653364896774292,0.456769734621048,True,5,7.0,5380.491103,5.0
7,5380.491103,44,5380.4965435,92.79550000064772,1.384377151755272,0.6401052077611288,0.45542694131533307,0.6462514400482178,0.4479671120643616,True,5,8.0,5380.759191,5.0
8,5380.759191,52,5380.746689,80.69200000045385,1.4995818158294474,0.6260849833488464,0.46846339106559753,0.6360429525375366,0.4711430966854095,True,5,9.0,5380.859724,5.0
9,5380.859724,55,5380.8314155,80.69200000045385,1.4123558754209036,0.6259714762369791,0.43329918384552,0.7573479413986206,0.2950212359428406,True,5,10.0,5380.926746,5.0
10,5380.926746,57,5380.9161425,96.8300000004092,1.4474888796860903,0.6303158551454544,0.4476136714220047,0.6287118196487427,0.4852501153945923,True,5,11.0,5381.02728,5.0
11,5381.02728,60,5381.017007500001,145.24600000004284,0.9153174111111876,0.6197889685630799,0.4772040605545044,0.6003851890563965,0.506713330745697,True,5,23.0,5384.378385,9.0
23,5384.378385,160,5384.3294205,92.79549999973824,1.426991661915794,0.7052932977676392,0.7159211337566376,0.7134245038032532,0.7104607820510864,True,9,24.0,5384.445408,8.0
24,5384.445408,162,5384.4464235,181.55750000005355,1.4569452515685382,0.6648095130920411,0.7281299710273743,0.4975388050079345,0.9474645853042604,True,8,25.0,5384.679985,5.0
25,5384.679985,169,5384.672361999999,217.8685000008045,1.3288610901490503,0.5362080740077155,0.37873137848717825,0.6838580369949341,0.3403617739677429,True,5,26.0,5384.881051,5.0
26,5384.881051,175,5384.894265,181.55750000005355,0.9295988736201476,0.4478221535682678,0.4280369281768799,0.6247472763061523,0.3318617641925812,True,5,28.0,5386.322027,1.0
28,5386.322027,218,5386.3104125,88.76150000014604,1.449752235306934,0.145182266831398,0.1884050816297531,0.145182266831398,0.1884050816297531,True,1,29.0,5386.42256,5.0
29,5386.42256,221,5386.4032085,157.34950000023673,1.457486120525154,0.48948771357536314,0.6620498836040497,0.4531111419200897,0.6593631505966187,True,5,30.0,5386.556604,5.0
30,5386.556604,225,5386.564592500001,108.93450000003212,1.4261479182874508,0.4503079950809479,0.6527546048164368,0.3721127212047577,0.7391757965087891,True,5,31.0,5386.690649,2.0
31,5386.690649,229,5386.677562000001,80.69199999954435,1.3425107865456989,0.41349969804286957,0.3033939599990845,0.1766500174999237,0.1938520073890686,True,2,32.0,5387.126292,5.0
32,5387.126292,242,5387.10523,100.86499999943044,1.450188229629556,0.5158507823944092,0.502462588250637,0.2827962636947632,0.1569235771894455,True,5,44.0,5390.309843,5.0
