fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
0,Mid,6534.240961,0,6534.207241,80.69249999971362,1.4997912134827942,0.5138023793697357,0.4675593674182892,0.5167592763900757,0.459531307220459,True,5,Mid|5,1.0,6534.307983,Right|1,Mid|5 -> Right|1,0.06702199999926961,Mid,Right
1,Right,6534.307983,2,6534.291968,177.52250000012282,1.472685917063384,0.1991414725780487,0.2024202942848205,0.1991414725780487,0.2024202942848205,True,1,Right|1,1.0,6534.307983,Mid|5,Right|1 -> Mid|5,0.0,Right,Mid
9,Mid,6538.09473,115,6538.0804675,173.48850000053062,0.375979058670255,0.43828487396240234,0.5672044356664022,0.4302303493022918,0.5731623768806458,True,5,Mid|5,10.0,6538.329307,Right|4,Mid|5 -> Right|4,0.23457700000017212,Mid,Right
10,Right,6538.329307,122,6538.322544500001,88.76099999906728,1.3452371666689011,0.25272357960542036,0.6491051812966665,0.2085068076848983,0.7338625192642212,True,4,Right|4,10.0,6538.362818,Mid|8,Right|4 -> Mid|8,0.033510999999634805,Right,Mid
20,Mid,6542.250098,239,6542.2522555,80.69200000045385,1.4938953541266633,0.4329528957605362,0.6145269870758057,0.5476917624473572,0.5101088285446167,True,5,Mid|5,20.0,6542.283609,Left|8,Mid|5 -> Left|8,0.033510999999634805,Mid,Left
20,Left,6542.283609,240,6542.2522555,80.69200000045385,1.4938953541266633,0.6084962487220764,0.8151156306266785,0.6084962487220764,0.8151156306266785,True,8,Left|8,21.0,6542.350631,Mid|5,Left|8 -> Mid|5,0.0670220000001791,Left,Mid
27,Mid,6543.456495,275,6543.458604,185.5920000007245,1.4158174313705103,0.5140720804532369,0.4781852463881175,0.5126878023147583,0.5408980250358582,True,5,Mid|5,27.0,6543.557028,Right|3,Mid|5 -> Right|3,0.10053299999981391,Mid,Right
27,Right,6543.557028,278,6543.458604,185.5920000007245,1.4158174313705103,0.7398986220359802,0.1247759237885475,0.7398986220359802,0.1247759237885475,True,3,Right|3,28.0,6543.657561,Mid|5,Right|3 -> Mid|5,0.10053299999981391,Right,Mid
28,Mid,6543.657561,281,6543.652265000001,80.69249999971362,1.4897322460008948,0.48355520764986676,0.46195536851882935,0.3873243033885956,0.4364736378192901,True,5,Mid|5,28.0,6543.724583,Right|3,Mid|5 -> Right|3,0.0670220000001791,Mid,Right
28,Right,6543.724583,283,6543.652265000001,80.69249999971362,1.4897322460008948,0.6795347929000854,0.1031535342335701,0.6795347929000854,0.1031535342335701,True,3,Right|3,29.0,6543.758094,Mid|5,Right|3 -> Mid|5,0.033510999999634805,Right,Mid
36,Mid,6545.065024,323,6545.0684135,217.86949999932403,0.449903628653005,0.5455838590860367,0.4478873014450073,0.5498742461204529,0.4501707553863525,True,5,Mid|5,36.0,6545.132046,Right|8,Mid|5 -> Right|8,0.06702199999926961,Mid,Right
36,Right,6545.132046,325,6545.0684135,217.86949999932403,0.449903628653005,0.4316821992397308,0.7597382068634033,0.4316821992397308,0.7597382068634033,True,8,Right|8,37.0,6545.299602,Mid|5,Right|8 -> Mid|5,0.16755600000033155,Right,Mid
40,Mid,6545.969822,350,6545.9560280000005,217.86900000006423,0.1991192023768613,0.5315126691545758,0.4247463856424604,0.5367523431777954,0.4184313416481018,True,5,Mid|5,40.0,6546.103866,Right|7,Mid|5 -> Right|7,0.1340440000003582,Mid,Right
40,Right,6546.103866,354,6545.9560280000005,217.86900000006423,0.1991192023768613,0.2775809466838836,0.670773983001709,0.2775809466838836,0.670773983001709,True,7,Right|7,41.0,6546.170888,Mid|5,Right|7 -> Mid|5,0.06702199999926961,Right,Mid
49,Mid,6547.946973,409,6547.9531605,217.86900000006423,0.1148940808425424,0.5326010659337044,0.41862821951508516,0.5352931022644043,0.407655656337738,True,5,Mid|5,49.0,6548.148039,Right|1,Mid|5 -> Right|1,0.20106599999962782,Mid,Right
