fixationid,aoi_id,world_timestamp
0,Mid|5,6860.038313
1,Mid|5,6860.205869
2,Mid|5,6860.406935
3,Mid|5,6860.641512
4,Mid|5,6860.842579
5,Mid|5,6861.077156
5,Right|8,6861.244711
6,Mid|5,6861.311734
7,Mid|5,6861.5128
8,Mid|5,6861.747377
9,Mid|5,6861.981955
10,Mid|5,6862.216532
11,Mid|5,6862.417599
12,Mid|5,6862.618665
13,Mid|5,6862.853243
14,Mid|5,6863.08782
15,Mid|5,6863.288886
16,Mid|5,6863.523464
17,Right|8,6863.758041
17,Mid|5,6863.758041
18,Mid|5,6863.959108
19,Mid|5,6864.193685
20,Mid|5,6864.394751
21,Mid|5,6864.66284
21,Right|8,6864.796884
22,Mid|5,6864.897417
23,Mid|5,6865.064973
24,Mid|5,6865.29955
25,Mid|5,6865.534128
26,Mid|2,6865.735194
27,Mid|5,6865.902749
27,Right|8,6866.137327
28,Right|7,6866.137327
28,Mid|5,6866.271371
29,Mid|5,6866.371904
30,Mid|5,6866.572971
30,Right|2,6866.707015
31,Mid|5,6866.841059
32,Mid|5,6867.042125
33,Mid|5,6867.243192
34,Mid|5,6867.477769
34,Right|1,6867.578302
35,Mid|5,6867.678836
36,Mid|5,6867.913413
37,Mid|5,6868.147991
38,Mid|5,6868.349057
39,Mid|5,6868.684168
40,Mid|5,6868.851723
41,Mid|5,6869.019278
42,Mid|5,6869.253856
43,Mid|5,6869.454922
44,Mid|5,6869.689499
45,Mid|5,6869.790033
46,Mid|5,6869.991099
47,Mid|5,6870.225677
47,Right|8,6870.32621
48,Mid|2,6870.493765
49,Mid|5,6870.66132
50,Mid|1,6870.895898
51,Mid|2,6871.096964
52,Mid|4,6871.264519
53,Mid|5,6871.499097
54,Mid|5,6871.733674
55,Mid|5,6871.90123
56,Mid|5,6872.135807
57,Mid|2,6872.370385
58,Mid|2,6872.571451
59,Mid|2,6872.839539
60,Mid|6,6873.107628
61,Mid|5,6873.275183
62,Mid|6,6873.375716
63,Mid|2,6873.677316
64,Left|5,6873.81136
64,Dashboard|5,6873.81136
65,Dashboard|5,6873.945405
65,Left|4,6874.079449
66,Mid|5,6874.179982
67,Mid|5,6874.414559
68,Mid|1,6874.652247
69,Dashboard|5,6874.752781
69,Left|5,6874.819803
70,Mid|5,6875.020869
71,Mid|5,6875.221936
72,Mid|2,6875.456514
72,Right|8,6875.590558
73,Mid|5,6875.691091
74,Mid|5,6875.892158
74,Right|7,6876.026202
75,Mid|5,6876.093224
76,Dashboard|5,6876.327802
76,Left|4,6876.327802
77,Mid|5,6876.56238
78,Mid|5,6876.796957
79,Mid|5,6877.065046
80,Mid|5,6877.232602
80,Right|8,6877.467179
81,Mid|5,6877.467179
81,Right|7,6877.467179
82,Right|4,6877.668246
82,Mid|2,6877.668246
83,Mid|5,6877.902824
84,Mid|1,6878.036868
85,Mid|5,6878.204423
86,Mid|5,6878.472512
87,Mid|2,6878.70709
88,Mid|2,6878.908156
89,Mid|5,6879.176245
90,Mid|5,6879.444334
90,Right|4,6879.544867
91,Mid|5,6879.578378
92,Right|2,6879.947
92,Mid|5,6879.947
93,Mid|2,6880.047534
94,Mid|4,6880.282111
94,Right|7,6880.382645
95,Mid|5,6880.5502
96,Mid|5,6880.583711
96,Right|2,6880.784778
97,Mid|1,6880.818289
98,Mid|2,6880.985844
99,Dashboard|8,6881.1534
100,Dashboard|5,6881.320955
101,Mid|5,6881.522022
101,Right|7,6881.589044
102,Mid|2,6881.790111
103,Mid|5,6881.991177
104,Mid|5,6882.225755
105,Mid|1,6882.560866
106,Mid|1,6882.627888
106,Right|1,6882.795443
107,Mid|5,6882.828955
107,Right|4,6882.862466
108,Mid|5,6883.030021
108,Right|1,6883.097043
109,Mid|1,6883.264599
110,Mid|2,6883.499176
111,Mid|5,6883.700243
111,Right|8,6883.767265
112,Mid|2,6883.934821
113,Mid|1,6884.102376
114,Mid|2,6884.336954
114,Right|1,6884.370465
115,Mid|5,6884.571531
116,Mid|5,6884.772598
117,Mid|5,6885.074198
118,Mid|5,6885.208242
119,Mid|5,6885.44282
119,Right|1,6885.576864
120,Mid|2,6885.643886
121,Mid|5,6885.878464
122,Mid|2,6886.113042
123,Mid|5,6886.347619
124,Mid|5,6886.548686
125,Mid|5,6886.783264
125,Right|1,6886.850286
126,Mid|5,6886.98433
127,Mid|5,6887.319441
128,Mid|5,6887.520508
129,Mid|5,6887.788597
129,Right|2,6887.88913
130,Mid|2,6887.989663
131,Mid|1,6888.157219
132,Mid|5,6888.391796
132,Right|1,6888.49233
133,Mid|5,6888.693396
134,Mid|5,6888.760418
135,Mid|5,6889.028507
136,Mid|5,6889.196063
136,Right|4,6889.229574
137,Mid|5,6889.43064
137,Right|2,6889.497662
138,Mid|2,6889.631707
139,Mid|5,6889.866284
140,Mid|5,6890.100862
141,Mid|1,6890.301929
142,Right|9,6890.670551
142,Mid|9,6890.704062
143,Mid|1,6890.771084
144,Mid|2,6890.972151
144,Right|2,6891.072684
145,Mid|5,6891.206728
146,Mid|2,6891.441306
147,Mid|1,6891.642372
148,Mid|5,6891.910461
148,Right|1,6892.010994
149,Mid|5,6892.111528
150,Mid|5,6892.312594
150,Right|1,6892.446639
151,Mid|5,6892.547172
152,Mid|4,6892.748239
152,Right|8,6892.748239
151,Right|8,6892.748239
153,Mid|1,6892.982816
154,Mid|5,6893.183883
155,Mid|5,6893.284416
156,Mid|5,6893.518994
157,Mid|1,6893.753571
158,Mid|5,6893.954638
159,Dashboard|5,6894.122193
159,Left|4,6894.289749
160,Mid|1,6894.457304
161,Mid|5,6894.658371
161,Right|8,6894.658371
162,Mid|1,6894.892949
163,Mid|2,6895.060504
164,Mid|2,6895.295082
164,Right|2,6895.362104
165,Mid|5,6895.496148
166,Mid|5,6895.730726
167,Mid|5,6895.931793
168,Mid|5,6896.199881
169,Mid|1,6896.434459
170,Mid|5,6896.602014
171,Right|8,6896.836592
170,Right|8,6896.836592
171,Mid|1,6896.870103
172,Mid|2,6896.937125
172,Right|8,6897.07117
173,Mid|5,6897.171703
174,Mid|5,6897.406281
175,Mid|5,6897.67437
176,Mid|5,6897.841925
177,Mid|2,6898.042992
178,Mid|5,6898.277569
179,Mid|5,6898.478636
180,Mid|5,6898.713213
181,Mid|5,6898.947791
182,Mid|5,6899.148858
183,Mid|5,6899.383435
184,Mid|5,6899.618013
184,Right|8,6899.718546
185,Right|4,6899.81908
185,Mid|5,6899.919613
186,Mid|5,6900.053657
187,Mid|5,6900.254724
188,Mid|5,6900.489301
189,Mid|5,6900.723879
190,Mid|5,6900.924946
191,Mid|5,6901.159523
192,Mid|1,6901.36059
192,Right|9,6901.394101
193,Mid|1,6901.595168
194,Mid|1,6901.829745
195,Mid|4,6902.030812
196,Mid|4,6902.332412
197,Mid|5,6902.499967
198,Mid|1,6902.701034
199,Mid|5,6902.935611
200,Mid|5,6903.136678
201,Mid|5,6903.371256
202,Mid|5,6903.840411
203,Mid|5,6904.041478
204,Mid|5,6904.242544
205,Mid|5,6904.4101
205,Right|8,6904.611166
206,Mid|5,6904.678188
207,Mid|7,6904.778722
207,Right|8,6904.879255
208,Mid|5,6905.04681
208,Right|8,6905.04681
209,Mid|5,6905.214366
210,Mid|4,6905.448944
211,Mid|1,6905.65001
212,Mid|1,6905.884588
213,Mid|2,6905.985121
214,Mid|5,6906.186188
214,Right|2,6906.286721
215,Mid|2,6906.420765
216,Mid|5,6906.521299
216,Right|1,6906.688854
217,Mid|1,6906.822898
218,Mid|1,6906.990454
219,Mid|1,6907.19152
220,Mid|5,6907.426098
221,Mid|5,6907.660676
222,Mid|5,6907.861742
223,Mid|4,6908.029298
224,Mid|4,6908.263875
225,Mid|5,6908.498453
226,Mid|5,6908.733031
227,Mid|5,6909.034631
228,Mid|5,6909.135164
229,Mid|5,6909.369742
229,Right|4,6909.403253
230,Mid|5,6909.570808
231,Mid|1,6909.838897
231,Right|7,6909.838897
232,Right|7,6909.93943
232,Mid|5,6909.972941
233,Mid|5,6910.174008
233,Right|2,6910.308052
234,Mid|5,6910.475608
235,Mid|5,6910.609652
236,Right|8,6910.777208
235,Right|8,6910.777208
236,Mid|5,6910.810719
237,Mid|5,6911.045296
238,Mid|1,6911.246363
239,Mid|5,6911.346896
239,Right|5,6911.447429
239,Left|3,6911.514452
240,Mid|5,6911.547963
241,Mid|5,6911.682007
242,Mid|5,6911.916585
243,Mid|5,6912.151162
244,Mid|2,6912.352229
245,Mid|5,6912.553296
246,Mid|1,6912.754362
247,Mid|5,6912.98894
248,Mid|2,6913.190006
249,Mid|5,6913.391073
249,Right|4,6913.525117
250,Mid|5,6913.625651
250,Right|4,6913.692673
251,Mid|1,6913.860228
251,Right|4,6914.027784
252,Mid|1,6914.061295
253,Mid|2,6914.295873
253,Right|1,6914.329384
254,Mid|5,6914.496939
255,Mid|2,6914.698006
256,Right|2,6914.932583
255,Right|2,6914.932583
256,Mid|5,6914.932583
257,Mid|5,6915.13365
257,Right|7,6915.334716
258,Mid|1,6915.368228
259,Mid|5,6915.636316
259,Right|4,6915.770361
260,Right|5,6915.803872
260,Mid|5,6915.803872
261,Mid|5,6916.038449
261,Right|2,6916.038449
262,Right|2,6916.239516
262,Mid|1,6916.239516
263,Mid|6,6916.507605
264,Mid|5,6916.742182
264,Right|8,6916.909738
265,Mid|5,6916.909738
265,Right|8,6916.909738
266,Mid|5,6917.144316
268,Mid|5,6917.479427
268,Right|8,6917.512938
269,Mid|1,6917.714004
269,Right|8,6917.781026
270,Mid|2,6917.948582
271,Right|3,6918.149648
271,Mid|5,6918.149648
272,Mid|5,6918.350715
273,Mid|1,6918.618804
273,Right|8,6918.752848
274,Mid|2,6918.786359
275,Mid|4,6919.054448
276,Mid|2,6919.289026
276,Right|4,6919.490092
277,Mid|1,6919.523603
278,Mid|4,6919.791692
279,Mid|5,6919.959248
280,Mid|5,6920.193825
280,Right|8,6920.193825
279,Right|8,6920.193825
281,Mid|5,6920.394892
281,Right|4,6920.495425
282,Mid|2,6920.629469
283,Mid|2,6920.864047
284,Mid|5,6921.065114
285,Mid|5,6921.400225
286,Mid|5,6921.534269
287,Mid|1,6921.735336
288,Mid|5,6921.969913
288,Right|2,6922.070447
289,Mid|5,6922.204491
289,Right|8,6922.305024
290,Mid|5,6922.405557
291,Mid|5,6922.640135
291,Right|8,6922.640135
292,Mid|4,6922.908224
293,Mid|5,6922.941735
294,Mid|5,6923.176313
294,Right|2,6923.276846
295,Mid|5,6923.41089
296,Mid|5,6923.611957
296,Right|1,6923.779512
297,Mid|2,6923.846535
297,Right|2,6923.947068
298,Mid|1,6924.047601
299,Mid|1,6924.282179
299,Right|4,6924.282179
298,Right|4,6924.282179
300,Mid|5,6924.516756
300,Right|2,6924.650801
301,Mid|5,6924.717823
301,Right|2,6924.751334
302,Mid|2,6924.952401
303,Mid|2,6925.186978
304,Mid|5,6925.388045
305,Mid|5,6925.689645
306,Mid|1,6925.790178
307,Mid|1,6925.991245
