from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,7810.282014,7810.315525,0.033510999999634805
Mid,Mid,7810.315525,7810.617125,0.30159999999978027
Mid,Mid,7810.617125,7810.684147,0.0670220000001791
Mid,Mid,7810.684147,7810.918725,0.23457800000051066
Mid,Mid,7810.918725,7811.186814,0.26808899999923597
Mid,Mid,7811.186814,7811.287347,0.1005330000007234
Mid,Mid,7811.287347,7811.38788,0.10053299999981391
Mid,Mid,7811.38788,7811.454902,0.0670220000001791
Mid,Mid,7811.454902,7811.68948,0.23457799999960116
Mid,Mid,7811.68948,7811.957569,0.26808900000014546
Mid,Mid,7811.957569,7812.259169,0.30159999999978027
Mid,Mid,7812.259169,7812.393213,0.1340440000003582
Mid,Mid,7812.393213,7812.59428,0.20106699999996636
Mid,Mid,7812.59428,7812.828857,0.23457700000017212
Mid,Mid,7812.828857,7813.063435,0.23457799999960116
Mid,Mid,7813.063435,7813.264502,0.20106699999996636
Mid,Mid,7813.264502,7813.53259,0.2680879999998069
Mid,Mid,7813.53259,7815.141123,1.6085330000005342
Mid,Mid,7815.141123,7815.241656,0.10053299999981391
Mid,Left,7815.241656,7815.476234,0.23457799999960116
Left,Mid,7815.476234,7815.476234,0.0
Mid,Mid,7815.476234,7816.917211,1.4409770000002027
Mid,Mid,7816.917211,7816.984233,0.0670220000001791
Mid,Mid,7816.984233,7817.151789,0.16755599999942206
Mid,Mid,7817.151789,7817.419877,0.2680880000007164
Mid,Mid,7817.419877,7817.620944,0.20106699999996636
Mid,Mid,7817.620944,7817.721477,0.10053299999981391
Mid,Mid,7817.721477,7817.956055,0.23457799999960116
Mid,Right,7817.956055,7818.157121,0.20106600000053731
Right,Mid,7818.157121,7818.157121,0.0
Mid,Mid,7818.157121,7818.391699,0.23457799999960116
Mid,Mid,7818.391699,7818.626277,0.23457800000051066
Mid,Mid,7818.626277,7818.827343,0.20106599999962782
Mid,Mid,7818.827343,7819.061921,0.23457800000051066
Mid,Mid,7819.061921,7819.296499,0.23457799999960116
Mid,Mid,7819.296499,7819.497565,0.20106599999962782
Mid,Right,7819.497565,7819.531076,0.0335110000005443
