fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
2,Mid,8094.492037,113,8094.4437435,80.69199999954435,1.4930627283976985,0.5573784112930298,0.3373274505138397,0.5573784112930298,0.3373274505138397,True,5,Mid|5,3.0,8094.559059,Dashboard|6,Mid|5 -> Dashboard|6,0.0670220000001791,Mid,Dashboard
4,Dashboard,8094.927682,126,8094.9157925,217.86900000006423,1.4562390198332622,0.23921797176202134,0.9466927150885264,0.2813303470611572,0.8993906378746033,True,7,Dashboard|7,4.0,8094.994704,Mid|2,Dashboard|7 -> Mid|2,0.0670220000001791,Dashboard,Mid
4,Mid,8094.994704,128,8094.9157925,217.86900000006423,1.4562390198332622,0.41743993759155273,0.016029423723618135,0.3819769620895386,0.0122434766963124,True,2,Mid|2,5.0,8095.128748,Dashboard|7,Mid|2 -> Dashboard|7,0.1340440000003582,Mid,Dashboard
5,Dashboard,8095.128748,132,8095.1376965,153.31499999956577,1.4815331111823131,0.21299183070659639,0.9786739349365234,0.2624284029006958,0.9852614998817444,True,7,Dashboard|7,6.0,8095.329815,Mid|2,Dashboard|7 -> Mid|2,0.20106699999996636,Dashboard,Mid
6,Mid,8095.329815,138,8095.3313575,145.2464999993026,1.4295910897198958,0.5216767191886902,0.043569704983383375,0.4124116003513336,0.0840378254652023,True,2,Mid|2,6.0,8095.463859,Dashboard|8,Mid|2 -> Dashboard|8,0.1340440000003582,Mid,Dashboard
6,Dashboard,8095.463859,142,8095.3313575,145.2464999993026,1.4295910897198958,0.4194760620594024,0.964758038520813,0.4194760620594024,0.964758038520813,True,8,Dashboard|8,7.0,8095.631415,Left|8,Dashboard|8 -> Left|8,0.16755599999942206,Dashboard,Left
7,Left,8095.631415,147,8095.589573,84.72650000021531,1.461211556323145,0.3865184187889099,0.7466323971748352,0.3865184187889099,0.7466323971748352,True,8,Left|8,8.0,8095.664926,Mid|4,Left|8 -> Mid|4,0.0335110000005443,Left,Mid
7,Mid,8095.664926,148,8095.589573,84.72650000021531,1.461211556323145,0.2719088792800903,0.4365945756435394,0.2719088792800903,0.4365945756435394,True,4,Mid|4,8.0,8095.832482,Left|2,Mid|4 -> Left|2,0.16755599999942206,Mid,Left
8,Left,8095.832482,153,8095.678334,217.86950000023356,0.5036421911500032,0.592545747756958,0.0381428152322769,0.592545747756958,0.0381428152322769,True,2,Left|2,9.0,8095.899504,Mid|4,Left|2 -> Mid|4,0.0670220000001791,Left,Mid
9,Mid,8095.899504,155,8095.900238,217.86900000006423,0.9081285457136704,0.310367892185847,0.36448989311854046,0.3007614612579345,0.376413881778717,True,4,Mid|4,9.0,8096.033548,Left|2,Mid|4 -> Left|2,0.1340440000003582,Mid,Left
9,Left,8096.033548,159,8095.900238,217.86900000006423,0.9081285457136704,0.6516100168228149,0.0726008340716362,0.6516100168228149,0.0726008340716362,True,2,Left|2,11.0,8096.268126,Mid|2,Left|2 -> Mid|2,0.23457799999960116,Left,Mid
11,Mid,8096.268126,166,8096.247214499999,217.86900000006423,0.2949252893159163,0.6589689254760742,0.0430790558457374,0.6589689254760742,0.0430790558457374,True,2,Mid|2,12.0,8096.536215,Left|2,Mid|2 -> Left|2,0.26808900000014546,Mid,Left
12,Left,8096.536215,174,8096.469118,173.48799999945186,1.0563410734517458,0.5728547275066376,0.28906759805977345,0.4445427656173706,0.0546702779829502,True,2,Left|2,12.0,8096.636748,Mid|2,Left|2 -> Mid|2,0.10053299999981391,Left,Mid
13,Mid,8096.670259,178,8096.6627795,205.7649999997011,1.179623731934698,0.784108430147171,0.5161513090133667,0.8104239702224731,0.5839191675186157,True,6,Mid|6,13.0,8096.670259,Dashboard|8,Mid|6 -> Dashboard|8,0.0,Mid,Dashboard
13,Dashboard,8096.670259,178,8096.6627795,205.7649999997011,1.179623731934698,0.5682930776051113,0.7604464633124215,0.5466795563697815,0.7871458530426025,True,8,Dashboard|8,14.0,8096.904837,Mid|8,Dashboard|8 -> Mid|8,0.23457799999960116,Dashboard,Mid
14,Mid,8096.904837,185,8096.912925,88.76199999940582,1.4120709093630268,0.6394166350364685,0.7101396918296814,0.6394166350364685,0.7101396918296814,True,8,Mid|8,15.0,8097.608571,Right|2,Mid|8 -> Right|2,0.703733999999713,Mid,Right
15,Right,8097.608571,206,8097.518117,80.69200000045385,1.461533997666744,0.4748019278049469,0.3159382343292236,0.4748019278049469,0.3159382343292236,True,2,Right|2,16.0,8099.753282,Dashboard|7,Right|2 -> Dashboard|7,2.1447109999999157,Right,Dashboard
18,Dashboard,8099.920837,275,8099.9146755,205.7654999998704,1.4522510469382477,0.04459343797394201,0.8166885035378593,0.0418372265994548,0.7564073204994202,True,7,Dashboard|7,21.0,8102.166082,Right|4,Dashboard|7 -> Right|4,2.245245000000068,Dashboard,Right
21,Right,8102.166082,342,8102.113539,84.72649999930582,1.4568048946293126,0.0183713043807074,0.6588433682918549,0.0036695783492177,0.6290132403373718,True,4,Right|4,23.0,8102.40066,Mid|8,Right|4 -> Mid|8,0.23457800000051066,Right,Mid
30,Mid,8103.405993,379,8103.323922,80.69200000045385,1.4718383906412358,0.724927544593811,0.3981703817844391,0.724927544593811,0.3981703817844391,True,6,Mid|6,31.0,8103.439504,Right|7,Mid|6 -> Right|7,0.033510999999634805,Mid,Right
31,Right,8103.439504,380,8103.416718500001,80.69199999954435,1.4569127500016106,0.3254865705966949,0.7762421369552612,0.3254865705966949,0.7762421369552612,True,7,Right|7,32.0,8103.506526,Mid|5,Right|7 -> Mid|5,0.0670220000001791,Right,Mid
33,Mid,8103.707593,388,8103.723347999999,217.86950000023356,0.7022646873247351,0.4916520615418752,0.5508282134930292,0.3761267960071563,0.7986428141593933,True,5,Mid|5,33.0,8103.774615,Right|8,Mid|5 -> Right|8,0.0670220000001791,Mid,Right
33,Right,8103.774615,390,8103.723347999999,217.86950000023356,0.7022646873247351,0.4415550231933594,0.8124393820762634,0.4415550231933594,0.8124393820762634,True,8,Right|8,34.0,8103.942171,Mid|5,Right|8 -> Mid|5,0.16755599999942206,Right,Mid
48,Mid,8107.058704,488,8107.051902499999,217.86900000006423,0.2556864205391819,0.5821531329836164,0.545212950025286,0.540396511554718,0.497184544801712,True,5,Mid|5,48.0,8107.159238,Right|8,Mid|5 -> Right|8,0.10053400000015245,Mid,Right
48,Right,8107.159238,491,8107.051902499999,217.86900000006423,0.2556864205391819,0.4756375253200531,0.7896587252616882,0.4756375253200531,0.7896587252616882,True,8,Right|8,49.0,8107.259771,Mid|5,Right|8 -> Mid|5,0.10053299999981391,Right,Mid
50,Mid,8107.494349,501,8107.49571,217.868499999895,1.4733169546943086,0.6095251824174609,0.550147899559566,0.530882716178894,0.4576443135738373,True,5,Mid|5,50.0,8107.52786,Right|2,Mid|5 -> Right|2,0.0335110000005443,Mid,Right
50,Right,8107.52786,502,8107.49571,217.868499999895,1.4733169546943086,0.5604434609413147,0.1583378463983535,0.5604434609413147,0.1583378463983535,True,2,Right|2,51.0,8107.728927,Mid|5,Right|2 -> Mid|5,0.20106699999996636,Right,Mid
56,Mid,8108.834793,541,8108.827131,217.86900000006423,0.1036585372135197,0.5144323507944742,0.4311488519112269,0.4991912841796875,0.4353202283382416,True,5,Mid|5,56.0,8108.868304,Right|4,Mid|5 -> Right|4,0.033510999999634805,Mid,Right
56,Right,8108.868304,542,8108.827131,217.86900000006423,0.1036585372135197,0.17143539090951276,0.389617199699084,0.2200465947389602,0.2445637434720993,True,4,Right|4,57.0,8109.03586,Mid|5,Right|4 -> Mid|5,0.16755600000033155,Right,Mid
58,Mid,8109.270438,554,8109.2709385,217.86900000006423,0.1615681331331142,0.434009687975049,0.4777943901717663,0.5065473318099976,0.4519528448581695,True,5,Mid|5,58.0,8109.33746,Right|8,Mid|5 -> Right|8,0.0670220000001791,Mid,Right
58,Right,8109.33746,556,8109.2709385,217.86900000006423,0.1615681331331142,0.4238720834255218,0.7902424931526184,0.4238720834255218,0.7902424931526184,True,8,Right|8,59.0,8109.505016,Mid|5,Right|8 -> Mid|5,0.16755600000033155,Right,Mid
60,Mid,8109.706082,567,8109.7147455,217.8689999991548,0.1137262462461728,0.5126272104680538,0.43785238638520235,0.5309949517250061,0.4434058964252472,True,5,Mid|5,60.0,8109.739593,Right|4,Mid|5 -> Right|4,0.0335110000005443,Mid,Right
60,Right,8109.739593,568,8109.7147455,217.8689999991548,0.1137262462461728,0.0815384611487388,0.6550726890563965,0.0815384611487388,0.6550726890563965,True,4,Right|4,61.0,8109.94066,Mid|5,Right|4 -> Mid|5,0.20106699999996636,Right,Mid
65,Mid,8110.811949,600,8110.824263500001,217.86900000006423,0.2499983693320261,0.5384824829442161,0.48203801257269724,0.7452552914619446,0.7047454714775085,True,5,Mid|5,65.0,8110.811949,Right|7,Mid|5 -> Right|7,0.0,Mid,Right
64,Right,8110.811949,600,8110.6023605,217.8685000008045,0.237709222289231,0.2802103161811828,0.7281009554862976,0.2802103161811828,0.7281009554862976,True,7,Right|7,66.0,8111.046527,Mid|5,Right|7 -> Mid|5,0.23457800000051066,Right,Mid
66,Mid,8111.046527,607,8111.046167,217.86950000023356,1.3137282178086425,0.5770910481611887,0.5420691122611364,0.5106192231178284,0.4773427248001098,True,5,Mid|5,66.0,8111.247593,Right|2,Mid|5 -> Right|2,0.20106599999962782,Mid,Right
66,Right,8111.247593,613,8111.046167,217.86950000023356,1.3137282178086425,0.6162712574005127,0.1886915415525436,0.6162712574005127,0.1886915415525436,True,2,Right|2,67.0,8111.281105,Mid|5,Right|2 -> Mid|5,0.03351199999997334,Right,Mid
68,Mid,8111.482171,620,8111.4899745,217.86900000006423,0.2325598848619088,0.5239425450563431,0.5270794928073883,0.6723964214324951,0.6457635760307312,True,5,Mid|5,68.0,8111.582705,Right|7,Mid|5 -> Right|7,0.10053400000015245,Mid,Right
68,Right,8111.582705,623,8111.4899745,217.86900000006423,0.2325598848619088,0.0311150141060352,0.6720799207687378,0.0311150141060352,0.6720799207687378,True,7,Right|7,69.0,8111.716749,Mid|5,Right|7 -> Mid|5,0.1340440000003582,Right,Mid
71,Mid,8112.152393,640,8112.1556855,217.86900000006423,0.3529574741127043,0.5822993006025042,0.5560325128691537,0.6913774013519287,0.663744330406189,True,5,Mid|5,72.0,8112.386971,Right|8,Mid|5 -> Right|8,0.23457799999960116,Mid,Right
71,Right,8112.386971,647,8112.1556855,217.86900000006423,0.3529574741127043,0.3467611670494079,0.7543885707855225,0.3467611670494079,0.7543885707855225,True,8,Right|8,72.0,8112.420482,Mid|5,Right|8 -> Mid|5,0.0335110000005443,Right,Mid
73,Mid,8112.588038,653,8112.599492499999,217.86900000006423,0.2624162294505962,0.5259708265463511,0.4859935790300369,0.5064825415611267,0.477659523487091,True,5,Mid|5,74.0,8112.856127,Right|7,Mid|5 -> Right|7,0.26808900000014546,Mid,Right
74,Right,8112.856127,661,8112.821395999999,217.86900000006423,0.2088139082884203,0.1725671142339706,0.7041016221046448,0.1725671142339706,0.7041016221046448,True,7,Right|7,74.0,8112.889638,Mid|5,Right|7 -> Mid|5,0.033510999999634805,Right,Mid
78,Mid,8113.693905,686,8113.7090105,217.86900000006423,0.436181663788921,0.552013460546732,0.5439802296459675,0.5375496745109558,0.5045585632324219,True,5,Mid|5,78.0,8113.928482,Right|7,Mid|5 -> Right|7,0.23457700000017212,Mid,Right
79,Right,8113.928482,693,8113.930914,217.8689999991548,0.8753403719729336,0.1558155715465545,0.6823480129241943,0.1558155715465545,0.6823480129241943,True,7,Right|7,79.0,8113.928482,Mid|5,Right|7 -> Mid|5,0.0,Right,Mid
90,Mid,8116.609371,773,8116.6058615,217.86900000006423,0.5680507732642192,0.5795098968914577,0.523111207144601,0.5842248201370239,0.520904004573822,True,5,Mid|5,90.0,8116.810438,Right|7,Mid|5 -> Right|7,0.20106700000087585,Mid,Right
90,Right,8116.810438,779,8116.6058615,217.86900000006423,0.5680507732642192,0.2383371889591217,0.7422277331352234,0.2383371889591217,0.7422277331352234,True,7,Right|7,91.0,8116.843949,Mid|5,Right|7 -> Mid|5,0.033510999999634805,Right,Mid
93,Mid,8117.380127,796,8117.384540999999,217.86900000006423,0.1499867733745389,0.524949461221695,0.5043108835816383,0.5090115666389465,0.5024754405021667,True,5,Mid|5,93.0,8117.614705,Right|7,Mid|5 -> Right|7,0.23457799999960116,Mid,Right
93,Right,8117.614705,803,8117.384540999999,217.86900000006423,0.1499867733745389,0.0708166137337684,0.6729264259338379,0.0708166137337684,0.6729264259338379,True,7,Right|7,94.0,8117.614705,Mid|5,Right|7 -> Mid|5,0.0,Right,Mid
94,Mid,8117.614705,803,8117.6064445,217.86949999932403,0.1449626331072642,0.5152738605226789,0.49178128583090647,0.5085997581481934,0.4861407279968261,True,5,Mid|5,94.0,8117.614705,Right|7,Mid|5 -> Right|7,0.0,Mid,Right
94,Right,8117.614705,803,8117.6064445,217.86949999932403,0.1449626331072642,0.0720469877123832,0.6717296242713928,0.0720469877123832,0.6717296242713928,True,7,Right|7,95.0,8117.815772,Mid|5,Right|7 -> Mid|5,0.20106699999996636,Right,Mid
96,Mid,8118.050349,816,8118.050252,217.86900000006423,0.123704295038671,0.5568603702953884,0.5256117624895913,0.511349618434906,0.4820101857185364,True,5,Mid|5,96.0,8118.117372,Right|7,Mid|5 -> Right|7,0.06702299999960815,Mid,Right
96,Right,8118.117372,818,8118.050252,217.86900000006423,0.123704295038671,0.0170041676610708,0.6903346180915833,0.0170041676610708,0.6903346180915833,True,7,Right|7,97.0,8118.284927,Mid|5,Right|7 -> Mid|5,0.16755499999999302,Right,Mid
99,Mid,8118.787594,838,8118.7845515,217.868499999895,0.271049760349681,0.6458101953778949,0.4578611935888018,0.6523882150650024,0.4521943032741546,True,5,Mid|5,99.0,8118.955149,Right|2,Mid|5 -> Right|2,0.16755499999999302,Mid,Right
99,Right,8118.955149,843,8118.7845515,217.868499999895,0.271049760349681,0.4150073230266571,0.2081258296966552,0.4150073230266571,0.2081258296966552,True,2,Right|2,100.0,8119.089194,Mid|5,Right|2 -> Mid|5,0.13404499999978725,Right,Mid
103,Mid,8119.692394,865,8119.696373000001,217.86900000006423,0.1306812841159858,0.5246972526822772,0.47553900735718857,0.5053611993789673,0.4952941238880157,True,5,Mid|5,103.0,8119.725905,Right|7,Mid|5 -> Right|7,0.0335110000005443,Mid,Right
103,Right,8119.725905,866,8119.696373000001,217.86900000006423,0.1306812841159858,0.1366958022117614,0.7054421305656433,0.1366958022117614,0.7054421305656433,True,7,Right|7,104.0,8119.926972,Mid|5,Right|7 -> Mid|5,0.20106699999996636,Right,Mid
104,Mid,8119.926972,872,8119.9182765,217.86949999932403,0.1954321519771114,0.5307179093360901,0.46716463140078945,0.6350938677787781,0.3759364485740661,True,5,Mid|5,104.0,8119.993994,Right|8,Mid|5 -> Right|8,0.0670220000001791,Mid,Right
104,Right,8119.993994,874,8119.9182765,217.86949999932403,0.1954321519771114,0.3623571693897247,0.779258668422699,0.3623571693897247,0.779258668422699,True,8,Right|8,105.0,8120.128038,Mid|5,Right|8 -> Mid|5,0.13404399999944872,Right,Mid
136,Mid,8127.031328,1084,8127.019192,217.86900000006423,0.2610011405846776,0.5132705171902975,0.5016297151645025,0.5154517889022827,0.5076292753219604,True,5,Mid|5,137.0,8127.634528,Dashboard|5,Mid|5 -> Dashboard|5,0.6031999999995605,Mid,Dashboard
137,Dashboard,8127.634528,1102,8127.6364875,88.76150000014604,0.9575705759628184,0.4855650216341018,0.5501514077186584,0.4844201803207397,0.5453228950500488,True,5,Dashboard|5,137.0,8127.668039,Right|1,Dashboard|5 -> Right|1,0.0335110000005443,Dashboard,Right
137,Right,8127.668039,1103,8127.6364875,88.76150000014604,0.9575705759628184,0.15003023669123644,0.28766797482967377,0.2746249139308929,0.3953073024749756,True,1,Right|1,138.0,8127.768572,Mid|5,Right|1 -> Mid|5,0.10053299999981391,Right,Mid
140,Mid,8128.204216,1119,8128.213437,217.86900000006423,0.1474081438815996,0.47693420946598053,0.5178097672760487,0.5102450251579285,0.4961751997470855,True,5,Mid|5,140.0,8128.30475,Right|4,Mid|5 -> Right|4,0.10053400000015245,Mid,Right
140,Right,8128.30475,1122,8128.213437,217.86900000006423,0.1474081438815996,0.2567481622099876,0.46765339374542236,0.320731908082962,0.2250452637672424,True,4,Right|4,141.0,8128.438794,Mid|5,Right|4 -> Mid|5,0.13404399999944872,Right,Mid
142,Mid,8128.673372,1133,8128.6572445,217.868499999895,0.2431965635549076,0.5015715616089957,0.48694839222090586,0.5089966654777527,0.4884485900402069,True,5,Mid|5,142.0,8128.706883,Right|7,Mid|5 -> Right|7,0.033510999999634805,Mid,Right
142,Right,8128.706883,1134,8128.6572445,217.868499999895,0.2431965635549076,0.1270310431718826,0.7041064500808716,0.1270310431718826,0.7041064500808716,True,7,Right|7,143.0,8128.874439,Mid|5,Right|7 -> Mid|5,0.16755600000033155,Right,Mid
143,Mid,8128.874439,1139,8128.8791475,217.86900000006423,0.2568458326340393,0.5079373642802238,0.48203324526548386,0.5078972578048706,0.4713081121444702,True,5,Mid|5,143.0,8129.041994,Right|8,Mid|5 -> Right|8,0.16755499999999302,Mid,Right
143,Right,8129.041994,1144,8128.8791475,217.86900000006423,0.2568458326340393,0.46041339635849,0.8034267425537109,0.46041339635849,0.8034267425537109,True,8,Right|8,144.0,8129.109016,Mid|5,Right|8 -> Mid|5,0.0670220000001791,Right,Mid
146,Mid,8129.544661,1159,8129.544858499999,217.86900000006423,0.139886068531159,0.49989184737205505,0.4828772246837616,0.495935320854187,0.4697476327419281,True,5,Mid|5,146.0,8129.678705,Right|2,Mid|5 -> Right|2,0.1340440000003582,Mid,Right
146,Right,8129.678705,1163,8129.544858499999,217.86900000006423,0.139886068531159,0.4076556861400604,0.1984702795743942,0.4076556861400604,0.1984702795743942,True,2,Right|2,147.0,8129.779239,Mid|5,Right|2 -> Mid|5,0.10053400000015245,Right,Mid
151,Mid,8130.583505,1190,8130.597892,209.80000000054133,1.4774510592041463,0.3651074171066284,0.32062503695487976,0.2357091605663299,0.3914702236652374,True,2,Mid|2,151.0,8130.583505,Dashboard|8,Mid|2 -> Dashboard|8,0.0,Mid,Dashboard
152,Dashboard,8130.918617,1200,8130.9166265,217.868499999895,0.4892228656396529,0.5176066500799996,0.46827924251556396,0.5208535194396973,0.4678682386875152,True,5,Dashboard|5,152.0,8130.985639,Mid|2,Dashboard|5 -> Mid|2,0.0670220000001791,Dashboard,Mid
154,Mid,8131.488305,1217,8131.4734025,217.86950000023356,0.3475794313281055,0.474132498105367,0.47675234576066333,0.4657238125801086,0.4685158133506775,True,5,Mid|5,154.0,8131.62235,Right|2,Mid|5 -> Right|2,0.13404499999978725,Mid,Right
154,Right,8131.62235,1221,8131.4734025,217.86950000023356,0.3475794313281055,0.5067170262336731,0.1684198230504989,0.5067170262336731,0.1684198230504989,True,2,Right|2,155.0,8131.689372,Mid|5,Right|2 -> Mid|5,0.0670220000001791,Right,Mid
165,Mid,8134.135683,1296,8134.108003499999,217.86900000006423,0.2550299553448255,0.4783893610749926,0.4631173482963017,0.4583858251571655,0.4927162230014801,True,5,Mid|5,165.0,8134.202706,Right|2,Mid|5 -> Right|2,0.06702299999960815,Mid,Right
165,Right,8134.202706,1298,8134.108003499999,217.86900000006423,0.2550299553448255,0.5057771801948547,0.1743674129247665,0.5057771801948547,0.1743674129247665,True,2,Right|2,166.0,8134.33675,Mid|5,Right|2 -> Mid|5,0.1340440000003582,Right,Mid
170,Mid,8135.208039,1328,8135.217521500001,217.86900000006423,0.2570097580894764,0.4778376780450344,0.5021257400512695,0.4688179790973663,0.4995280504226684,True,5,Mid|5,170.0,8135.409106,Right|7,Mid|5 -> Right|7,0.20106699999996636,Mid,Right
170,Right,8135.409106,1334,8135.217521500001,217.86900000006423,0.2570097580894764,0.1774842292070388,0.7507897019386292,0.1774842292070388,0.7507897019386292,True,7,Right|7,171.0,8135.442617,Mid|5,Right|7 -> Mid|5,0.033510999999634805,Right,Mid
171,Mid,8135.442617,1335,8135.439425,217.8689999991548,0.1646445929744494,0.5086704748017448,0.46223182337624685,0.4680226147174835,0.4817577302455902,True,5,Mid|5,172.0,8135.677195,Right|3,Mid|5 -> Right|3,0.23457800000051066,Mid,Right
172,Right,8135.677195,1342,8135.661329,217.86900000006423,0.1822548023674839,0.7351780533790588,0.1140099838376045,0.7351780533790588,0.1140099838376045,True,3,Right|3,172.0,8135.677195,Mid|5,Right|3 -> Mid|5,0.0,Right,Mid
174,Mid,8136.112839,1355,8136.1051355,217.86950000023356,0.128806142097212,0.48989770667893545,0.4993766077927181,0.6233730912208557,0.6150597333908081,True,5,Mid|5,174.0,8136.179861,Right|7,Mid|5 -> Right|7,0.06702199999926961,Mid,Right
174,Right,8136.179861,1357,8136.1051355,217.86950000023356,0.128806142097212,0.0510821975767612,0.6820319890975952,0.0510821975767612,0.6820319890975952,True,7,Right|7,175.0,8136.313906,Mid|5,Right|7 -> Mid|5,0.13404500000069675,Right,Mid
194,Mid,8140.536306,1487,8140.543207999999,217.86900000006423,0.3084192583278085,0.47626810520887375,0.49950505420565605,0.519843339920044,0.5445502996444702,True,5,Mid|5,194.0,8140.67035,Right|7,Mid|5 -> Right|7,0.1340440000003582,Mid,Right
194,Right,8140.67035,1491,8140.543207999999,217.86900000006423,0.3084192583278085,0.1146679446101188,0.7442838549613953,0.1146679446101188,0.7442838549613953,True,7,Right|7,195.0,8140.770884,Mid|5,Right|7 -> Mid|5,0.10053399999924295,Right,Mid
