surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|7,3,480.1175000002331,160.03916666674436
Left,Left|1,5,984.4444999989719,196.88889999979438
Left,Left|2,18,3239.7869999995237,179.9881666666402
Left,Left|3,8,1198.278499998196,149.7848124997745
Left,Left|5,31,6523.956000000908,210.4501935484164
Left,Left|6,72,15056.663999997,209.12033333329165
Left,Left|7,31,6309.40549999832,203.52920967736517
Left,Left|8,263,54874.66350000159,208.6489106463939
Left,Left|9,165,34608.44550001002,209.74815454551526
Mid,Mid|1,37,5523.375499997201,149.28041891884325
Mid,Mid|2,42,5983.321000000615,142.46002380953846
Mid,Mid|4,16,2957.3645000000397,184.83528125000248
Mid,Mid|5,42,6991.971000001286,166.47550000003062
Mid,Mid|6,26,4522.793999998612,173.953615384562
Mid,Mid|7,103,20197.573500003273,196.09294660197352
Mid,Mid|8,3459,712009.2764999944,205.84251994796023
Mid,Mid|9,9,1464.5605000005162,162.7289444445018
Right,Right|1,4,621.3289999986955,155.33224999967388
Right,Right|2,2,435.73699999979,217.868499999895
Right,Right|3,1,217.868499999895,217.868499999895
Right,Right|4,8,1250.7274999989022,156.34093749986278
Right,Right|7,4,770.6100000004881,192.65250000012202
Right,Right|8,8,1613.840999999411,201.73012499992637
Right,Right|9,2,318.7340000004042,159.3670000002021
