fixationid,aoi_id,world_timestamp
1,Left|9,7132.395596
2,Mid|5,7132.864751
3,Mid|5,7133.065817
4,Mid|2,7133.233373
4,Left|3,7133.266884
5,Mid|2,7133.367417
5,Left|1,7133.367417
6,Mid|8,7133.568483
7,Left|8,7133.937105
9,Left|6,7134.339238
10,Mid|2,7134.70786
11,Left|6,7135.04297
12,Left|6,7135.34457
13,Left|6,7135.411592
14,Left|8,7135.646169
16,Mid|8,7136.249369
17,Mid|8,7136.316391
18,Mid|8,7136.550968
18,Left|6,7136.651501
19,Mid|8,7136.752035
20,Mid|8,7136.986612
20,Left|8,7137.053634
21,Mid|8,7137.22119
22,Mid|8,7137.422256
23,Mid|8,7137.656834
24,Mid|8,7137.8579
25,Mid|8,7138.092477
26,Mid|8,7138.327055
27,Mid|8,7138.528121
28,Mid|8,7138.829721
29,Mid|8,7138.896743
30,Mid|8,7139.131321
30,Left|8,7139.365898
31,Left|8,7139.365898
31,Mid|8,7139.365898
32,Mid|8,7139.566964
33,Mid|8,7139.801542
34,Mid|8,7140.036119
35,Mid|8,7140.237186
36,Mid|8,7140.471763
37,Mid|8,7140.67283
38,Mid|8,7140.907407
39,Mid|8,7141.141985
40,Mid|8,7141.343051
41,Mid|8,7141.577628
42,Mid|8,7141.812206
43,Mid|8,7142.013272
44,Mid|8,7142.24785
45,Mid|8,7142.448916
46,Mid|8,7142.683494
47,Mid|8,7142.918071
48,Mid|8,7143.119138
49,Mid|8,7143.353715
49,Left|8,7143.454248
50,Mid|8,7143.588293
51,Mid|8,7143.789359
51,Left|6,7143.923403
52,Mid|8,7144.023936
53,Mid|8,7144.225003
54,Mid|8,7144.560114
55,Mid|8,7144.76118
56,Mid|8,7144.995757
57,Mid|8,7145.230335
58,Mid|8,7145.431401
58,Left|6,7145.632468
59,Mid|8,7145.665979
60,Mid|8,7145.867045
61,Mid|8,7146.001089
62,Mid|8,7146.202156
63,Mid|8,7146.436733
64,Mid|8,7146.671311
65,Mid|8,7146.872377
66,Mid|8,7147.106955
66,Left|7,7147.207488
67,Mid|8,7147.308021
67,Left|8,7147.375043
68,Mid|8,7147.542599
69,Mid|8,7147.810687
70,Mid|8,7148.011754
71,Mid|8,7148.246331
71,Left|8,7148.380375
72,Mid|8,7148.447397
73,Mid|8,7148.681975
74,Mid|8,7148.983575
74,Right|9,7149.050597
75,Mid|8,7149.184641
76,Mid|8,7149.385707
76,Left|6,7149.553263
77,Mid|8,7149.620285
78,Mid|8,7149.854862
79,Mid|8,7150.055929
80,Mid|8,7150.290506
81,Mid|8,7150.491573
82,Mid|8,7150.72615
83,Mid|8,7151.094772
84,Mid|8,7151.161794
85,Mid|8,7151.396371
86,Mid|8,7151.597438
87,Mid|8,7151.832015
88,Mid|8,7152.066593
89,Mid|8,7152.267659
90,Mid|8,7152.502237
91,Mid|8,7152.770325
92,Mid|8,7152.937881
93,Mid|8,7153.172458
94,Mid|8,7153.373524
95,Mid|8,7153.608102
96,Mid|2,7153.742146
97,Mid|2,7153.976724
98,Mid|8,7154.211301
99,Mid|8,7154.445879
100,Mid|8,7154.680456
100,Left|8,7154.848011
101,Mid|8,7154.881522
102,Mid|8,7155.1161
103,Mid|8,7155.317166
104,Mid|8,7155.551744
105,Mid|8,7155.786321
106,Mid|8,7155.987388
107,Mid|8,7156.221965
107,Right|4,7156.423032
108,Mid|8,7156.456543
109,Mid|8,7156.657609
110,Mid|8,7156.959209
111,Mid|8,7157.059742
112,Mid|8,7157.260808
