surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|4,84,13608.78500000399,162.00934523814274
Dashboard,Dashboard|5,4,524.5010000016919,131.12525000042297
Dashboard,Dashboard|6,13,2073.7950000038836,159.52269230799104
Dashboard,Dashboard|7,4,431.70449999888655,107.92612499972164
Dashboard,Dashboard|8,2,435.7390000004671,217.86950000023356
Dashboard,Dashboard|9,4,637.4705000016547,159.36762500041368
Left,Left|1,1,217.86950000023356,217.86950000023356
Left,Left|2,24,4837.513000004037,201.5630416668349
Left,Left|3,30,6257.702500002779,208.59008333342595
Left,Left|4,5,697.9890000020532,139.59780000041064
Left,Left|5,7,1331.4250000039465,190.20357142913522
Left,Left|6,22,4321.082499996919,196.41284090895087
Left,Left|7,4,794.8209999976825,198.70524999942063
Left,Left|8,88,18409.98550000768,209.20438068190543
Left,Left|9,86,17720.062000000325,206.04723255814332
Mid,Mid|1,1,141.21199999863163,141.21199999863163
Mid,Mid|2,24,4079.0065000037434,169.95860416682265
Mid,Mid|3,4,492.22500000178115,123.05625000044529
Mid,Mid|4,1,133.1430000009277,133.1430000009277
Mid,Mid|5,3270,667924.6039999652,204.25828868500466
Mid,Mid|6,92,17982.318499998655,195.45998369563756
Mid,Mid|7,2,403.4620000002178,201.7310000001089
Mid,Mid|8,1,149.2804999998043,149.2804999998043
Right,Right|1,16,3453.638000002684,215.85237500016774
Right,Right|2,8,1561.3980000016454,195.17475000020568
Right,Right|3,1,217.86950000023356,217.86950000023356
Right,Right|4,9,1960.8270000007906,217.8696666667545
Right,Right|6,1,217.86950000023356,217.86950000023356
Right,Right|7,7,1448.4284999962256,206.91835714231794
Right,Right|8,10,2041.520500002662,204.1520500002662
