fixationid,aoi_id,world_timestamp
1,Left|2,79579.085458
1,Mid|3,79579.118969
2,Left|1,79579.78919
3,Right|7,79580.191322
3,Mid|2,79580.191322
4,Right|7,79580.291856
4,Mid|5,79580.325367
5,Mid|3,79580.828032
6,Left|4,79581.431231
8,Right|4,79584.112115
8,Mid|2,79584.145626
9,Right|4,79584.346693
9,Left|3,79584.413715
9,Mid|8,79584.447226
10,Mid|5,79585.55309
11,Mid|6,79585.687135
12,Mid|6,79585.787668
13,Mid|6,79585.888201
14,Mid|5,79585.988734
15,Right|1,79586.323845
15,Left|2,79586.357356
15,Mid|7,79586.424378
16,Mid|5,79586.725977
17,Mid|6,79586.927044
18,Mid|6,79587.061088
19,Mid|5,79587.195132
19,Right|8,79587.329176
20,Mid|7,79587.46322
21,Mid|4,79587.730936
22,Mid|5,79588.803289
23,Dashboard|2,79589.071377
24,Dashboard|1,79589.238932
25,Mid|5,79589.674575
27,Mid|3,79590.780439
27,Left|2,79590.81395
28,Right|5,79590.947995
28,Left|4,79591.082039
30,Right|1,79592.489502
30,Mid|2,79592.556524
30,Left|1,79592.556524
31,Left|3,79592.724079
32,Left|3,79592.724079
32,Right|5,79592.791101
33,Left|2,79592.858123
33,Mid|2,79592.858123
33,Right|5,79592.925145
36,Mid|5,79594.466653
37,Mid|5,79594.500164
38,Mid|5,79594.600697
39,Mid|5,79594.667719
41,Mid|5,79595.33794
42,Mid|5,79595.572517
43,Mid|5,79595.706561
44,Mid|5,79595.807094
45,Mid|5,79596.00816
46,Mid|2,79596.142204
47,Dashboard|4,79596.309759
47,Left|7,79596.309759
48,Mid|5,79596.577848
48,Left|9,79596.611359
49,Mid|5,79596.778914
50,Mid|5,79596.97998
51,Mid|5,79597.549668
52,Mid|5,79597.784245
53,Mid|5,79598.320421
54,Mid|5,79598.420954
55,Mid|5,79598.62202
56,Mid|5,79598.856598
57,Mid|5,79599.024153
58,Mid|5,79599.191708
59,Mid|5,79599.426285
60,Mid|5,79599.560329
61,Mid|5,79599.794907
62,Dashboard|6,79600.062995
62,Left|5,79600.197039
63,Dashboard|6,79600.264061
64,Dashboard|6,79600.364594
65,Mid|5,79600.733215
65,Left|6,79600.867259
66,Mid|5,79600.934282
67,Dashboard|4,79601.302903
67,Left|5,79601.403436
68,Dashboard|6,79601.503969
69,Dashboard|6,79601.638013
70,Mid|5,79601.87259
71,Mid|5,79602.073657
72,Mid|5,79602.308234
73,Mid|5,79602.743877
74,Mid|5,79602.944943
75,Mid|5,79603.179521
76,Mid|5,79603.280054
77,Dashboard|1,79603.916763
78,Mid|5,79604.084318
79,Mid|5,79604.318896
80,Mid|5,79604.519962
81,Mid|5,79605.056138
82,Mid|5,79605.190182
83,Mid|5,79605.42476
84,Mid|5,79605.625826
85,Mid|5,79605.860403
86,Mid|5,79605.994447
87,Mid|5,79606.162002
88,Mid|5,79606.396579
89,Mid|5,79606.631157
90,Mid|5,79606.999778
91,Mid|5,79607.234355
92,Mid|5,79607.468932
93,Mid|5,79607.669999
94,Mid|5,79607.904576
95,Mid|5,79608.072131
96,Mid|5,79608.306708
97,Mid|5,79608.507774
98,Mid|5,79608.742352
99,Mid|5,79608.943418
100,Mid|5,79609.177995
101,Mid|5,79609.412572
102,Mid|5,79609.613638
103,Mid|2,79609.848216
103,Left|2,79609.948749
104,Dashboard|4,79610.082793
105,Mid|5,79610.31737
106,Mid|5,79610.417903
107,Mid|5,79610.618969
108,Mid|6,79610.786524
109,Mid|6,79610.987591
109,Right|7,79611.054613
110,Mid|6,79611.188657
111,Mid|6,79611.423234
112,Mid|5,79611.557278
113,Mid|5,79611.657811
114,Mid|5,79611.95941
115,Mid|5,79612.26101
116,Dashboard|6,79612.696653
116,Left|4,79612.696653
117,Dashboard|4,79612.964741
118,Mid|5,79613.165808
119,Mid|5,79613.23283
120,Mid|5,79613.400385
121,Mid|5,79613.90305
122,Mid|5,79614.137627
123,Mid|5,79614.338694
123,Left|2,79614.372205
124,Mid|5,79614.53976
125,Mid|5,79614.774337
126,Mid|5,79615.008914
127,Mid|5,79615.20998
128,Mid|5,79615.411047
129,Mid|5,79615.612113
130,Mid|5,79615.84669
131,Dashboard|5,79616.047756
132,Dashboard|4,79616.1818
133,Mid|5,79616.349355
134,Mid|5,79616.483399
135,Mid|5,79616.650955
136,Mid|5,79616.885532
137,Mid|5,79617.120109
138,Mid|5,79617.321175
139,Left|2,79617.555752
138,Left|2,79617.555752
139,Mid|5,79617.555752
140,Mid|5,79617.656286
141,Mid|5,79617.857352
142,Mid|5,79618.058418
143,Mid|5,79618.259484
144,Mid|5,79618.494061
145,Mid|5,79618.896194
146,Dashboard|5,79619.197793
147,Dashboard|5,79619.43237
148,Mid|5,79619.599925
148,Right|7,79619.633436
149,Mid|5,79619.666947
150,Mid|5,79619.901525
151,Mid|5,79620.136102
152,Mid|5,79620.236635
153,Mid|5,79620.471212
154,Mid|5,79620.672278
155,Mid|5,79620.906855
156,Mid|5,79621.141433
157,Mid|5,79621.342499
158,Mid|5,79621.577076
159,Mid|5,79621.71112
160,Mid|5,79621.945697
161,Mid|5,79622.180275
162,Dashboard|7,79622.280808
163,Mid|5,79622.548896
164,Mid|5,79622.749962
165,Mid|5,79622.984539
166,Mid|5,79623.219117
167,Mid|5,79623.554227
168,Mid|5,79623.755293
169,Mid|5,79623.98987
170,Mid|5,79624.190936
171,Mid|5,79624.425514
172,Mid|5,79624.593069
173,Mid|5,79624.794135
174,Mid|5,79625.028712
175,Mid|5,79625.263289
176,Mid|5,79625.464356
177,Mid|5,79626.201598
178,Mid|5,79626.436175
179,Mid|5,79626.670753
180,Mid|5,79626.838308
181,Mid|5,79627.072885
182,Mid|5,79627.273951
182,Left|2,79627.340973
183,Mid|5,79627.508528
184,Mid|5,79627.743106
185,Dashboard|5,79627.910661
186,Mid|5,79628.178749
187,Mid|5,79628.413326
188,Mid|5,79628.614392
189,Mid|5,79628.84897
190,Mid|5,79629.050036
191,Mid|5,79629.217591
192,Mid|5,79629.385146
193,Mid|5,79629.619723
194,Mid|5,79629.787278
195,Mid|5,79629.988345
196,Mid|5,79630.222922
197,Mid|5,79630.457499
198,Mid|5,79630.658565
199,Mid|5,79631.12772
200,Mid|5,79631.228253
201,Dashboard|4,79631.46283
202,Mid|5,79631.697407
203,Mid|5,79631.931984
204,Mid|9,79632.367628
205,Mid|5,79632.468161
206,Mid|5,79632.702738
207,Mid|5,79632.870293
208,Mid|5,79633.037848
209,Mid|5,79633.339448
210,Mid|4,79633.473492
211,Mid|5,79633.641047
211,Right|4,79633.875624
212,Right|4,79633.875624
212,Mid|5,79633.875624
213,Mid|5,79634.110201
214,Mid|5,79634.311267
215,Mid|5,79634.545845
216,Dashboard|5,79634.7134
217,Dashboard|6,79634.914466
218,Mid|5,79635.216065
219,Mid|5,79635.417131
220,Mid|5,79635.651709
220,Right|8,79635.785753
221,Mid|5,79636.02033
222,Mid|5,79636.254907
223,Mid|5,79636.388951
224,Mid|5,79636.65704
225,Mid|4,79636.925128
226,Mid|4,79637.159705
227,Mid|5,79637.260238
228,Mid|5,79637.494815
229,Mid|5,79637.628859
230,Mid|5,79638.030992
231,Mid|5,79638.098014
232,Mid|5,79638.29908
233,Mid|5,79638.533657
234,Mid|5,79638.701212
235,Mid|5,79638.969301
236,Mid|5,79639.069834
237,Mid|4,79639.203878
238,Mid|4,79639.404944
239,Mid|5,79639.505477
240,Mid|5,79640.041654
241,Mid|5,79640.24272
241,Left|9,79640.276231
242,Mid|5,79640.477297
243,Dashboard|6,79640.778896
244,Mid|5,79641.013473
245,Mid|5,79641.181029
245,Left|9,79641.281562
246,Mid|5,79641.415606
247,Mid|5,79641.717205
248,Mid|5,79641.951782
249,Mid|5,79642.152848
250,Mid|5,79642.387426
251,Mid|5,79642.487959
252,Mid|5,79642.722536
253,Dashboard|5,79642.85658
253,Mid|2,79642.923602
254,Dashboard|8,79642.957113
255,Dashboard|6,79643.258712
256,Dashboard|6,79643.359246
257,Mid|5,79643.593823
258,Mid|5,79643.8284
259,Mid|5,79644.029466
260,Mid|5,79644.264043
261,Mid|5,79644.632665
262,Mid|5,79644.733198
263,Mid|5,79645.034797
264,Mid|5,79645.168841
265,Mid|2,79645.302885
266,Dashboard|5,79645.503951
267,Dashboard|4,79645.738529
268,Mid|5,79645.973106
269,Mid|5,79646.174172
270,Mid|5,79646.408749
270,Left|3,79646.542793
271,Mid|5,79646.643326
272,Mid|5,79646.777371
273,Mid|5,79646.911415
274,Mid|5,79647.112481
274,Left|8,79647.280036
275,Left|8,79647.280036
275,Mid|5,79647.280036
276,Mid|5,79647.380569
277,Mid|5,79647.514613
277,Left|9,79647.514613
276,Left|9,79647.514613
309,Left|6,79654.317903
