from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Left,Mid,79579.085458,79579.118969,0.033511000001453795
Mid,Left,79579.118969,79579.78919,0.6702209999930346
Left,Right,79579.78919,79580.191322,0.4021320000028936
Right,Mid,79580.191322,79580.191322,0.0
Mid,Right,79580.191322,79580.291856,0.10053399999742396
Right,Mid,79580.291856,79580.325367,0.033511000001453795
Mid,Mid,79580.325367,79580.828032,0.502665000007255
Mid,Left,79580.828032,79581.431231,0.603198999990127
Left,Right,79581.431231,79584.112115,2.6808840000012424
Right,Mid,79584.112115,79584.145626,0.033511000001453795
Mid,Right,79584.145626,79584.346693,0.20106700000178535
Right,Left,79584.346693,79584.413715,0.06702200000290759
Left,Mid,79584.413715,79584.447226,0.033511000001453795
Mid,Mid,79584.447226,79585.55309,1.105863999997382
Mid,Mid,79585.55309,79585.687135,0.13404499999887776
Mid,Mid,79585.687135,79585.787668,0.10053300000436138
Mid,Mid,79585.787668,79585.888201,0.10053299998980947
Mid,Mid,79585.888201,79585.988734,0.10053300000436138
Mid,Right,79585.988734,79586.323845,0.3351110000076005
Right,Left,79586.323845,79586.357356,0.03351099998690188
Left,Mid,79586.357356,79586.424378,0.06702200000290759
Mid,Mid,79586.424378,79586.725977,0.30159899999853224
Mid,Mid,79586.725977,79586.927044,0.20106700000178535
Mid,Mid,79586.927044,79587.061088,0.13404400000581518
Mid,Mid,79587.061088,79587.195132,0.13404399999126326
Mid,Right,79587.195132,79587.329176,0.13404400000581518
Right,Mid,79587.329176,79587.46322,0.13404400000581518
Mid,Mid,79587.46322,79587.730936,0.2677160000021104
Mid,Mid,79587.730936,79588.803289,1.0723529999959283
Mid,Dashboard,79588.803289,79589.071377,0.26808799999707844
Dashboard,Dashboard,79589.071377,79589.238932,0.16755499999271706
Dashboard,Mid,79589.238932,79589.674575,0.4356430000043474
Mid,Mid,79589.674575,79590.780439,1.105863999997382
Mid,Left,79590.780439,79590.81395,0.033511000001453795
Left,Right,79590.81395,79590.947995,0.13404499999887776
