fixationid,aoi_id,world_timestamp
1,Left|4,80595.9786
1,Dashboard|3,80595.9786
3,Left|6,80596.782865
5,Dashboard|2,80597.453086
5,Left|7,80597.553619
6,Dashboard|5,80597.58713
7,Dashboard|5,80597.788197
7,Left|5,80597.922241
8,Left|2,80597.922241
8,Dashboard|5,80597.922241
9,Dashboard|8,80598.089796
10,Dashboard|8,80598.290862
10,Mid|2,80598.391396
11,Dashboard|5,80598.692995
11,Left|4,80598.692995
13,Mid|6,80601.340369
14,Right|7,80601.541435
15,Left|7,80602.714322
16,Left|7,80602.915388
17,Left|8,80603.149966
19,Mid|2,80604.85903
19,Left|1,80604.892541
20,Dashboard|4,80605.060096
22,Right|5,80606.568093
23,Right|5,80606.668627
23,Left|2,80606.735649
24,Left|2,80606.76916
24,Right|5,80606.76916
25,Mid|5,80607.003737
26,Mid|6,80607.070759
25,Left|2,80607.070759
27,Mid|5,80607.372359
28,Mid|4,80607.506403
29,Mid|4,80607.640447
30,Mid|4,80607.774492
31,Mid|5,80608.009069
32,Mid|5,80608.612268
33,Mid|5,80608.846845
34,Mid|7,80609.148445
34,Right|4,80609.148445
35,Right|4,80609.383022
36,Right|4,80609.718133
37,Right|4,80609.95271
37,Mid|8,80610.019732
38,Left|3,80610.354843
39,Left|6,80610.555909
40,Mid|6,80610.958042
41,Mid|6,80611.159108
42,Mid|6,80611.393686
43,Mid|6,80611.52773
44,Mid|3,80613.974037
45,Mid|3,80614.007548
45,Left|1,80614.07457
46,Mid|5,80614.275637
47,Mid|2,80615.146924
48,Mid|5,80615.9847
49,Mid|5,80616.152256
50,Mid|5,80616.2863
51,Mid|5,80616.520877
52,Mid|5,80616.755455
53,Dashboard|4,80616.956521
54,Dashboard|6,80617.191099
54,Right|4,80617.22461
55,Mid|5,80617.425676
56,Mid|5,80617.55972
57,Mid|5,80617.961853
58,Mid|5,80618.162919
59,Mid|5,80618.632074
60,Mid|5,80618.732607
61,Mid|5,80619.034207
62,Mid|5,80619.503361
63,Mid|5,80619.570384
64,Mid|5,80619.804961
65,Mid|5,80619.905494
66,Mid|5,80620.140072
67,Dashboard|6,80620.341138
68,Dashboard|6,80620.475182
69,Dashboard|6,80620.709759
69,Left|4,80620.709759
68,Left|4,80620.709759
70,Mid|5,80620.944337
71,Mid|5,80621.178914
72,Mid|5,80621.413492
73,Mid|5,80621.614558
74,Dashboard|5,80621.916158
74,Left|5,80622.016691
75,Dashboard|5,80622.117224
76,Dashboard|5,80622.351801
76,Left|7,80622.418823
77,Dashboard|5,80622.586379
77,Mid|4,80622.686912
78,Mid|5,80623.055533
79,Mid|5,80623.156067
80,Mid|5,80623.357133
81,Mid|5,80623.457666
81,Right|2,80623.625221
82,Mid|5,80623.692244
83,Mid|5,80623.89331
84,Mid|5,80624.127887
85,Mid|5,80624.261931
86,Mid|5,80624.764597
87,Mid|5,80624.898642
88,Mid|5,80625.099708
89,Mid|5,80625.334285
90,Mid|5,80625.702907
91,Mid|5,80625.937484
92,Mid|5,80626.138551
93,Mid|5,80626.373128
94,Mid|5,80626.607705
95,Mid|5,80626.808772
96,Mid|2,80627.043349
97,Mid|5,80627.210904
98,Mid|5,80627.344949
99,Mid|5,80627.546015
99,Left|3,80627.613037
100,Mid|5,80628.01517
101,Mid|5,80628.249747
102,Mid|5,80628.450814
103,Mid|5,80628.685391
104,Mid|5,80628.919968
105,Dashboard|5,80629.221568
106,Dashboard|5,80629.322101
107,Dashboard|4,80629.422634
108,Mid|5,80629.623701
109,Mid|5,80629.724234
110,Mid|5,80629.958811
111,Mid|2,80630.193389
112,Mid|5,80630.494988
113,Mid|5,80630.696054
114,Mid|5,80630.930632
115,Mid|5,80631.131698
116,Mid|5,80631.366276
117,Mid|5,80631.83543
118,Dashboard|6,80632.170541
118,Left|4,80632.170541
119,Mid|5,80632.572674
120,Mid|5,80632.673207
121,Mid|5,80632.874273
122,Mid|6,80633.075339
123,Mid|6,80633.242895
124,Mid|6,80633.376939
125,Mid|5,80633.544494
126,Mid|5,80633.678538
127,Mid|5,80633.879605
128,Mid|5,80634.114182
129,Mid|5,80634.281737
130,Mid|5,80634.482804
131,Mid|5,80634.717381
132,Mid|5,80634.851425
133,Mid|5,80635.086003
134,Mid|5,80635.32058
135,Mid|5,80635.555158
136,Mid|5,80635.756224
137,Mid|5,80635.990801
138,Mid|5,80636.325912
139,Mid|5,80636.526978
140,Mid|5,80636.761556
141,Mid|5,80636.962622
142,Mid|5,80637.063155
143,Mid|5,80637.264222
144,Mid|5,80637.498799
145,Mid|5,80637.733376
146,Mid|5,80637.934443
147,Mid|5,80638.16902
