fixationid,aoi_id,world_timestamp
0,Dashboard|5,81865.813075
3,Dashboard|9,81868.862582
3,Left|2,81868.929604
4,Dashboard|9,81868.996626
5,Dashboard|9,81869.063648
6,Dashboard|6,81870.940267
6,Left|5,81870.973778
6,Mid|3,81871.007289
7,Right|5,81871.141334
8,Mid|3,81871.308889
9,Dashboard|9,81871.3424
9,Mid|3,81871.3424
10,Dashboard|2,81871.97911
11,Dashboard|5,81872.113154
12,Mid|2,81872.414754
13,Left|2,81873.755196
13,Mid|2,81873.788707
19,Dashboard|8,81876.402569
21,Dashboard|4,81877.810034
22,Dashboard|5,81878.245678
23,Dashboard|5,81878.480255
24,Dashboard|8,81878.614299
24,Mid|2,81878.714832
25,Mid|2,81878.982921
25,Dashboard|8,81878.982921
26,Mid|6,81880.323363
26,Right|5,81880.323363
27,Right|5,81880.390385
28,Mid|3,81880.55794
28,Right|4,81880.691985
29,Mid|6,81880.826029
30,Mid|6,81880.85954
31,Mid|6,81880.960073
32,Mid|5,81881.060606
33,Mid|6,81881.16114
34,Right|4,81881.295184
34,Mid|6,81881.295184
33,Right|1,81881.295184
35,Mid|6,81881.429228
36,Left|5,81881.898383
37,Mid|5,81883.07127
38,Mid|5,81883.205314
39,Mid|5,81883.339358
41,Mid|5,81884.411712
42,Mid|5,81884.579267
43,Mid|5,81884.813845
45,Mid|2,81886.020243
46,Mid|2,81886.154287
47,Mid|5,81886.858019
48,Mid|5,81887.025574
49,Mid|5,81887.159619
50,Mid|5,81887.260152
51,Mid|5,81887.394196
52,Mid|5,81887.52824
53,Mid|5,81887.729307
54,Mid|5,81887.930373
54,Left|8,81888.131439
55,Mid|5,81888.16495
55,Left|8,81888.16495
56,Mid|5,81888.399528
56,Left|6,81888.533572
57,Mid|5,81888.600594
58,Dashboard|8,81888.768149
59,Dashboard|4,81888.969216
60,Dashboard|4,81889.170282
60,Left|5,81889.203793
61,Mid|5,81889.538904
62,Mid|5,81889.672948
63,Mid|5,81889.773481
64,Mid|5,81890.008059
65,Mid|5,81890.510724
66,Mid|5,81890.644769
67,Mid|5,81891.046901
68,Mid|5,81891.214457
68,Right|7,81891.214457
69,Mid|5,81891.348501
70,Mid|5,81891.549567
71,Mid|5,81891.750633
72,Mid|5,81891.985211
73,Mid|5,81892.219788
74,Dashboard|5,81892.554899
75,Dashboard|8,81892.655432
76,Dashboard|6,81892.890009
77,Dashboard|6,81893.024054
78,Dashboard|6,81893.124587
78,Left|5,81893.158098
79,Dashboard|5,81893.325653
80,Left|2,81893.627253
80,Mid|5,81893.627253
81,Mid|5,81893.86183
82,Mid|5,81894.096407
82,Left|9,81894.129919
83,Mid|5,81894.297474
84,Mid|5,81894.532051
85,Mid|5,81894.733118
86,Mid|5,81894.967695
87,Mid|5,81895.235783
88,Mid|5,81895.403339
89,Mid|5,81895.537383
90,Mid|5,81895.738449
91,Mid|5,81895.973027
92,Mid|5,81896.207604
93,Mid|5,81896.40867
94,Mid|5,81896.643248
95,Mid|5,81896.877825
96,Mid|5,81897.011869
97,Mid|5,81897.246447
98,Mid|5,81897.481024
99,Mid|5,81897.682091
100,Mid|5,81897.916668
101,Mid|5,81898.151245
101,Left|9,81898.218267
102,Mid|5,81898.218267
102,Left|9,81898.218267
103,Mid|5,81898.452845
104,Mid|5,81898.653911
105,Mid|5,81898.888489
106,Mid|5,81899.089555
107,Mid|5,81899.190088
108,Mid|5,81899.391154
109,Mid|5,81899.625732
110,Dashboard|6,81899.860309
111,Dashboard|6,81900.094887
111,Left|4,81900.19542
112,Dashboard|4,81900.295953
112,Left|6,81900.53053
113,Mid|5,81900.664575
114,Mid|5,81900.899152
115,Left|9,81901.100218
114,Left|9,81901.100218
115,Mid|5,81901.100218
116,Dashboard|5,81901.301285
117,Dashboard|5,81901.502351
118,Dashboard|5,81901.736928
118,Mid|1,81901.803951
119,Dashboard|6,81901.837462
120,Mid|5,81902.072039
121,Mid|5,81902.239594
122,Mid|5,81902.440661
123,Mid|5,81902.775771
124,Mid|5,81902.842793
125,Mid|5,81903.077371
126,Mid|5,81903.479503
127,Mid|5,81903.68057
128,Mid|6,81903.982169
129,Mid|6,81904.183236
130,Mid|5,81904.451324
131,Mid|5,81904.618879
132,Mid|5,81904.853457
133,Mid|5,81905.088034
133,Left|8,81905.255589
134,Mid|5,81905.2891
135,Mid|5,81905.523678
136,Mid|5,81905.758255
137,Mid|5,81905.959322
138,Mid|5,81906.193899
139,Mid|5,81906.394965
140,Mid|5,81906.596032
141,Mid|5,81906.797098
142,Mid|5,81907.031675
143,Mid|5,81907.266253
144,Mid|5,81907.467319
145,Mid|5,81907.701897
146,Mid|5,81907.80243
147,Mid|5,81908.037007
148,Dashboard|5,81908.539673
149,Mid|5,81908.807761
150,Mid|5,81908.874784
151,Mid|5,81909.109361
152,Mid|5,81909.343938
153,Mid|5,81909.477983
154,Mid|5,81909.71256
155,Mid|5,81910.04767
156,Mid|5,81910.282248
157,Mid|5,81910.483314
157,Left|3,81910.516825
158,Mid|5,81910.717892
159,Mid|5,81910.918958
160,Mid|5,81911.153535
161,Dashboard|6,81911.354602
161,Left|5,81911.388113
162,Left|4,81911.555668
162,Dashboard|5,81911.555668
163,Mid|5,81911.756734
164,Mid|5,81911.890779
165,Mid|5,81912.125356
166,Mid|5,81912.359933
167,Mid|5,81912.561
168,Dashboard|8,81912.89611
169,Dashboard|5,81913.130688
170,Mid|5,81913.331754
171,Mid|5,81913.53282
171,Left|3,81913.700376
172,Dashboard|7,81913.83442
172,Left|2,81913.901442
173,Mid|5,81914.203042
174,Mid|5,81914.404108
175,Mid|5,81914.638685
176,Mid|5,81914.873263
177,Mid|5,81915.074329
178,Mid|5,81915.275395
179,Dashboard|5,81915.476462
180,Dashboard|5,81915.644017
181,Mid|5,81915.945616
182,Mid|5,81916.04615
183,Mid|5,81916.247216
184,Mid|5,81916.481793
185,Mid|5,81916.716371
186,Mid|5,81916.917437
186,Left|8,81917.01797
187,Mid|5,81917.118503
188,Mid|5,81917.353081
189,Mid|5,81917.487125
190,Mid|5,81917.788725
191,Mid|5,81917.922769
192,Mid|5,81918.056813
193,Mid|5,81918.257879
194,Mid|5,81918.492457
195,Mid|5,81918.626501
196,Mid|5,81918.827567
197,Mid|5,81919.062145
198,Mid|5,81919.263211
198,Left|9,81919.263211
197,Left|9,81919.263211
199,Mid|5,81919.497789
200,Mid|5,81919.598322
201,Mid|5,81919.799388
202,Mid|5,81919.899921
203,Mid|5,81920.134499
204,Mid|5,81920.369076
205,Mid|5,81920.737698
206,Mid|5,81920.80472
207,Mid|5,81921.039297
208,Mid|5,81921.173341
209,Mid|5,81921.307386
210,Mid|5,81921.374408
211,Mid|5,81921.608985
212,Mid|5,81921.843562
213,Mid|5,81922.044629
214,Mid|5,81922.279206
215,Mid|5,81922.379739
216,Mid|5,81922.580806
217,Dashboard|5,81922.815383
218,Mid|5,81923.049961
219,Mid|5,81923.251027
220,Mid|5,81923.452093
221,Mid|5,81923.686671
222,Mid|5,81923.854226
223,Mid|5,81923.954759
224,Mid|5,81924.155825
225,Mid|5,81924.390403
226,Mid|5,81924.591469
227,Mid|5,81925.060624
228,Mid|5,81925.295201
229,Mid|5,81925.496268
230,Mid|5,81925.730845
231,Mid|5,81925.965422
232,Mid|5,81926.166489
232,Left|3,81926.334044
233,Mid|5,81926.401066
234,Mid|5,81926.635644
235,Mid|5,81926.970754
235,Left|2,81927.071287
236,Mid|5,81927.205332
237,Mid|5,81927.406398
238,Mid|5,81927.640975
239,Mid|5,81927.875553
240,Mid|5,81928.076619
240,Left|3,81928.210663
241,Mid|5,81928.311196
242,Mid|5,81928.478752
243,Mid|5,81928.679818
244,Mid|5,81928.847373
245,Mid|5,81929.081951
246,Mid|5,81929.249506
247,Dashboard|5,81929.38355
248,Mid|5,81929.618128
248,Left|3,81929.718661
249,Mid|5,81929.852705
250,Mid|5,81930.053771
251,Mid|5,81930.187816
252,Mid|5,81930.388882
253,Mid|5,81930.623459
254,Mid|5,81930.757504
255,Mid|5,81930.891548
256,Mid|5,81931.092614
257,Mid|5,81931.327192
258,Mid|5,81931.427725
259,Mid|5,81931.662302
259,Left|8,81931.796346
260,Mid|2,81931.829857
261,Mid|2,81932.064435
262,Mid|5,81932.265501
262,Left|9,81932.299012
263,Mid|5,81932.734656
264,Mid|5,81932.8687
264,Right|4,81932.902211
265,Mid|5,81932.969233
266,Dashboard|8,81933.103278
267,Mid|5,81933.304344
268,Mid|5,81933.404877
268,Left|9,81933.50541
269,Mid|5,81934.008076
269,Left|9,81934.075098
270,Mid|5,81934.242654
271,Mid|4,81934.44372
272,Mid|5,81934.678297
273,Mid|5,81934.745319
274,Mid|5,81935.180963
275,Mid|5,81935.382029
275,Left|8,81935.382029
274,Left|8,81935.382029
276,Mid|5,81935.516074
277,Mid|5,81935.650118
278,Mid|5,81935.884695
279,Mid|5,81936.119273
280,Mid|5,81936.286828
280,Left|2,81936.35385
281,Mid|5,81936.621939
282,Mid|5,81936.755983
283,Mid|5,81936.957049
284,Mid|5,81937.124604
285,Mid|5,81937.325671
285,Left|9,81937.392693
286,Mid|5,81937.459715
287,Mid|5,81937.694292
288,Mid|5,81937.895359
289,Mid|5,81938.062914
290,Mid|5,81938.163447
291,Mid|5,81938.26398
292,Mid|5,81938.666113
293,Mid|5,81938.766646
293,Left|8,81938.934201
294,Left|8,81938.934201
294,Mid|5,81938.934201
295,Dashboard|5,81939.135268
295,Left|3,81939.269312
296,Dashboard|6,81939.436867
297,Mid|5,81939.604423
298,Mid|5,81939.738467
299,Mid|4,81939.973044
300,Mid|4,81940.174111
301,Mid|5,81940.408688
302,Mid|5,81940.77731
303,Dashboard|5,81941.011887
303,Left|3,81941.045398
304,Dashboard|8,81941.11242
305,Dashboard|8,81941.179442
306,Dashboard|7,81941.279975
307,Mid|5,81941.481042
307,Left|8,81941.548064
307,Right|8,81941.615086
308,Mid|4,81941.682108
309,Mid|4,81941.816152
310,Mid|4,81942.017219
310,Left|8,81942.117752
311,Mid|4,81942.251796
312,Mid|4,81942.452862
312,Left|9,81942.553396
313,Mid|4,81942.586907
314,Mid|5,81942.787973
315,Mid|5,81942.955528
316,Mid|5,81943.089573
317,Mid|5,81943.32415
318,Mid|5,81943.491705
319,Mid|5,81943.65926
320,Mid|5,81943.860327
321,Mid|5,81944.027882
322,Mid|5,81944.228948
323,Mid|5,81944.430015
324,Mid|5,81944.631081
325,Mid|5,81944.798636
326,Mid|5,81944.89917
327,Mid|5,81944.966192
328,Mid|5,81945.133747
329,Mid|5,81945.267791
330,Mid|5,81945.468858
330,Right|2,81945.636413
331,Mid|5,81945.669924
332,Mid|5,81945.904501
333,Mid|5,81946.105568
334,Mid|5,81946.340145
335,Mid|5,81946.574722
