surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|1,1,100.8645000110846,100.8645000110846
Dashboard,Dashboard|4,14,2267.4444999865955,161.96032142761396
Dashboard,Dashboard|5,74,10536.293000084697,142.3823378389824
Dashboard,Dashboard|6,29,4442.098499916028,153.17581034193202
Dashboard,Dashboard|7,7,948.1300000334159,135.44714286191655
Dashboard,Dashboard|8,68,9107.993500016164,133.94108088259065
Dashboard,Dashboard|9,17,2402.5314999598777,141.32538235058104
Left,Left|1,9,1232.4489999591606,136.93877777324008
Left,Left|2,45,7468.048499998986,165.9566333333108
Left,Left|3,60,11157.98000000359,185.96633333339318
Left,Left|4,19,3050.1600000134204,160.5347368428116
Left,Left|5,13,2118.1670000369195,162.93592307976303
Left,Left|6,20,3021.9154999940656,151.09577499970328
Left,Left|7,1,217.86850001080893,217.86850001080893
Left,Left|8,46,8561.422999933711,186.11789130290677
Left,Left|9,78,15012.755499963532,192.47122435850682
Mid,Mid|1,7,1266.865500001586,180.98078571451228
Mid,Mid|2,48,6402.764500089688,133.39092708520184
Mid,Mid|3,6,891.6470000258414,148.60783333764024
Mid,Mid|4,12,1839.779500005534,153.3149583337945
Mid,Mid|5,2071,374134.6449996927,180.65410188299984
Mid,Mid|6,1237,218683.43950074632,176.78531891733735
Mid,Mid|7,2,234.00699999183416,117.00349999591708
Mid,Mid|8,11,1573.4945000440348,143.0449545494577
Right,Right|1,20,3808.6630000179866,190.43315000089933
Right,Right|2,7,1367.7319999842439,195.39028571203485
Right,Right|3,1,217.86900000006423,217.86900000006423
Right,Right|4,23,4083.014499890851,177.5223695604718
Right,Right|5,7,1111.4640000305371,158.78057143293387
Right,Right|6,1,80.69200000318233,80.69200000318233
Right,Right|7,39,7221.937000009348,185.17787179511149
Right,Right|8,29,5144.11699998891,177.38334482720379
Right,Right|9,4,593.0865000118501,148.27162500296254
