aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,1544,0.21374151748705353,0.20106700000178535
Mid|6,Mid|6,848,0.2068754504717394,0.2010664999979781
Mid|6,Mid|5,244,0.223864823770633,0.23457699999562465
Mid|5,Mid|6,242,0.21325219834668607,0.2010660000014468
Left|9,Mid|5,48,0.14661083333157876,0.13404400000581518
Mid|5,Left|9,48,0.08168316666797182,0.06702200000290759
Mid|5,Left|8,29,0.11324427586203392,0.10053300000436138
Left|3,Mid|5,28,0.15798067857187043,0.13404400000581518
Mid|6,Left|3,26,0.09795534615281773,0.08377799999288982
Left|8,Mid|5,26,0.1701330384614546,0.16755499999999302
Mid|5,Dashboard|5,25,0.3243871600029524,0.30159900001308415
Right|7,Mid|5,25,0.11393760000006296,0.10053299998980947
Mid|5,Left|3,24,0.097740583333992,0.06702200000290759
Mid|5,Right|7,24,0.12147766666506261,0.11728900000161957
Mid|5,Right|8,23,0.09616213043551872,0.10053300000436138
Mid|5,Dashboard|8,23,0.2914003913054172,0.30160000000614673
Left|2,Mid|5,22,0.1736482272740845,0.13404399999853922
Mid|5,Left|2,22,0.1873571363632271,0.08377749999635853
Mid|5,Mid|2,22,0.22086840908940014,0.2010669999945094
Left|9,Mid|6,21,0.13563995238066473,0.13404400000581518
Mid|6,Left|9,21,0.081384047619178,0.06702200000290759
Left|3,Mid|6,21,0.11649080952476998,0.10053299998980947
Dashboard|8,Mid|5,20,0.26138614999945275,0.23457750000670785
Right|8,Mid|5,17,0.11433194117767818,0.10053399999742396
Dashboard|5,Mid|5,16,0.295316124999772,0.268088999990141
Mid|2,Mid|5,15,0.2368114666683444,0.20106700000178535
Mid|6,Dashboard|5,14,0.2896311428589148,0.2680880000043544
Mid|6,Right|4,13,0.15466630769011458,0.16755499999271706
Dashboard|8,Dashboard|8,12,0.12008141666592564,0.11728899999434361
Dashboard|8,Mid|6,12,0.2680884166669178,0.2513330000001588
Mid|6,Dashboard|8,12,0.24854024999998123,0.25133250001090346
Right|1,Mid|5,11,0.09444009090789636,0.10053299998980947
Left|8,Mid|6,11,0.10357963636422275,0.10053300000436138
Right|7,Mid|6,10,0.07707549999759067,0.033511499997985084
Left|2,Mid|6,10,0.12734199999977136,0.10053299999708543
Dashboard|5,Dashboard|5,10,0.12734220000129426,0.10053300000436138
Mid|5,Right|1,9,0.14521444444512277,0.16755500000726897
Mid|6,Left|8,9,0.10798000000067987,0.10053300000436138
Mid|5,Left|6,9,0.08563944444338428,0.06702199998835567
Mid|2,Mid|2,8,0.13404412499767204,0.13404399999126326
Dashboard|5,Mid|6,8,0.3769993749992864,0.385376999998698
Left|6,Mid|5,8,0.10891087500203867,0.16755500000726897
Right|4,Mid|6,8,0.09634412500417966,0.06702200000290759
Right|8,Mid|6,8,0.05445549999967625,0.06702200000290759
Right|4,Mid|5,7,0.08138385714638778,0.06702200000290759
Mid|6,Right|7,7,0.11010800000180357,0.10053300000436138
Mid|6,Left|2,7,0.12446957143090133,0.13404400000581518
Dashboard|6,Left|4,7,0.057447571432151436,0.033511000001453795
Mid|6,Right|1,7,0.12446971428289544,0.10053399999742396
Dashboard|5,Dashboard|8,6,0.145214666663378,0.13404399999853922
Right|1,Mid|6,6,0.1284588333364809,0.11728850000508828
Dashboard|5,Left|4,6,0.061437000001509055,0.05026650000218069
Mid|2,Left|6,6,0.033511000001453795,0.033511000001453795
Dashboard|5,Dashboard|4,5,0.10053320000006352,0.10053300000436138
Mid|5,Right|2,5,0.11393759999191388,0.10053299998980947
Dashboard|5,Left|5,5,0.06702199999417643,0.06702199998835567
Mid|4,Mid|5,5,0.39543039999553004,0.43564399999741
Right|2,Mid|5,4,0.10891075000472483,0.10053300000436138
Right|7,Right|7,4,0.0,0.0
Mid|2,Mid|6,4,0.22619950000444078,0.23457750000670785
Left|3,Left|3,4,0.0,0.0
Left|4,Mid|6,4,0.2680885000008857,0.2848439999943366
Mid|6,Dashboard|9,4,0.20106624999971245,0.2010660000014468
Mid|6,Mid|2,4,0.25133274999825517,0.2513330000001588
Dashboard|9,Mid|5,4,0.2513327499946172,0.3015994999950635
Mid|5,Mid|8,4,0.2597105000058946,0.23457700001017656
Mid|6,Right|8,4,0.11728849999781232,0.10053299999708543
Dashboard|8,Dashboard|5,4,0.1340442499931669,0.13404399999126326
Dashboard|6,Dashboard|6,4,0.13404424999680487,0.11728899999434361
Mid|5,Right|4,4,0.15079975000116974,0.1843105000007199
Left|5,Mid|5,4,0.25133274999825517,0.2680885000008857
Left|6,Mid|6,4,0.11728850000508828,0.11728850000508828
Right|2,Mid|6,3,0.10053300000436138,0.06702200000290759
Dashboard|9,Dashboard|9,3,0.16755533332858855,0.13404399999126326
Dashboard|6,Left|2,3,0.033511000001453795,0.0
Dashboard|5,Dashboard|6,3,0.21223633333769007,0.23457699999562465
Dashboard|5,Left|2,3,0.033510999996603154,0.0
Dashboard|4,Mid|6,3,0.2904293333364573,0.23457699999562465
Dashboard|4,Mid|5,3,0.3239403333282098,0.3351109999930486
Left|4,Dashboard|6,3,0.10053300000436138,0.10053300000436138
Left|5,Dashboard|5,3,0.1787256666624065,0.16755600000033155
Mid|5,Mid|4,3,0.3686216666683322,0.30160000000614673
Left|4,Dashboard|8,3,0.13404400000581518,0.13404400000581518
Mid|2,Dashboard|8,3,0.08936333333258517,0.13404499999887776
Mid|2,Dashboard|7,3,0.14521466666580332,0.16755500000726897
Left|4,Mid|5,3,0.33511033332615625,0.3686209999868879
Mid|5,Dashboard|9,3,0.23457766666736765,0.23457800000323914
Left|2,Dashboard|5,3,0.07819233333187488,0.06702200000290759
Dashboard|8,Dashboard|9,3,0.15638533333549276,0.16755600000033155
Dashboard|8,Mid|2,3,0.022340999998656724,0.0
Dashboard|8,Left|2,3,0.07819300000361788,0.06702300001052208
Dashboard|5,Right|5,3,0.07819233333672553,0.06702200000290759
Mid|6,Mid|8,3,0.11170366666434954,0.10053300000436138
Mid|8,Mid|5,3,0.16755500000241833,0.16755500000726897
Dashboard|6,Mid|5,3,0.2122366666638603,0.20106599999417085
Left|1,Mid|6,3,0.30159933333440375,0.33510999999998603
Dashboard|8,Mid|4,3,0.07819233333672553,0.06702200000290759
Mid|8,Mid|8,3,0.17872599999342734,0.16755600000033155
Right|9,Mid|5,2,0.1843105000007199,0.1843105000007199
Dashboard|6,Mid|6,2,0.217821999998705,0.217821999998705
Mid|8,Mid|6,2,0.16755499999999302,0.16755499999999302
