fixationid,aoi_id,world_timestamp,next_fixation_id,next_aoi,next_world_timestamp,transition_duration,transition
0,Mid|2,3337.327769,1.0,Mid|2,3337.629368,0.3015989999998965,Mid|2 -> Mid|2
1,Mid|2,3337.629368,2.0,Mid|2,3338.165545,0.5361769999999524,Mid|2 -> Mid|2
2,Mid|2,3338.165545,3.0,Mid|2,3338.266078,0.10053300000026866,Mid|2 -> Mid|2
3,Mid|2,3338.266078,4.0,Mid|2,3338.366611,0.10053299999981391,Mid|2 -> Mid|2
4,Mid|2,3338.366611,5.0,Mid|5,3338.902787,0.5361760000000686,Mid|2 -> Mid|5
5,Mid|5,3338.902787,8.0,Left|9,3340.075674,1.1728870000001734,Mid|5 -> Left|9
8,Left|9,3340.075674,9.0,Left|8,3340.243229,0.16755499999999302,Left|9 -> Left|8
9,Left|8,3340.243229,12.0,Left|8,3340.879938,0.6367089999998825,Left|8 -> Left|8
12,Left|8,3340.879938,14.0,Left|8,3341.349093,0.4691549999997733,Left|8 -> Left|8
14,Left|8,3341.349093,15.0,Left|8,3341.550159,0.20106600000008257,Left|8 -> Left|8
15,Left|8,3341.550159,16.0,Mid|2,3341.851758,0.3015989999998965,Left|8 -> Mid|2
16,Mid|2,3341.851758,17.0,Mid|5,3341.985802,0.1340440000003582,Mid|2 -> Mid|5
17,Mid|5,3341.985802,18.0,Mid|5,3342.253891,0.2680889999996907,Mid|5 -> Mid|5
18,Mid|5,3342.253891,19.0,Mid|5,3342.488468,0.23457700000017212,Mid|5 -> Mid|5
19,Mid|5,3342.488468,20.0,Mid|5,3342.723045,0.23457700000017212,Mid|5 -> Mid|5
20,Mid|5,3342.723045,21.0,Mid|2,3342.924111,0.20106599999962782,Mid|5 -> Mid|2
21,Mid|2,3342.924111,22.0,Mid|2,3343.058155,0.1340440000003582,Mid|2 -> Mid|2
22,Mid|2,3343.058155,23.0,Mid|2,3343.326244,0.2680889999996907,Mid|2 -> Mid|2
23,Mid|2,3343.326244,24.0,Mid|2,3343.52731,0.20106600000008257,Mid|2 -> Mid|2
24,Mid|2,3343.52731,25.0,Left|8,3344.231042,0.7037319999999454,Mid|2 -> Left|8
25,Left|8,3344.231042,26.0,Mid|5,3344.49913,0.2680880000002617,Left|8 -> Mid|5
26,Mid|5,3344.49913,27.0,Mid|2,3344.666685,0.16755499999999302,Mid|5 -> Mid|2
27,Mid|2,3344.666685,28.0,Mid|2,3344.901262,0.23457699999971737,Mid|2 -> Mid|2
28,Mid|2,3344.901262,29.0,Mid|2,3345.135839,0.23457700000017212,Mid|2 -> Mid|2
29,Mid|2,3345.135839,30.0,Mid|2,3345.336906,0.20106699999996636,Mid|2 -> Mid|2
30,Mid|2,3345.336906,31.0,Mid|2,3345.571483,0.23457700000017212,Mid|2 -> Mid|2
31,Mid|2,3345.571483,32.0,Mid|2,3345.80606,0.23457699999971737,Mid|2 -> Mid|2
32,Mid|2,3345.80606,33.0,Mid|2,3346.007126,0.20106600000008257,Mid|2 -> Mid|2
33,Mid|2,3346.007126,34.0,Mid|2,3346.241704,0.2345780000000559,Mid|2 -> Mid|2
34,Mid|2,3346.241704,35.0,Mid|5,3346.44277,0.20106600000008257,Mid|2 -> Mid|5
