fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Left,237.89258,13,237.847709,80.69100000000162,1.0712197453385253,0.581819474697113,0.5157997608184814,0.581819474697113,0.5157997608184814,True,5.0,Left|5,1.0,237.89258,Mid|4,Left|5 -> Mid|4,0.0,Left,Mid
5,Mid,238.562788,33,238.5470875,80.69000000000415,1.4550703791113997,0.1956843882799148,0.7909848690032959,0.1956843882799148,0.7909848690032959,True,7.0,Mid|7,9.0,239.970225,Left|8,Mid|7 -> Left|8,1.4074369999999874,Mid,Left
11,Left,240.238308,83,240.181065,189.621499999987,0.7942630631980657,0.7733548879623413,0.4957200288772583,0.7733548879623413,0.4957200288772583,True,6.0,Left|6,15.0,241.009047,Mid|5,Left|6 -> Mid|5,0.7707390000000203,Left,Mid
56,Mid,249.420158,357,249.4362365,129.10449999998264,1.4848647013738585,0.49847551584243777,0.3424091041088104,0.5061523914337158,0.3643815219402313,True,5.0,Mid|5,56.0,249.420158,Left|7,Mid|5 -> Left|7,0.0,Mid,Left
56,Left,249.420158,357,249.4362365,129.10449999998264,1.4848647013738585,0.25604048371315,0.8969229459762573,0.25604048371315,0.8969229459762573,True,7.0,Left|7,57.0,249.554199,Mid|2,Left|7 -> Mid|2,0.13404100000002472,Left,Mid
57,Mid,249.554199,361,249.5693755,201.7255000000091,1.359792743041003,0.490677399294717,0.32322418476854053,0.4808616936206817,0.317765861749649,True,2.0,Mid|2,57.0,249.62122,Left|6,Mid|2 -> Left|6,0.06702099999998268,Mid,Left
57,Left,249.62122,363,249.5693755,201.7255000000091,1.359792743041003,0.8906968235969543,0.5977413654327393,0.8906968235969543,0.5977413654327393,True,6.0,Left|6,58.0,249.788772,Mid|5,Left|6 -> Mid|5,0.1675520000000006,Left,Mid
59,Mid,249.989835,374,249.9970335,217.86400000002004,0.937839818607094,0.4998687729239464,0.36445875465869904,0.4927347898483276,0.3487723767757416,True,5.0,Mid|5,59.0,250.023345,Left|3,Mid|5 -> Left|3,0.03351000000000681,Mid,Left
59,Left,250.023345,375,249.9970335,217.86400000002004,0.937839818607094,0.7641599774360657,0.1686187982559204,0.7641599774360657,0.1686187982559204,True,3.0,Left|3,60.0,250.224407,Mid|5,Left|3 -> Mid|5,0.2010620000000074,Left,Mid
90,Mid,256.758935,576,256.7669455,217.8639999999632,0.5924311388619242,0.4755535386502743,0.3779909685254097,0.4786078631877899,0.3766213059425354,True,5.0,Mid|5,90.0,256.959998,Left|8,Mid|5 -> Left|8,0.20106299999997646,Mid,Left
90,Left,256.959998,582,256.7669455,217.8639999999632,0.5924311388619242,0.5969355702400208,0.72420734167099,0.5969355702400208,0.72420734167099,True,8.0,Left|8,91.0,256.993508,Mid|5,Left|8 -> Mid|5,0.033510000000035234,Left,Mid
