from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Left,Left,237.758539,237.89258,0.1340409999999963
Left,Mid,237.89258,237.89258,0.0
Mid,Mid,237.89258,238.261195,0.36861499999997704
Mid,Mid,238.261195,238.428747,0.1675520000000006
Mid,Mid,238.428747,238.562788,0.13404100000002472
Mid,Left,238.562788,239.970225,1.4074369999999874
Left,Left,239.970225,239.970225,0.0
Left,Left,239.970225,240.238308,0.2680829999999901
Left,Mid,240.238308,241.009047,0.7707390000000203
Mid,Mid,241.009047,241.176599,0.1675520000000006
Mid,Mid,241.176599,241.277131,0.10053199999998697
Mid,Mid,241.277131,241.344151,0.06702000000001362
Mid,Mid,241.344151,241.511703,0.1675520000000006
Mid,Mid,241.511703,241.612235,0.10053199999998697
Mid,Mid,241.612235,241.846807,0.2345720000000142
Mid,Mid,241.846807,242.04787,0.20106299999997646
Mid,Mid,242.04787,242.181911,0.13404100000002472
Mid,Mid,242.181911,242.416484,0.23457299999998327
Mid,Mid,242.416484,242.651057,0.2345730000000117
Mid,Mid,242.651057,242.852119,0.20106199999997898
Mid,Mid,242.852119,243.086692,0.2345730000000117
Mid,Mid,243.086692,243.287755,0.20106300000000488
Mid,Mid,243.287755,243.656369,0.368614000000008
Mid,Mid,243.656369,243.72339,0.06702099999998268
Mid,Mid,243.72339,243.890942,0.1675520000000006
Mid,Mid,243.890942,244.092004,0.2010620000000074
Mid,Mid,244.092004,244.326577,0.23457299999998327
Mid,Mid,244.326577,244.527639,0.2010620000000074
Mid,Mid,244.527639,244.762212,0.2345730000000117
Mid,Mid,244.762212,244.996785,0.23457299999998327
Mid,Mid,244.996785,245.197847,0.2010620000000074
Mid,Mid,245.197847,245.43242,0.2345730000000117
Mid,Mid,245.43242,245.666993,0.23457299999998327
Mid,Mid,245.666993,245.868055,0.2010620000000074
Mid,Mid,245.868055,246.102628,0.2345730000000117
Mid,Mid,246.102628,246.303691,0.20106299999997646
Mid,Mid,246.303691,246.538263,0.2345720000000142
Mid,Mid,246.538263,246.772836,0.2345730000000117
Mid,Mid,246.772836,246.973899,0.20106299999997646
Mid,Mid,246.973899,247.208471,0.2345720000000142
Mid,Mid,247.208471,247.443044,0.23457299999998327
Mid,Mid,247.443044,247.644107,0.20106300000000488
Mid,Mid,247.644107,247.811659,0.1675520000000006
Mid,Mid,247.811659,248.012721,0.2010620000000074
Mid,Mid,248.012721,248.247294,0.2345730000000117
Mid,Mid,248.247294,248.481867,0.23457299999998327
Mid,Mid,248.481867,248.682929,0.2010620000000074
Mid,Mid,248.682929,248.917502,0.2345730000000117
Mid,Mid,248.917502,249.152075,0.23457299999998327
Mid,Mid,249.152075,249.420158,0.2680829999999901
Mid,Left,249.420158,249.420158,0.0
Left,Mid,249.420158,249.554199,0.13404100000002472
Mid,Left,249.554199,249.62122,0.06702099999998268
Left,Mid,249.62122,249.788772,0.1675520000000006
Mid,Mid,249.788772,249.989835,0.20106300000000488
Mid,Left,249.989835,250.023345,0.03351000000000681
Left,Mid,250.023345,250.224407,0.2010620000000074
Mid,Mid,250.224407,250.391959,0.1675520000000006
Mid,Mid,250.391959,250.626532,0.23457299999998327
Mid,Mid,250.626532,250.861105,0.2345730000000117
Mid,Mid,250.861105,251.062167,0.20106199999997898
Mid,Mid,251.062167,251.29674,0.2345730000000117
Mid,Mid,251.29674,251.531313,0.2345730000000117
Mid,Mid,251.531313,251.698865,0.1675520000000006
Mid,Mid,251.698865,251.933438,0.23457299999998327
Mid,Mid,251.933438,252.1345,0.2010620000000074
Mid,Mid,252.1345,252.369073,0.23457299999998327
Mid,Mid,252.369073,252.570135,0.2010620000000074
Mid,Mid,252.570135,252.804708,0.2345730000000117
Mid,Mid,252.804708,253.005771,0.20106300000000488
Mid,Mid,253.005771,253.206833,0.20106199999997898
Mid,Mid,253.206833,253.441406,0.2345730000000117
Mid,Mid,253.441406,253.675979,0.2345730000000117
Mid,Mid,253.675979,253.877041,0.20106199999997898
Mid,Mid,253.877041,254.111614,0.2345730000000117
Mid,Mid,254.111614,254.312676,0.2010620000000074
Mid,Mid,254.312676,254.547249,0.23457299999998327
Mid,Mid,254.547249,254.781822,0.2345730000000117
Mid,Mid,254.781822,254.982884,0.2010620000000074
Mid,Mid,254.982884,255.217457,0.23457299999998327
Mid,Mid,255.217457,255.45203,0.2345730000000117
Mid,Mid,255.45203,255.653092,0.20106199999997898
Mid,Mid,255.653092,255.887665,0.2345730000000117
Mid,Mid,255.887665,256.088727,0.2010620000000074
Mid,Mid,256.088727,256.3233,0.2345730000000117
Mid,Mid,256.3233,256.557873,0.23457299999995485
Mid,Mid,256.557873,256.758935,0.20106200000003582
Mid,Left,256.758935,256.959998,0.20106299999997646
Left,Mid,256.959998,256.993508,0.033510000000035234
Mid,Mid,256.993508,257.194571,0.20106299999997646
Mid,Mid,257.194571,257.429143,0.2345720000000142
Mid,Mid,257.429143,257.663716,0.2345730000000117
Mid,Mid,257.663716,257.864779,0.20106299999997646
Mid,Left,257.864779,257.99882,0.13404100000002472
Left,Mid,257.99882,258.099351,0.10053099999998949
Mid,Mid,258.099351,258.333924,0.2345730000000117
Mid,Mid,258.333924,258.534987,0.20106299999997646
Mid,Mid,258.534987,258.769559,0.2345720000000142
Mid,Mid,258.769559,258.970622,0.20106299999997646
Mid,Mid,258.970622,259.205195,0.2345730000000117
Mid,Mid,259.205195,259.406257,0.20106199999997898
Mid,Mid,259.406257,259.64083,0.2345730000000117
Mid,Mid,259.64083,259.875403,0.2345730000000117
Mid,Mid,259.875403,260.076465,0.20106199999997898
Mid,Mid,260.076465,260.411569,0.3351040000000012
Mid,Left,260.411569,260.5121,0.10053099999998949
Left,Mid,260.5121,260.545611,0.03351100000003271
Mid,Mid,260.545611,260.646142,0.10053099999998949
Mid,Mid,260.646142,260.713163,0.0670210000000111
Mid,Mid,260.713163,260.880715,0.1675520000000006
Mid,Mid,260.880715,261.081777,0.20106199999997898
Mid,Mid,261.081777,261.31635,0.2345730000000117
Mid,Mid,261.31635,261.517412,0.20106199999997898
Mid,Mid,261.517412,261.751985,0.2345730000000117
Mid,Mid,261.751985,261.953047,0.20106200000003582
Mid,Mid,261.953047,262.18762,0.23457299999995485
Mid,Mid,262.18762,262.422193,0.2345730000000117
Mid,Mid,262.422193,262.623255,0.20106199999997898
Mid,Mid,262.623255,262.857828,0.2345730000000117
Mid,Mid,262.857828,263.092401,0.2345730000000117
Mid,Mid,263.092401,263.293463,0.20106199999997898
Mid,Mid,263.293463,263.528036,0.2345730000000117
Mid,Mid,263.528036,263.729099,0.2010630000000333
Mid,Left,263.729099,263.930161,0.20106199999997898
Left,Mid,263.930161,263.963671,0.03350999999997839
Mid,Mid,263.963671,264.198244,0.2345730000000117
Mid,Mid,264.198244,264.399307,0.2010630000000333
Mid,Mid,264.399307,264.633879,0.23457199999995737
Mid,Mid,264.633879,264.868452,0.2345730000000117
Mid,Mid,264.868452,265.069515,0.2010630000000333
Mid,Mid,265.069515,265.304087,0.23457199999995737
Mid,Mid,265.304087,265.50515,0.2010630000000333
Mid,Mid,265.50515,265.739723,0.2345730000000117
Mid,Mid,265.739723,265.974295,0.23457199999995737
Mid,Mid,265.974295,266.175358,0.2010630000000333
Mid,Mid,266.175358,266.409931,0.23457299999995485
Mid,Mid,266.409931,266.610993,0.20106200000003582
Mid,Mid,266.610993,266.845566,0.2345730000000117
Mid,Mid,266.845566,267.080139,0.23457299999995485
Mid,Mid,267.080139,267.281201,0.20106200000003582
Mid,Mid,267.281201,267.515774,0.2345730000000117
Mid,Mid,267.515774,267.750347,0.23457299999995485
Mid,Mid,267.750347,267.951409,0.20106200000003582
Mid,Mid,267.951409,268.085451,0.13404199999996536
Mid,Mid,268.085451,268.253003,0.1675520000000006
Mid,Mid,268.253003,268.454065,0.20106200000003582
Mid,Mid,268.454065,268.688638,0.2345730000000117
Mid,Mid,268.688638,268.8897,0.20106199999997898
Mid,Mid,268.8897,269.124273,0.2345730000000117
Mid,Mid,269.124273,269.358846,0.2345730000000117
Mid,Mid,269.358846,269.492887,0.13404099999996788
Mid,Mid,269.492887,269.69395,0.20106299999997646
Mid,Mid,269.69395,269.928523,0.2345730000000117
Mid,Mid,269.928523,270.096075,0.1675520000000006
Mid,Mid,270.096075,270.297137,0.20106200000003582
Mid,Mid,270.297137,270.53171,0.23457299999995485
Mid,Mid,270.53171,270.632241,0.10053100000004633
Mid,Mid,270.632241,270.833303,0.20106199999997898
Mid,Mid,270.833303,271.034366,0.20106299999997646
Mid,Mid,271.034366,271.268939,0.2345730000000117
Mid,Left,271.268939,271.36947,0.10053099999998949
Left,Mid,271.36947,271.537022,0.1675520000000006
Mid,Mid,271.537022,271.637553,0.10053100000004633
Mid,Mid,271.637553,271.805105,0.1675520000000006
Mid,Mid,271.805105,272.106699,0.30159399999996594
Mid,Mid,272.106699,272.341271,0.2345720000000142
Mid,Mid,272.341271,272.475313,0.1340420000000222
Mid,Mid,272.475313,272.575844,0.10053099999998949
Mid,Mid,272.575844,272.776907,0.20106299999997646
Mid,Mid,272.776907,273.011479,0.2345720000000142
Mid,Mid,273.011479,273.112011,0.10053199999998697
Mid,Mid,273.112011,273.313073,0.20106199999997898
Mid,Mid,273.313073,273.547646,0.2345730000000117
Mid,Mid,273.547646,273.782219,0.2345730000000117
Mid,Mid,273.782219,273.983281,0.20106199999997898
Mid,Mid,273.983281,274.083812,0.10053100000004633
Mid,Mid,274.083812,274.284875,0.20106299999997646
Mid,Mid,274.284875,274.519447,0.2345720000000142
Mid,Mid,274.519447,274.75402,0.2345730000000117
Mid,Mid,274.75402,274.955083,0.20106299999997646
Mid,Mid,274.955083,275.189655,0.2345720000000142
Mid,Left,275.189655,275.290187,0.10053199999998697
Left,Mid,275.290187,275.357207,0.06702000000001362
Mid,Mid,275.357207,275.491249,0.13404199999996536
Mid,Mid,275.491249,275.59178,0.10053100000004633
Mid,Left,275.59178,275.792843,0.20106299999997646
Left,Mid,275.792843,275.826353,0.03350999999997839
Mid,Mid,275.826353,275.926884,0.10053099999998949
Mid,Mid,275.926884,276.094436,0.1675520000000006
Mid,Mid,276.094436,276.295499,0.2010630000000333
