surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|4,9,1512.9670000000033,168.1074444444448
Dashboard,Dashboard|5,2,282.42599999998674,141.21299999999337
Left,Left|1,2,407.4909999999363,203.74549999996816
Left,Left|2,4,871.4874999998301,217.87187499995753
Left,Left|3,19,3772.402999999372,198.54752631575641
Left,Left|5,1,217.86550000001623,217.86550000001623
Left,Left|6,4,720.6684999999311,180.16712499998278
Left,Left|8,16,3239.7790000008517,202.48618750005323
Left,Left|9,5,988.4644999999637,197.69289999999273
Mid,Mid|1,7,883.6150000000771,126.2307142857253
Mid,Mid|2,113,20875.055500000086,184.73500442477953
Mid,Mid|3,15,2077.9075000000375,138.52716666666916
Mid,Mid|4,2,435.75550000014124,217.87775000007062
Mid,Mid|5,386,76469.2514999993,198.10686917098263
Mid,Mid|6,9,1351.5919999999824,150.17688888888694
Right,Right|3,1,189.62499999997817,189.62499999997817
Right,Right|4,1,217.87799999992785,217.87799999992785
