from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,502.66052,502.794563,0.13404299999996283
Mid,Mid,502.794563,503.029137,0.23457400000000916
Mid,Mid,503.029137,503.2302,0.2010630000000333
Mid,Mid,503.2302,503.364242,0.13404199999996536
Mid,Mid,503.364242,503.464774,0.10053199999998697
Mid,Left,503.464774,503.464774,0.0
Left,Mid,503.464774,503.900411,0.43563700000004246
Mid,Mid,503.900411,504.000943,0.10053199999998697
Mid,Mid,504.000943,504.235517,0.23457400000000916
Mid,Mid,504.235517,504.43658,0.20106299999997646
Mid,Left,504.43658,505.743492,1.3069120000000112
Left,Left,505.743492,505.944556,0.20106399999997393
Left,Mid,505.944556,506.78232,0.8377640000000497
Mid,Mid,506.78232,506.949873,0.16755299999999806
Mid,Mid,506.949873,507.016894,0.06702099999995426
Mid,Mid,507.016894,507.251468,0.23457400000000916
Mid,Mid,507.251468,507.486042,0.23457400000000916
Mid,Mid,507.486042,507.687105,0.20106299999997646
Mid,Mid,507.687105,507.921679,0.23457400000000916
Mid,Mid,507.921679,508.122743,0.20106400000003077
Mid,Mid,508.122743,508.357316,0.2345730000000117
Mid,Mid,508.357316,508.59189,0.23457399999995232
Mid,Mid,508.59189,508.792954,0.20106400000003077
Mid,Mid,508.792954,509.027528,0.23457400000000916
Mid,Mid,509.027528,509.262102,0.23457400000000916
Mid,Mid,509.262102,509.463165,0.20106299999997646
Mid,Mid,509.463165,509.697739,0.23457400000000916
Mid,Mid,509.697739,509.898802,0.20106299999997646
Mid,Mid,509.898802,510.133376,0.23457400000000916
Mid,Mid,510.133376,510.36795,0.23457400000000916
Mid,Mid,510.36795,510.569014,0.20106399999997393
Mid,Mid,510.569014,510.803588,0.23457400000000916
Mid,Mid,510.803588,511.038162,0.23457400000000916
Mid,Mid,511.038162,511.239225,0.20106299999997646
Mid,Mid,511.239225,511.473799,0.23457400000000916
Mid,Mid,511.473799,511.674862,0.2010630000000333
Mid,Mid,511.674862,511.909436,0.23457400000000916
Mid,Mid,511.909436,512.14401,0.23457399999995232
Mid,Mid,512.14401,512.345074,0.20106399999997393
Mid,Mid,512.345074,512.579648,0.234574000000066
Mid,Mid,512.579648,512.780711,0.20106299999997646
Mid,Left,512.780711,512.948264,0.16755299999999806
Left,Mid,512.948264,513.015285,0.06702099999995426
Mid,Mid,513.015285,513.249859,0.234574000000066
Mid,Mid,513.249859,513.450922,0.20106299999997646
Mid,Mid,513.450922,513.685496,0.23457399999995232
Mid,Mid,513.685496,513.819539,0.13404300000001967
Mid,Mid,513.819539,514.054113,0.234574000000066
Mid,Mid,514.054113,514.255176,0.20106299999997646
Mid,Mid,514.255176,514.48975,0.23457399999995232
Mid,Mid,514.48975,514.690813,0.20106300000009014
Mid,Mid,514.690813,514.925387,0.23457399999995232
Mid,Mid,514.925387,515.159961,0.23457399999995232
Mid,Mid,515.159961,515.361025,0.20106400000008762
Mid,Mid,515.361025,515.595599,0.23457399999995232
Mid,Mid,515.595599,515.796662,0.20106299999997646
Mid,Mid,515.796662,516.031236,0.234574000000066
Mid,Mid,516.031236,516.232299,0.20106299999997646
Mid,Mid,516.232299,516.466873,0.23457399999995232
Mid,Mid,516.466873,516.701447,0.234574000000066
Mid,Mid,516.701447,516.902511,0.20106399999997393
Mid,Mid,516.902511,517.137085,0.23457399999995232
Mid,Mid,517.137085,517.371659,0.234574000000066
Mid,Mid,517.371659,517.572722,0.20106299999997646
Mid,Mid,517.572722,517.807296,0.23457399999995232
Mid,Mid,517.807296,518.008359,0.20106300000009014
Mid,Mid,518.008359,518.343465,0.33510599999999613
Mid,Mid,518.343465,518.443997,0.10053199999993012
Mid,Mid,518.443997,518.544528,0.10053100000004633
Mid,Mid,518.544528,518.745592,0.20106399999997393
Mid,Mid,518.745592,518.812613,0.06702100000006794
