fixationid,aoi_id,world_timestamp,next_fixation_id,next_aoi,next_world_timestamp,transition_duration,transition
0,Mid|6,502.66052,1.0,Mid|6,502.794563,0.13404299999996283,Mid|6 -> Mid|6
1,Mid|6,502.794563,2.0,Mid|6,503.029137,0.23457400000000916,Mid|6 -> Mid|6
2,Mid|6,503.029137,3.0,Mid|6,503.2302,0.2010630000000333,Mid|6 -> Mid|6
3,Mid|6,503.2302,4.0,Mid|6,503.364242,0.13404199999996536,Mid|6 -> Mid|6
4,Mid|6,503.364242,5.0,Mid|6,503.464774,0.10053199999998697,Mid|6 -> Mid|6
5,Mid|6,503.464774,5.0,Left|8,503.464774,0.0,Mid|6 -> Left|8
5,Left|8,503.464774,6.0,Mid|5,503.900411,0.43563700000004246,Left|8 -> Mid|5
6,Mid|5,503.900411,7.0,Mid|5,504.000943,0.10053199999998697,Mid|5 -> Mid|5
7,Mid|5,504.000943,8.0,Mid|5,504.235517,0.23457400000000916,Mid|5 -> Mid|5
8,Mid|5,504.235517,9.0,Mid|5,504.43658,0.20106299999997646,Mid|5 -> Mid|5
9,Mid|5,504.43658,10.0,Left|9,505.743492,1.3069120000000112,Mid|5 -> Left|9
10,Left|9,505.743492,11.0,Left|6,505.944556,0.20106399999997393,Left|9 -> Left|6
11,Left|6,505.944556,14.0,Mid|2,506.78232,0.8377640000000497,Left|6 -> Mid|2
14,Mid|2,506.78232,15.0,Mid|2,506.949873,0.16755299999999806,Mid|2 -> Mid|2
15,Mid|2,506.949873,16.0,Mid|2,507.016894,0.06702099999995426,Mid|2 -> Mid|2
16,Mid|2,507.016894,17.0,Mid|2,507.251468,0.23457400000000916,Mid|2 -> Mid|2
17,Mid|2,507.251468,18.0,Mid|2,507.486042,0.23457400000000916,Mid|2 -> Mid|2
18,Mid|2,507.486042,19.0,Mid|2,507.687105,0.20106299999997646,Mid|2 -> Mid|2
19,Mid|2,507.687105,20.0,Mid|2,507.921679,0.23457400000000916,Mid|2 -> Mid|2
20,Mid|2,507.921679,21.0,Mid|5,508.122743,0.20106400000003077,Mid|2 -> Mid|5
21,Mid|5,508.122743,22.0,Mid|2,508.357316,0.2345730000000117,Mid|5 -> Mid|2
22,Mid|2,508.357316,23.0,Mid|2,508.59189,0.23457399999995232,Mid|2 -> Mid|2
23,Mid|2,508.59189,24.0,Mid|2,508.792954,0.20106400000003077,Mid|2 -> Mid|2
24,Mid|2,508.792954,25.0,Mid|2,509.027528,0.23457400000000916,Mid|2 -> Mid|2
25,Mid|2,509.027528,26.0,Mid|2,509.262102,0.23457400000000916,Mid|2 -> Mid|2
26,Mid|2,509.262102,27.0,Mid|2,509.463165,0.20106299999997646,Mid|2 -> Mid|2
27,Mid|2,509.463165,28.0,Mid|2,509.697739,0.23457400000000916,Mid|2 -> Mid|2
28,Mid|2,509.697739,29.0,Mid|2,509.898802,0.20106299999997646,Mid|2 -> Mid|2
29,Mid|2,509.898802,30.0,Mid|2,510.133376,0.23457400000000916,Mid|2 -> Mid|2
30,Mid|2,510.133376,31.0,Mid|2,510.36795,0.23457400000000916,Mid|2 -> Mid|2
31,Mid|2,510.36795,32.0,Mid|2,510.569014,0.20106399999997393,Mid|2 -> Mid|2
32,Mid|2,510.569014,33.0,Mid|2,510.803588,0.23457400000000916,Mid|2 -> Mid|2
33,Mid|2,510.803588,34.0,Mid|2,511.038162,0.23457400000000916,Mid|2 -> Mid|2
34,Mid|2,511.038162,35.0,Mid|2,511.239225,0.20106299999997646,Mid|2 -> Mid|2
35,Mid|2,511.239225,36.0,Mid|2,511.473799,0.23457400000000916,Mid|2 -> Mid|2
36,Mid|2,511.473799,37.0,Mid|2,511.674862,0.2010630000000333,Mid|2 -> Mid|2
37,Mid|2,511.674862,38.0,Mid|2,511.909436,0.23457400000000916,Mid|2 -> Mid|2
38,Mid|2,511.909436,39.0,Mid|2,512.14401,0.23457399999995232,Mid|2 -> Mid|2
39,Mid|2,512.14401,40.0,Mid|2,512.345074,0.20106399999997393,Mid|2 -> Mid|2
40,Mid|2,512.345074,41.0,Mid|2,512.579648,0.234574000000066,Mid|2 -> Mid|2
41,Mid|2,512.579648,42.0,Mid|2,512.780711,0.20106299999997646,Mid|2 -> Mid|2
42,Mid|2,512.780711,42.0,Left|3,512.948264,0.16755299999999806,Mid|2 -> Left|3
42,Left|3,512.948264,43.0,Mid|2,513.015285,0.06702099999995426,Left|3 -> Mid|2
43,Mid|2,513.015285,44.0,Mid|2,513.249859,0.234574000000066,Mid|2 -> Mid|2
44,Mid|2,513.249859,45.0,Mid|2,513.450922,0.20106299999997646,Mid|2 -> Mid|2
45,Mid|2,513.450922,46.0,Mid|2,513.685496,0.23457399999995232,Mid|2 -> Mid|2
46,Mid|2,513.685496,47.0,Mid|5,513.819539,0.13404300000001967,Mid|2 -> Mid|5
47,Mid|5,513.819539,48.0,Mid|2,514.054113,0.234574000000066,Mid|5 -> Mid|2
48,Mid|2,514.054113,49.0,Mid|2,514.255176,0.20106299999997646,Mid|2 -> Mid|2
49,Mid|2,514.255176,50.0,Mid|2,514.48975,0.23457399999995232,Mid|2 -> Mid|2
50,Mid|2,514.48975,51.0,Mid|2,514.690813,0.20106300000009014,Mid|2 -> Mid|2
51,Mid|2,514.690813,52.0,Mid|2,514.925387,0.23457399999995232,Mid|2 -> Mid|2
52,Mid|2,514.925387,53.0,Mid|2,515.159961,0.23457399999995232,Mid|2 -> Mid|2
53,Mid|2,515.159961,54.0,Mid|2,515.361025,0.20106400000008762,Mid|2 -> Mid|2
54,Mid|2,515.361025,55.0,Mid|2,515.595599,0.23457399999995232,Mid|2 -> Mid|2
55,Mid|2,515.595599,56.0,Mid|2,515.796662,0.20106299999997646,Mid|2 -> Mid|2
56,Mid|2,515.796662,57.0,Mid|5,516.031236,0.234574000000066,Mid|2 -> Mid|5
57,Mid|5,516.031236,58.0,Mid|5,516.232299,0.20106299999997646,Mid|5 -> Mid|5
58,Mid|5,516.232299,59.0,Mid|5,516.466873,0.23457399999995232,Mid|5 -> Mid|5
59,Mid|5,516.466873,60.0,Mid|2,516.701447,0.234574000000066,Mid|5 -> Mid|2
60,Mid|2,516.701447,61.0,Mid|2,516.902511,0.20106399999997393,Mid|2 -> Mid|2
61,Mid|2,516.902511,62.0,Mid|5,517.137085,0.23457399999995232,Mid|2 -> Mid|5
62,Mid|5,517.137085,63.0,Mid|5,517.371659,0.234574000000066,Mid|5 -> Mid|5
63,Mid|5,517.371659,64.0,Mid|2,517.572722,0.20106299999997646,Mid|5 -> Mid|2
64,Mid|2,517.572722,65.0,Mid|2,517.807296,0.23457399999995232,Mid|2 -> Mid|2
65,Mid|2,517.807296,66.0,Mid|5,518.008359,0.20106300000009014,Mid|2 -> Mid|5
66,Mid|5,518.008359,67.0,Mid|5,518.343465,0.33510599999999613,Mid|5 -> Mid|5
67,Mid|5,518.343465,68.0,Mid|5,518.443997,0.10053199999993012,Mid|5 -> Mid|5
68,Mid|5,518.443997,69.0,Mid|2,518.544528,0.10053100000004633,Mid|5 -> Mid|2
69,Mid|2,518.544528,70.0,Mid|5,518.745592,0.20106399999997393,Mid|2 -> Mid|5
70,Mid|5,518.745592,71.0,Mid|5,518.812613,0.06702100000006794,Mid|5 -> Mid|5
71,Mid|5,518.812613,72.0,Mid|5,518.913145,0.10053199999993012,Mid|5 -> Mid|5
72,Mid|5,518.913145,73.0,Mid|5,519.147719,0.234574000000066,Mid|5 -> Mid|5
73,Mid|5,519.147719,74.0,Mid|5,519.348782,0.20106299999997646,Mid|5 -> Mid|5
74,Mid|5,519.348782,75.0,Mid|5,519.683888,0.33510599999999613,Mid|5 -> Mid|5
75,Mid|5,519.683888,76.0,Mid|5,519.784419,0.10053099999993265,Mid|5 -> Mid|5
76,Mid|5,519.784419,77.0,Mid|5,519.918462,0.13404300000001967,Mid|5 -> Mid|5
77,Mid|5,519.918462,78.0,Mid|5,520.018993,0.10053100000004633,Mid|5 -> Mid|5
78,Mid|5,520.018993,79.0,Mid|5,520.220057,0.20106399999997393,Mid|5 -> Mid|5
79,Mid|5,520.220057,80.0,Mid|2,520.320588,0.10053100000004633,Mid|5 -> Mid|2
80,Mid|2,520.320588,81.0,Mid|5,520.42112,0.10053199999993012,Mid|2 -> Mid|5
81,Mid|5,520.42112,82.0,Mid|5,520.555162,0.1340420000000222,Mid|5 -> Mid|5
82,Mid|5,520.555162,83.0,Mid|5,520.756226,0.20106399999997393,Mid|5 -> Mid|5
83,Mid|5,520.756226,83.0,Left|8,520.923778,0.1675520000000006,Mid|5 -> Left|8
83,Left|8,520.923778,84.0,Mid|5,520.9908,0.06702200000006542,Left|8 -> Mid|5
84,Mid|5,520.9908,85.0,Mid|5,521.225374,0.23457399999995232,Mid|5 -> Mid|5
85,Mid|5,521.225374,86.0,Mid|5,521.426437,0.20106299999997646,Mid|5 -> Mid|5
86,Mid|5,521.426437,87.0,Mid|5,521.661011,0.234574000000066,Mid|5 -> Mid|5
87,Mid|5,521.661011,88.0,Mid|5,521.862074,0.20106299999997646,Mid|5 -> Mid|5
88,Mid|5,521.862074,89.0,Mid|5,522.096648,0.23457399999995232,Mid|5 -> Mid|5
89,Mid|5,522.096648,90.0,Mid|5,522.331222,0.234574000000066,Mid|5 -> Mid|5
90,Mid|5,522.331222,91.0,Mid|5,522.532286,0.20106399999997393,Mid|5 -> Mid|5
91,Mid|5,522.532286,92.0,Mid|5,522.76686,0.23457399999995232,Mid|5 -> Mid|5
92,Mid|5,522.76686,93.0,Mid|5,522.967923,0.20106300000009014,Mid|5 -> Mid|5
93,Mid|5,522.967923,94.0,Mid|5,523.202497,0.23457399999995232,Mid|5 -> Mid|5
94,Mid|5,523.202497,95.0,Mid|5,523.437071,0.23457399999995232,Mid|5 -> Mid|5
95,Mid|5,523.437071,96.0,Mid|5,523.638134,0.20106300000009014,Mid|5 -> Mid|5
96,Mid|5,523.638134,97.0,Mid|5,523.872708,0.23457399999995232,Mid|5 -> Mid|5
97,Mid|5,523.872708,98.0,Mid|5,524.107282,0.234574000000066,Mid|5 -> Mid|5
98,Mid|5,524.107282,99.0,Mid|5,524.308346,0.20106399999997393,Mid|5 -> Mid|5
99,Mid|5,524.308346,100.0,Mid|5,524.54292,0.23457399999995232,Mid|5 -> Mid|5
100,Mid|5,524.54292,101.0,Mid|5,524.743983,0.20106299999997646,Mid|5 -> Mid|5
101,Mid|5,524.743983,102.0,Mid|5,524.978557,0.234574000000066,Mid|5 -> Mid|5
102,Mid|5,524.978557,103.0,Mid|5,525.213131,0.23457399999995232,Mid|5 -> Mid|5
103,Mid|5,525.213131,104.0,Mid|5,525.414194,0.20106299999997646,Mid|5 -> Mid|5
104,Mid|5,525.414194,105.0,Mid|5,525.648768,0.234574000000066,Mid|5 -> Mid|5
105,Mid|5,525.648768,106.0,Mid|5,525.883342,0.23457399999995232,Mid|5 -> Mid|5
106,Mid|5,525.883342,107.0,Mid|5,526.084406,0.20106399999997393,Mid|5 -> Mid|5
107,Mid|5,526.084406,108.0,Mid|5,526.318979,0.23457300000006853,Mid|5 -> Mid|5
108,Mid|5,526.318979,109.0,Mid|5,526.520043,0.20106399999997393,Mid|5 -> Mid|5
109,Mid|5,526.520043,110.0,Mid|5,526.754617,0.234574000000066,Mid|5 -> Mid|5
110,Mid|5,526.754617,111.0,Mid|5,526.989191,0.23457399999995232,Mid|5 -> Mid|5
111,Mid|5,526.989191,112.0,Mid|5,527.190254,0.20106299999997646,Mid|5 -> Mid|5
112,Mid|5,527.190254,113.0,Mid|5,527.424828,0.234574000000066,Mid|5 -> Mid|5
113,Mid|5,527.424828,114.0,Mid|5,527.659402,0.23457399999995232,Mid|5 -> Mid|5
114,Mid|5,527.659402,115.0,Mid|5,527.860465,0.20106299999997646,Mid|5 -> Mid|5
115,Mid|5,527.860465,116.0,Mid|5,528.262592,0.40212700000006407,Mid|5 -> Mid|5
