fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
0,Left,2725.86102,8,2725.845647,88.76499999996668,0.7170152202867551,0.7241061925888062,0.43641990423202515,0.6630021333694458,0.5302023887634277,True,6,Left|6,1.0,2725.961553,Mid|4,Left|6 -> Mid|4,0.10053300000026866,Left,Mid
1,Mid,2725.961553,11,2725.974759,201.738999999634,1.0424069502447837,0.26058103144168854,0.5618236213922501,0.0905241072177887,0.7067646384239197,True,4,Mid|4,1.0,2726.129109,Left|3,Mid|4 -> Left|3,0.1675559999998768,Mid,Left
1,Left,2726.129109,16,2725.974759,201.738999999634,1.0424069502447837,0.856947124004364,0.2642401158809662,0.856947124004364,0.2642401158809662,True,3,Left|3,1.0,2726.129109,Right|2,Left|3 -> Right|2,0.0,Left,Right
1,Right,2726.129109,16,2725.974759,201.738999999634,1.0424069502447837,0.4627005159854889,0.3020732700824737,0.4627005159854889,0.3020732700824737,True,2,Right|2,2.0,2727.536575,Mid|2,Right|2 -> Mid|2,1.4074660000001131,Right,Mid
2,Mid,2727.536575,58,2727.534137,80.695999999989,1.3690908327176534,0.4859828054904938,0.16694169243176774,0.4207777082920074,0.2098533362150192,True,2,Mid|2,2.0,2727.603597,Dashboard|8,Mid|2 -> Dashboard|8,0.06702199999972436,Mid,Dashboard
2,Dashboard,2727.603597,60,2727.534137,80.695999999989,1.3690908327176534,0.5780967473983765,0.9953437447547911,0.5780967473983765,0.9953437447547911,True,8,Dashboard|8,3.0,2727.771152,Mid|2,Dashboard|8 -> Mid|2,0.16755499999999302,Dashboard,Mid
4,Mid,2727.871686,68,2727.8609535,157.356499999878,1.1711089465552489,0.5198676586151123,0.32046735286712646,0.5209248661994934,0.3347660899162292,True,2,Mid|2,6.0,2728.273819,Left|8,Mid|2 -> Left|8,0.4021330000000489,Mid,Left
8,Left,2729.011063,102,2729.0189335,80.69550000027448,1.4989891865897726,0.8442990183830261,0.4399340748786926,0.8442990183830261,0.4399340748786926,True,6,Left|6,10.0,2729.580752,Right|4,Left|6 -> Right|4,0.5696889999999257,Left,Right
10,Right,2729.580752,119,2729.5474885000003,80.69549999981973,1.392984969493532,0.0826796889305114,0.6125678420066833,0.0826796889305114,0.6125678420066833,True,4,Right|4,15.0,2730.619596,Mid|2,Right|4 -> Mid|2,1.0388440000001538,Right,Mid
16,Mid,2730.887684,158,2730.8829985,100.8694999995896,1.4587221084625206,0.4949486181139946,0.13961615040898323,0.5000873804092407,0.1882024109363556,True,2,Mid|2,16.0,2730.988218,Dashboard|8,Mid|2 -> Dashboard|8,0.10053400000015245,Mid,Dashboard
16,Dashboard,2730.988218,161,2730.8829985,100.8694999995896,1.4587221084625206,0.5200567841529846,0.943425714969635,0.5200567841529846,0.943425714969635,True,8,Dashboard|8,17.0,2731.088751,Mid|2,Dashboard|8 -> Mid|2,0.10053299999981391,Dashboard,Mid
45,Mid,2736.517549,326,2736.507471,217.8780000003826,0.5864212217542271,0.5370626875332424,0.31050826822008404,0.5350183844566345,0.3108369708061218,True,2,Mid|2,45.0,2736.718615,Left|6,Mid|2 -> Left|6,0.20106600000008257,Mid,Left
46,Left,2736.718615,332,2736.7293835,217.87750000021333,0.4407517686411848,0.8521034717559814,0.6505359411239624,0.8521034717559814,0.6505359411239624,True,6,Left|6,46.0,2736.718615,Mid|2,Left|6 -> Mid|2,0.0,Left,Mid
54,Mid,2738.327148,380,2738.3432925,157.35600000016348,1.1570827284433776,0.44806525111198425,0.30363281567891437,0.4403411746025085,0.3183070719242096,True,2,Mid|2,54.0,2738.461192,Right|2,Mid|2 -> Right|2,0.1340440000003582,Mid,Right
54,Right,2738.461192,384,2738.3432925,157.35600000016348,1.1570827284433776,0.4487006664276123,0.088530346751213,0.4487006664276123,0.088530346751213,True,2,Right|2,55.0,2738.494703,Mid|2,Right|2 -> Mid|2,0.033510999999634805,Right,Mid
67,Mid,2741.175591,465,2741.167633,217.8780000003826,0.947963067134046,0.5040472490446908,0.32606487614767893,0.5045561790466309,0.3268169164657593,True,2,Mid|2,67.0,2741.242613,Left|8,Mid|2 -> Left|8,0.06702199999972436,Mid,Left
67,Left,2741.242613,467,2741.167633,217.8780000003826,0.947963067134046,0.4976228773593902,0.788397490978241,0.4976228773593902,0.788397490978241,True,8,Left|8,68.0,2741.376658,Mid|5,Left|8 -> Mid|5,0.134045000000242,Left,Mid
69,Mid,2741.611235,478,2741.6114580000003,217.8779999994731,0.3832703038714212,0.5195324644446373,0.3596319481730461,0.5222566723823547,0.3608875572681427,True,5,Mid|5,69.0,2741.74528,Left|6,Mid|5 -> Left|6,0.134045000000242,Mid,Left
69,Left,2741.74528,482,2741.6114580000003,217.8779999994731,0.3832703038714212,0.9674044847488404,0.6168653964996338,0.9674044847488404,0.6168653964996338,True,6,Left|6,70.0,2741.845813,Mid|5,Left|6 -> Mid|5,0.10053299999981391,Left,Mid
71,Mid,2742.04688,491,2742.055283,217.87750000021333,0.529396140744397,0.5160977244377136,0.3622406236827373,0.514110803604126,0.365181565284729,True,5,Mid|5,71.0,2742.247946,Left|8,Mid|5 -> Left|8,0.20106600000008257,Mid,Left
71,Left,2742.247946,497,2742.055283,217.87750000021333,0.529396140744397,0.3880267441272735,0.8102827668190002,0.3880267441272735,0.8102827668190002,True,8,Left|8,72.0,2742.281457,Mid|5,Left|8 -> Mid|5,0.03351100000008955,Left,Mid
76,Mid,2743.152746,524,2743.1648455,112.97349999995276,0.9491120735824302,0.48731552958488467,0.3352738082408905,0.4856404662132263,0.3363429009914398,True,5,Mid|5,77.0,2743.320301,Dashboard|6,Mid|5 -> Dashboard|6,0.16755499999999302,Mid,Dashboard
79,Dashboard,2743.856479,545,2743.8547915,217.87750000021333,1.4456086599117024,0.8453041911125183,0.3235876624073301,0.8625933527946472,0.4438874423503876,True,3,Dashboard|3,79.0,2743.856479,Left|3,Dashboard|3 -> Left|3,0.0,Dashboard,Left
79,Left,2743.856479,545,2743.8547915,217.87750000021333,1.4456086599117024,0.698310986161232,0.2759810537099838,0.4430665671825409,0.2468160092830658,True,3,Left|3,79.0,2743.990523,Mid|1,Left|3 -> Mid|1,0.13404399999990346,Left,Mid
88,Mid,2745.800123,603,2745.7874475,217.87750000021333,0.6914069127916581,0.5262486210891179,0.30651256654943737,0.5046432018280029,0.3421418666839599,True,2,Mid|2,88.0,2745.934167,Left|3,Mid|2 -> Left|3,0.13404399999990346,Mid,Left
88,Left,2745.934167,607,2745.7874475,217.87750000021333,0.6914069127916581,0.7294096946716309,0.1200831234455108,0.7294096946716309,0.1200831234455108,True,3,Left|3,89.0,2746.001189,Mid|5,Left|3 -> Mid|5,0.0670220000001791,Left,Mid
97,Mid,2747.777277,662,2747.7846595,217.87799999992785,1.1253776852425283,0.48001592233777046,0.347497895359993,0.4848650991916656,0.3530825078487396,True,5,Mid|5,97.0,2747.944833,Left|8,Mid|5 -> Left|8,0.1675559999998768,Mid,Left
97,Left,2747.944833,667,2747.7846595,217.87799999992785,1.1253776852425283,0.3784146308898926,0.7892997860908508,0.3784146308898926,0.7892997860908508,True,8,Left|8,98.0,2748.011855,Mid|2,Left|8 -> Mid|2,0.0670220000001791,Left,Mid
98,Mid,2748.011855,669,2748.006572,209.80799999961164,1.0561114011009982,0.49174919724464417,0.3310949461800711,0.4909997284412384,0.329179972410202,True,2,Mid|2,99.0,2748.246433,Dashboard|5,Mid|2 -> Dashboard|5,0.23457799999960116,Mid,Dashboard
100,Dashboard,2748.447499,682,2748.4423275,217.8780000003826,0.9829641012165784,0.356571614742279,0.36915711419922964,0.349301666021347,0.3745669722557068,True,5,Dashboard|5,101.0,2748.715588,Mid|5,Dashboard|5 -> Mid|5,0.26808900000014546,Dashboard,Mid
