fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
1,2725.961553,11,2725.974759,201.738999999634,1.0424069502447837,0.26058103144168854,0.5618236213922501,0.0905241072177887,0.7067646384239197,True,4,2.0,2727.536575,2.0,4 -> 2.0,1.57502199999999
2,2727.536575,58,2727.534137,80.695999999989,1.3690908327176534,0.4859828054904938,0.16694169243176774,0.4207777082920074,0.2098533362150192,True,2,3.0,2727.771152,2.0,2 -> 2.0,0.23457699999971737
3,2727.771152,65,2727.768154,88.76499999996668,1.4831315499827458,0.5370871722698212,0.3042077273130417,0.5219387412071228,0.3017817437648773,True,2,4.0,2727.871686,2.0,2 -> 2.0,0.10053400000015245
4,2727.871686,68,2727.8609535,157.356499999878,1.1711089465552489,0.5198676586151123,0.32046735286712646,0.5209248661994934,0.3347660899162292,True,2,15.0,2730.619596,2.0,2 -> 2.0,2.747910000000047
15,2730.619596,150,2730.604599,217.87799999992785,1.3539021661350104,0.5231636251722064,0.25858100610119955,0.5190463066101074,0.2736935913562774,True,2,16.0,2730.887684,2.0,2 -> 2.0,0.2680879999998069
16,2730.887684,158,2730.8829985,100.8694999995896,1.4587221084625206,0.4949486181139946,0.13961615040898323,0.5000873804092407,0.1882024109363556,True,2,17.0,2731.088751,2.0,2 -> 2.0,0.20106699999996636
17,2731.088751,164,2731.100876,80.69550000027448,1.4140117777288537,0.4581616222858429,0.15759792923927302,0.4731927514076233,0.1931688338518142,True,2,18.0,2731.222795,5.0,2 -> 5.0,0.1340440000003582
18,2731.222795,168,2731.2138495,80.69549999981973,1.4273554361904162,0.3926581144332886,0.3495817532142003,0.4654954969882965,0.2375852614641189,True,5,19.0,2731.289818,2.0,5 -> 2.0,0.0670230000000629
19,2731.289818,170,2731.29858,149.28649999956178,1.4678127861104853,0.440101886789004,0.31653503080209094,0.2697546184062958,0.6100906133651733,True,2,20.0,2731.457373,2.0,2 -> 2.0,0.16755499999999302
20,2731.457373,175,2731.451901,209.80850000023565,1.4850269697713852,0.4792074305670602,0.3065447849886758,0.4857464730739593,0.2928864955902099,True,2,21.0,2731.65844,5.0,2 -> 5.0,0.20106699999996636
21,2731.65844,181,2731.665744,217.87799999992785,1.2900734372979363,0.5035485178232193,0.36918019875884056,0.5071306228637695,0.2890373468399048,True,5,22.0,2731.893017,5.0,5 -> 5.0,0.23457699999971737
22,2731.893017,188,2731.8876565,80.69549999981973,1.347949625181351,0.5089273055394491,0.36735956867535907,0.5083543062210083,0.3593026101589203,True,5,23.0,2731.960039,2.0,5 -> 2.0,0.0670220000001791
23,2731.960039,190,2731.972387,157.35600000016348,1.405624911158461,0.5482299625873566,0.3085670198003451,0.5146075487136841,0.299333393573761,True,2,24.0,2732.127595,2.0,2 -> 2.0,0.1675559999998768
24,2732.127595,195,2732.133778,177.52999999993335,1.3548240853349487,0.5114257236321768,0.2916444440682729,0.5121761560440063,0.2800683975219726,True,2,25.0,2732.328662,2.0,2 -> 2.0,0.20106699999996636
25,2732.328662,201,2732.3153425,217.87749999975856,0.9331502235110394,0.5004717537334987,0.23776261295591078,0.5044056177139282,0.2514239549636841,True,2,26.0,2732.529728,2.0,2 -> 2.0,0.20106600000008257
26,2732.529728,207,2732.537255,217.87799999992785,0.4509986575111375,0.5025102272629738,0.2962009198963642,0.5039334297180176,0.2675431668758392,True,2,27.0,2732.764306,2.0,2 -> 2.0,0.2345780000000559
27,2732.764306,214,2732.7591675000003,217.8779999994731,0.7848019689268959,0.5049567946365902,0.30343798228672575,0.507914125919342,0.3018224835395813,True,2,28.0,2732.965372,2.0,2 -> 2.0,0.20106600000008257
28,2732.965372,220,2732.98108,217.87749999975856,0.5677997773213288,0.5112815946340561,0.2525746989995241,0.5099872946739197,0.2651845216751098,True,2,29.0,2733.19995,2.0,2 -> 2.0,0.2345780000000559
29,2733.19995,227,2733.2029925,217.8780000003826,0.7517529431413441,0.5145850628614426,0.22861901111900804,0.5108281373977661,0.2400053888559341,True,2,30.0,2733.434528,2.0,2 -> 2.0,0.23457799999960116
30,2733.434528,234,2733.424905,217.87750000021333,0.5302568777081781,0.5174835750034877,0.25803671777248377,0.5143347382545471,0.2647376656532287,True,2,31.0,2733.635594,2.0,2 -> 2.0,0.20106600000008257
