surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|4,4,552.7629999996861,138.19074999992154
Dashboard,Dashboard|5,4,629.4249999996282,157.35624999990705
Dashboard,Dashboard|6,2,225.94700000036028,112.97350000018014
Dashboard,Dashboard|8,6,734.3285000001742,122.38808333336237
Dashboard,Dashboard|9,2,189.63499999972555,94.81749999986278
Left,Left|1,2,298.5729999995783,149.28649999978916
Left,Left|2,7,1186.223499999869,169.4604999999813
Left,Left|3,7,1287.0939999988877,183.87057142841255
Left,Left|5,1,112.97399999966729,112.97399999966729
Left,Left|6,7,1283.0569999996442,183.2938571428063
Left,Left|7,3,653.6325000001852,217.87750000006176
Left,Left|8,23,4212.30100000048,183.14352173915128
Left,Left|9,16,2880.8275000010326,180.05171875006454
Mid,Mid|1,6,673.8075000002937,112.30125000004894
Mid,Mid|2,117,20649.969499994768,176.4954658119211
Mid,Mid|3,2,266.29600000023856,133.14800000011928
Mid,Mid|4,17,2723.471499997686,160.20420588221683
Mid,Mid|5,363,69264.93099999697,190.81248209365557
Mid,Mid|6,3,528.5549999998693,176.18499999995643
Mid,Mid|8,1,80.69500000010521,80.69500000010521
Right,Right|1,3,653.632999999445,217.87766666648167
Right,Right|2,1,92.7999999998974,92.7999999998974
Right,Right|4,3,480.1375000001826,160.0458333333942
Right,Right|5,2,351.0244999997667,175.51224999988335
Right,Right|6,1,100.86950000004435,100.86950000004435
Right,Right|8,1,217.87799999992785,217.87799999992785
