fixationid,aoi_id,world_timestamp
1,Mid|5,3014.050907
3,Left|6,3015.123261
4,Left|6,3015.257305
7,Left|5,3015.860503
8,Left|9,3015.994547
11,Left|8,3016.73179
12,Left|8,3016.73179
13,Left|8,3017.066901
14,Left|8,3017.066901
17,Left|8,3017.670099
19,Mid|5,3018.038721
20,Mid|5,3018.105743
21,Mid|5,3018.273298
21,Left|7,3018.373831
22,Mid|2,3018.407342
22,Left|8,3018.574897
22,Dashboard|8,3018.641919
26,Mid|2,3019.412673
27,Mid|2,3019.580228
28,Mid|2,3019.814805
29,Mid|2,3019.948849
30,Mid|2,3020.149916
30,Dashboard|8,3020.317471
32,Mid|5,3020.753114
33,Mid|5,3021.088225
34,Mid|2,3021.121736
34,Left|7,3021.188758
35,Mid|2,3021.356313
36,Mid|2,3021.490357
37,Mid|2,3021.724934
37,Left|5,3021.825467
38,Mid|2,3021.926001
39,Mid|2,3022.160578
40,Mid|2,3022.361644
41,Mid|2,3022.596221
42,Mid|5,3022.797287
43,Mid|2,3023.031865
44,Mid|5,3023.266442
45,Mid|2,3023.467508
46,Mid|2,3023.702085
47,Mid|2,3023.936663
48,Mid|2,3024.137729
49,Mid|2,3024.372306
50,Mid|2,3024.573372
51,Mid|2,3024.807949
52,Mid|2,3025.042527
53,Mid|2,3025.243593
54,Mid|2,3025.47817
55,Mid|2,3025.679236
56,Mid|2,3025.913814
57,Mid|5,3026.081369
58,Mid|5,3026.315946
59,Mid|2,3026.517012
60,Mid|2,3026.751589
61,Mid|5,3026.952656
62,Mid|2,3027.187233
63,Mid|2,3027.42181
64,Mid|2,3027.622876
64,Left|3,3027.723409
65,Mid|2,3027.857454
66,Mid|2,3028.092031
67,Mid|2,3028.293097
67,Left|3,3028.460652
68,Mid|2,3028.527674
69,Mid|2,3028.728741
70,Mid|2,3029.063851
71,Mid|2,3029.298428
72,Mid|2,3029.465983
73,Mid|2,3029.600027
74,Mid|2,3029.801094
75,Mid|2,3030.035671
76,Mid|2,3030.270248
77,Mid|2,3030.538336
78,Mid|2,3030.705892
79,Mid|2,3030.906958
80,Mid|5,3031.141535
81,Mid|2,3031.376112
82,Left|2,3031.577178
81,Left|2,3031.577178
82,Mid|5,3031.577178
83,Mid|5,3031.811756
84,Mid|5,3032.046333
85,Mid|2,3032.213888
86,Mid|2,3032.481976
87,Mid|5,3032.582509
88,Mid|2,3032.884109
88,Left|2,3032.984642
89,Mid|2,3033.051664
90,Mid|2,3033.185708
90,Dashboard|7,3033.185708
91,Dashboard|4,3033.353263
92,Dashboard|4,3033.453796
91,Left|3,3033.453796
92,Left|3,3033.453796
93,Mid|1,3033.654863
92,Mid|4,3033.654863
93,Dashboard|7,3033.654863
94,Dashboard|4,3033.788907
94,Left|2,3033.88944
95,Mid|2,3033.922951
96,Mid|2,3034.090506
97,Mid|5,3034.291572
98,Mid|2,3034.526149
99,Mid|2,3034.727216
100,Mid|5,3034.961793
101,Mid|2,3035.162859
102,Mid|5,3035.397436
103,Mid|5,3035.632014
104,Mid|2,3035.799569
105,Mid|5,3035.967124
106,Mid|2,3036.201701
107,Mid|2,3036.436278
108,Mid|5,3036.670856
109,Mid|2,3036.871922
110,Mid|2,3037.072988
111,Mid|2,3037.307565
112,Mid|5,3037.542143
113,Mid|2,3037.743209
114,Mid|2,3037.977786
114,Left|3,3038.078319
115,Mid|5,3038.212363
116,Mid|2,3038.413429
117,Mid|2,3038.648007
118,Mid|5,3038.849073
119,Mid|5,3039.08365
120,Mid|2,3039.318227
121,Mid|2,3039.519294
122,Dashboard|4,3039.787382
123,Dashboard|4,3039.887915
123,Left|5,3039.954937
124,Dashboard|4,3040.021959
125,Mid|2,3040.156003
126,Mid|5,3040.256536
127,Mid|5,3040.457603
128,Mid|5,3040.960268
129,Mid|2,3041.161334
130,Mid|5,3041.395912
131,Mid|2,3041.630489
132,Mid|2,3041.831555
133,Mid|2,3042.066132
133,Left|3,3042.267198
134,Mid|2,3042.300709
134,Left|2,3042.367732
135,Mid|5,3042.501776
136,Mid|5,3042.736353
137,Mid|5,3042.870397
137,Left|8,3042.97093
138,Mid|5,3043.104974
139,Mid|5,3043.339552
139,Left|2,3043.339552
140,Mid|5,3043.540618
141,Mid|5,3043.741684
142,Mid|5,3043.976261
143,Mid|5,3044.210838
144,Mid|5,3044.411905
145,Mid|5,3044.646482
146,Mid|2,3044.814037
147,Mid|5,3045.048614
148,Mid|5,3045.249681
149,Mid|2,3045.484258
150,Mid|2,3045.55128
151,Mid|5,3045.785857
151,Left|3,3045.953412
152,Mid|5,3045.986923
153,Left|6,3046.154478
152,Left|3,3046.154478
153,Mid|5,3046.154478
154,Mid|5,3046.389056
155,Mid|2,3046.623633
156,Mid|5,3046.891721
157,Mid|5,3047.059276
156,Left|2,3047.059276
157,Left|2,3047.059276
158,Mid|5,3047.293854
159,Mid|5,3047.49492
160,Mid|5,3047.729497
160,Left|8,3047.83003
161,Left|8,3047.930563
161,Mid|2,3047.930563
162,Mid|2,3048.165141
163,Mid|2,3048.399718
164,Mid|2,3048.634295
165,Mid|5,3048.835361
164,Left|7,3048.835361
165,Left|7,3048.835361
166,Mid|5,3049.069938
167,Mid|5,3049.170472
168,Mid|5,3049.405049
