fixationid,aoi_id,world_timestamp,next_fixation_id,next_aoi,next_world_timestamp,transition_duration,transition
1,Mid|5,3014.050907,3.0,Left|6,3015.123261,1.0723540000003595,Mid|5 -> Left|6
3,Left|6,3015.123261,4.0,Left|6,3015.257305,0.13404399999990346,Left|6 -> Left|6
4,Left|6,3015.257305,7.0,Left|5,3015.860503,0.603197999999793,Left|6 -> Left|5
7,Left|5,3015.860503,8.0,Left|9,3015.994547,0.13404399999990346,Left|5 -> Left|9
8,Left|9,3015.994547,11.0,Left|8,3016.73179,0.737243000000035,Left|9 -> Left|8
11,Left|8,3016.73179,12.0,Left|8,3016.73179,0.0,Left|8 -> Left|8
12,Left|8,3016.73179,13.0,Left|8,3017.066901,0.33511100000032457,Left|8 -> Left|8
13,Left|8,3017.066901,14.0,Left|8,3017.066901,0.0,Left|8 -> Left|8
14,Left|8,3017.066901,17.0,Left|8,3017.670099,0.603197999999793,Left|8 -> Left|8
17,Left|8,3017.670099,19.0,Mid|5,3018.038721,0.36862199999995937,Left|8 -> Mid|5
19,Mid|5,3018.038721,20.0,Mid|5,3018.105743,0.0670220000001791,Mid|5 -> Mid|5
20,Mid|5,3018.105743,21.0,Mid|5,3018.273298,0.16755499999999302,Mid|5 -> Mid|5
21,Mid|5,3018.273298,21.0,Left|7,3018.373831,0.10053299999981391,Mid|5 -> Left|7
21,Left|7,3018.373831,22.0,Mid|2,3018.407342,0.03351100000008955,Left|7 -> Mid|2
22,Mid|2,3018.407342,22.0,Left|8,3018.574897,0.16755499999999302,Mid|2 -> Left|8
22,Left|8,3018.574897,22.0,Dashboard|8,3018.641919,0.0670220000001791,Left|8 -> Dashboard|8
22,Dashboard|8,3018.641919,26.0,Mid|2,3019.412673,0.7707539999996698,Dashboard|8 -> Mid|2
26,Mid|2,3019.412673,27.0,Mid|2,3019.580228,0.16755499999999302,Mid|2 -> Mid|2
27,Mid|2,3019.580228,28.0,Mid|2,3019.814805,0.23457700000017212,Mid|2 -> Mid|2
28,Mid|2,3019.814805,29.0,Mid|2,3019.948849,0.13404399999990346,Mid|2 -> Mid|2
29,Mid|2,3019.948849,30.0,Mid|2,3020.149916,0.20106699999996636,Mid|2 -> Mid|2
30,Mid|2,3020.149916,30.0,Dashboard|8,3020.317471,0.16755499999999302,Mid|2 -> Dashboard|8
30,Dashboard|8,3020.317471,32.0,Mid|5,3020.753114,0.4356430000002547,Dashboard|8 -> Mid|5
32,Mid|5,3020.753114,33.0,Mid|5,3021.088225,0.3351109999998698,Mid|5 -> Mid|5
33,Mid|5,3021.088225,34.0,Mid|2,3021.121736,0.03351100000008955,Mid|5 -> Mid|2
34,Mid|2,3021.121736,34.0,Left|7,3021.188758,0.06702199999972436,Mid|2 -> Left|7
34,Left|7,3021.188758,35.0,Mid|2,3021.356313,0.16755499999999302,Left|7 -> Mid|2
35,Mid|2,3021.356313,36.0,Mid|2,3021.490357,0.1340440000003582,Mid|2 -> Mid|2
36,Mid|2,3021.490357,37.0,Mid|2,3021.724934,0.23457699999971737,Mid|2 -> Mid|2
37,Mid|2,3021.724934,37.0,Left|5,3021.825467,0.10053300000026866,Mid|2 -> Left|5
37,Left|5,3021.825467,38.0,Mid|2,3021.926001,0.1005339999996977,Left|5 -> Mid|2
38,Mid|2,3021.926001,39.0,Mid|2,3022.160578,0.23457700000017212,Mid|2 -> Mid|2
39,Mid|2,3022.160578,40.0,Mid|2,3022.361644,0.20106600000008257,Mid|2 -> Mid|2
40,Mid|2,3022.361644,41.0,Mid|2,3022.596221,0.23457699999971737,Mid|2 -> Mid|2
41,Mid|2,3022.596221,42.0,Mid|5,3022.797287,0.20106600000008257,Mid|2 -> Mid|5
42,Mid|5,3022.797287,43.0,Mid|2,3023.031865,0.2345780000000559,Mid|5 -> Mid|2
43,Mid|2,3023.031865,44.0,Mid|5,3023.266442,0.23457700000017212,Mid|2 -> Mid|5
44,Mid|5,3023.266442,45.0,Mid|2,3023.467508,0.20106600000008257,Mid|5 -> Mid|2
45,Mid|2,3023.467508,46.0,Mid|2,3023.702085,0.23457699999971737,Mid|2 -> Mid|2
46,Mid|2,3023.702085,47.0,Mid|2,3023.936663,0.2345780000000559,Mid|2 -> Mid|2
47,Mid|2,3023.936663,48.0,Mid|2,3024.137729,0.20106600000008257,Mid|2 -> Mid|2
48,Mid|2,3024.137729,49.0,Mid|2,3024.372306,0.23457700000017212,Mid|2 -> Mid|2
49,Mid|2,3024.372306,50.0,Mid|2,3024.573372,0.20106599999962782,Mid|2 -> Mid|2
50,Mid|2,3024.573372,51.0,Mid|2,3024.807949,0.23457700000017212,Mid|2 -> Mid|2
51,Mid|2,3024.807949,52.0,Mid|2,3025.042527,0.2345780000000559,Mid|2 -> Mid|2
