surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|1,5,738.331499999731,147.6662999999462
Dashboard,Dashboard|2,3,399.4259999994938,133.14199999983126
Dashboard,Dashboard|3,3,427.66800000026706,142.55600000008903
Dashboard,Dashboard|4,379,63210.10599999817,166.7812823218949
Dashboard,Dashboard|5,250,41116.6415000007,164.46656600000279
Dashboard,Dashboard|7,36,4663.998999999421,129.5555277777617
Dashboard,Dashboard|8,14,1694.5340000002034,121.03814285715738
Left,Left|1,4,560.8090000005177,140.20225000012942
Left,Left|2,11,2025.369999999839,184.12454545453082
Left,Left|3,15,2844.3940000015573,189.62626666677048
Left,Left|4,35,6463.4350000005725,184.66957142858777
Left,Left|5,32,6015.594500000134,187.98732812500418
Left,Left|6,25,4050.7400000001326,162.0296000000053
Left,Left|7,15,2731.4269999978933,182.09513333319288
Left,Left|8,40,6842.684999998255,171.06712499995638
Left,Left|9,41,7540.667499998108,183.91871951214898
Mid,Mid|1,9,1549.2865000001075,172.1429444444564
Mid,Mid|2,38,6043.579000000136,159.04155263158253
Mid,Mid|3,5,948.1310000001031,189.62620000002062
Mid,Mid|4,520,94998.73499999149,182.68987499998363
Mid,Mid|5,2607,482783.93999998935,185.18754890678534
Mid,Mid|6,3,512.3950000001969,170.79833333339897
Mid,Mid|9,2,298.287000000073,149.1435000000365
Right,Right|1,4,516.4295000008678,129.10737500021696
Right,Right|2,6,1202.311500000178,200.38525000002969
Right,Right|4,5,1089.3420000002152,217.86840000004304
Right,Right|5,1,217.86900000006423,217.86900000006423
Right,Right|6,3,540.6369999996059,180.21233333320197
Right,Right|7,2,367.1489999996993,183.57449999984965
Right,Right|8,2,363.1140000002233,181.55700000011166
