fixationid,aoi_id,world_timestamp
0,Right|7,4545.565045
1,Right|7,4545.699089
1,Left|3,4545.900155
2,Right|8,4545.933666
3,Mid|5,4546.335798
4,Mid|5,4546.436332
5,Mid|5,4546.603887
6,Mid|5,4546.771442
7,Mid|5,4546.838464
8,Mid|5,4547.03953
9,Mid|5,4547.140063
10,Mid|5,4547.274107
11,Mid|5,4547.341129
13,Right|6,4547.977838
15,Left|9,4548.514014
18,Mid|5,4549.35179
19,Mid|5,4549.452323
20,Mid|5,4549.619878
21,Mid|5,4549.854455
23,Mid|5,4550.859785
24,Mid|5,4550.960318
25,Mid|5,4551.094362
26,Mid|5,4551.328939
27,Mid|5,4551.496494
28,Mid|1,4551.865115
30,Left|8,4552.200226
34,Mid|5,4552.903957
35,Mid|5,4553.00449
36,Mid|5,4553.205556
37,Mid|5,4553.306089
37,Left|2,4553.373111
38,Mid|5,4553.540666
39,Mid|5,4553.607688
40,Mid|5,4553.808754
41,Mid|5,4553.976309
42,Mid|5,4554.143864
43,Mid|5,4554.277908
44,Mid|5,4554.713552
45,Mid|5,4554.814085
46,Mid|5,4555.015151
47,Mid|5,4555.249728
48,Mid|5,4555.350261
49,Mid|5,4555.584838
50,Mid|5,4555.852926
51,Dashboard|4,4556.087503
52,Dashboard|4,4556.255058
53,Dashboard|4,4556.355591
54,Dashboard|4,4556.556657
55,Left|1,4556.824745
55,Mid|5,4556.824745
56,Mid|5,4556.925278
57,Mid|5,4557.025811
58,Mid|5,4557.226877
59,Mid|5,4557.461455
60,Mid|5,4557.662521
61,Mid|5,4557.897098
62,Mid|5,4558.031142
62,Left|8,4558.198697
63,Mid|5,4558.265719
64,Mid|5,4558.466785
65,Mid|5,4558.701362
65,Left|9,4558.768384
66,Mid|5,4558.801895
67,Mid|5,4558.96945
68,Mid|5,4559.170516
69,Mid|5,4559.371582
70,Mid|5,4559.539137
71,Mid|5,4559.63967
72,Mid|5,4559.941269
73,Mid|2,4560.142335
74,Mid|5,4560.309891
75,Mid|5,4560.410424
76,Mid|5,4560.745534
77,Mid|5,4560.812556
78,Mid|2,4561.047133
79,Mid|2,4561.147666
80,Dashboard|4,4561.315221
81,Dashboard|4,4561.449265
82,Dashboard|5,4561.61682
83,Mid|5,4561.817886
84,Mid|5,4561.918419
85,Mid|5,4562.052463
86,Mid|5,4562.152996
87,Mid|5,4562.387573
88,Mid|5,4562.588639
89,Mid|5,4562.823216
90,Mid|5,4563.057794
91,Mid|5,4563.25886
92,Mid|5,4563.359393
93,Mid|5,4563.493437
94,Mid|5,4563.728014
95,Mid|5,4563.895569
96,Mid|5,4563.996102
97,Mid|5,4564.063124
98,Mid|5,4564.398234
99,Mid|5,4564.565789
100,Mid|5,4564.93441
101,Mid|5,4565.168987
102,Mid|5,4565.236009
103,Mid|5,4565.370053
104,Mid|5,4565.470586
105,Mid|5,4565.571119
106,Mid|5,4565.738674
107,Mid|5,4566.107296
108,Mid|5,4566.341873
109,Mid|5,4566.442406
110,Mid|5,4566.57645
111,Mid|5,4566.710494
111,Left|8,4566.744005
112,Mid|5,4566.91156
113,Mid|5,4567.146137
113,Left|9,4567.179648
114,Mid|5,4567.347203
115,Mid|5,4567.58178
116,Mid|5,4567.816357
117,Mid|5,4568.017423
118,Mid|5,4568.151467
119,Mid|5,4568.352533
120,Mid|2,4568.620622
121,Mid|2,4568.788177
122,Dashboard|5,4569.056265
123,Dashboard|4,4569.22382
124,Mid|5,4569.458397
125,Mid|5,4569.625952
126,Mid|5,4569.759996
127,Mid|5,4569.927551
128,Mid|5,4570.095106
129,Mid|5,4570.597771
130,Mid|5,4570.832348
131,Mid|5,4571.066925
132,Mid|5,4571.267992
133,Mid|5,4571.368525
134,Mid|5,4571.502569
135,Mid|5,4571.569591
136,Mid|5,4571.804168
137,Mid|5,4572.038745
138,Dashboard|4,4572.172789
139,Dashboard|4,4572.340344
140,Mid|5,4572.675454
141,Mid|5,4572.843009
142,Mid|5,4573.044075
143,Mid|5,4573.278652
144,Mid|5,4573.345674
145,Mid|5,4573.580251
146,Mid|5,4573.814828
147,Mid|5,4574.015894
148,Mid|5,4574.250472
149,Mid|5,4574.485049
150,Mid|5,4574.686115
151,Mid|5,4574.887181
152,Mid|5,4574.954203
153,Mid|5,4575.054736
154,Mid|5,4575.222291
155,Mid|5,4575.322824
156,Mid|5,4575.557401
157,Mid|5,4575.791978
158,Mid|5,4575.959533
159,Dashboard|4,4576.127088
160,Dashboard|4,4576.261132
161,Mid|5,4576.52922
162,Mid|5,4576.629753
163,Mid|5,4576.797309
164,Mid|5,4576.998375
165,Mid|5,4577.199441
166,Mid|5,4577.434018
167,Mid|5,4577.668595
168,Mid|5,4577.903172
169,Mid|5,4578.104238
170,Mid|5,4578.305304
171,Mid|5,4578.573392
172,Mid|5,4578.673925
173,Mid|5,4578.84148
174,Mid|5,4579.109568
175,Mid|5,4579.344145
175,Left|9,4579.444678
176,Dashboard|7,4579.612234
177,Dashboard|7,4579.712767
178,Dashboard|4,4579.779789
178,Left|5,4579.880322
179,Dashboard|4,4579.980855
180,Mid|5,4580.315965
181,Mid|5,4580.450009
182,Mid|5,4580.684586
183,Dashboard|7,4580.81863
184,Dashboard|4,4581.019696
185,Dashboard|4,4581.120229
186,Dashboard|4,4581.220762
187,Dashboard|4,4581.354806
188,Mid|5,4581.689916
189,Mid|5,4581.857471
190,Mid|5,4582.092048
191,Mid|5,4582.226092
192,Mid|5,4582.46067
193,Dashboard|5,4582.661736
194,Dashboard|5,4582.829291
195,Dashboard|5,4582.929824
196,Dashboard|4,4583.030357
195,Left|5,4583.030357
196,Left|5,4583.030357
197,Dashboard|5,4583.164401
197,Left|5,4583.231423
198,Dashboard|4,4583.365467
199,Mid|5,4583.700577
200,Mid|5,4583.901643
201,Mid|5,4584.002176
202,Mid|4,4584.236753
203,Mid|5,4584.47133
204,Mid|5,4584.672396
205,Mid|5,4584.906973
206,Mid|5,4585.10804
207,Mid|5,4585.342617
208,Left|1,4585.543683
208,Dashboard|5,4585.543683
209,Dashboard|5,4585.77826
210,Dashboard|5,4586.012837
211,Dashboard|4,4586.180392
212,Mid|5,4586.44848
213,Mid|5,4586.616035
213,Left|6,4586.683057
214,Mid|5,4586.716568
215,Mid|5,4586.850612
216,Mid|4,4586.984656
217,Mid|5,4587.219233
218,Mid|5,4587.353277
219,Mid|5,4587.554343
220,Mid|5,4587.78892
221,Mid|5,4588.023498
222,Mid|5,4588.224564
223,Mid|5,4588.459141
224,Mid|5,4588.660207
224,Left|3,4588.894784
225,Left|3,4588.894784
225,Mid|5,4588.894784
226,Mid|5,4589.129361
227,Mid|5,4589.330427
228,Mid|5,4589.565004
229,Mid|5,4589.76607
230,Mid|5,4590.000647
231,Mid|5,4590.235224
232,Dashboard|4,4590.369268
233,Dashboard|4,4590.536823
234,Mid|5,4590.637357
235,Mid|5,4590.771401
236,Mid|5,4590.972467
237,Mid|5,4591.140022
237,Left|8,4591.173533
238,Mid|5,4591.374599
239,Mid|5,4591.575665
240,Mid|4,4591.810242
241,Mid|5,4592.044819
242,Mid|5,4592.245885
243,Mid|5,4592.480462
244,Mid|5,4592.681528
245,Dashboard|4,4592.949616
246,Dashboard|4,4593.117171
