from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Right,Right,4545.565045,4545.699089,0.13404399999944872
Right,Left,4545.699089,4545.900155,0.20106600000053731
Left,Right,4545.900155,4545.933666,0.033510999999634805
Right,Mid,4545.933666,4546.335798,0.40213200000016514
Mid,Mid,4546.335798,4546.436332,0.10053400000015245
Mid,Mid,4546.436332,4546.603887,0.16755499999999302
Mid,Mid,4546.603887,4546.771442,0.16755499999999302
Mid,Mid,4546.771442,4546.838464,0.0670220000001791
Mid,Mid,4546.838464,4547.03953,0.20106599999962782
Mid,Mid,4547.03953,4547.140063,0.10053299999981391
Mid,Mid,4547.140063,4547.274107,0.1340440000003582
Mid,Mid,4547.274107,4547.341129,0.0670220000001791
Mid,Right,4547.341129,4547.977838,0.6367089999994278
Right,Left,4547.977838,4548.514014,0.5361760000005233
Left,Mid,4548.514014,4549.35179,0.8377759999993941
Mid,Mid,4549.35179,4549.452323,0.1005330000007234
Mid,Mid,4549.452323,4549.619878,0.16755499999999302
Mid,Mid,4549.619878,4549.854455,0.23457699999926263
Mid,Mid,4549.854455,4550.859785,1.005329999999958
Mid,Mid,4550.859785,4550.960318,0.1005330000007234
Mid,Mid,4550.960318,4551.094362,0.13404399999944872
Mid,Mid,4551.094362,4551.328939,0.23457700000017212
Mid,Mid,4551.328939,4551.496494,0.16755499999999302
Mid,Mid,4551.496494,4551.865115,0.36862099999962084
Mid,Left,4551.865115,4552.200226,0.33511100000032457
Left,Mid,4552.200226,4552.903957,0.7037310000005164
Mid,Mid,4552.903957,4553.00449,0.10053299999981391
Mid,Mid,4553.00449,4553.205556,0.20106599999962782
Mid,Mid,4553.205556,4553.306089,0.10053299999981391
Mid,Left,4553.306089,4553.373111,0.0670220000001791
Left,Mid,4553.373111,4553.540666,0.16755499999999302
Mid,Mid,4553.540666,4553.607688,0.0670220000001791
Mid,Mid,4553.607688,4553.808754,0.20106599999962782
Mid,Mid,4553.808754,4553.976309,0.16755499999999302
Mid,Mid,4553.976309,4554.143864,0.16755499999999302
Mid,Mid,4554.143864,4554.277908,0.1340440000003582
Mid,Mid,4554.277908,4554.713552,0.4356440000001385
Mid,Mid,4554.713552,4554.814085,0.10053299999981391
Mid,Mid,4554.814085,4555.015151,0.20106599999962782
Mid,Mid,4555.015151,4555.249728,0.23457700000017212
Mid,Mid,4555.249728,4555.350261,0.10053299999981391
Mid,Mid,4555.350261,4555.584838,0.23457700000017212
Mid,Mid,4555.584838,4555.852926,0.2680879999998069
Mid,Dashboard,4555.852926,4556.087503,0.23457700000017212
Dashboard,Dashboard,4556.087503,4556.255058,0.16755499999999302
Dashboard,Dashboard,4556.255058,4556.355591,0.10053299999981391
Dashboard,Dashboard,4556.355591,4556.556657,0.20106600000053731
Dashboard,Left,4556.556657,4556.824745,0.2680879999998069
Left,Mid,4556.824745,4556.824745,0.0
Mid,Mid,4556.824745,4556.925278,0.10053299999981391
Mid,Mid,4556.925278,4557.025811,0.1005330000007234
Mid,Mid,4557.025811,4557.226877,0.20106599999962782
Mid,Mid,4557.226877,4557.461455,0.23457799999960116
Mid,Mid,4557.461455,4557.662521,0.20106600000053731
Mid,Mid,4557.662521,4557.897098,0.23457700000017212
Mid,Mid,4557.897098,4558.031142,0.13404399999944872
Mid,Left,4558.031142,4558.198697,0.16755499999999302
Left,Mid,4558.198697,4558.265719,0.0670220000001791
Mid,Mid,4558.265719,4558.466785,0.20106599999962782
Mid,Mid,4558.466785,4558.701362,0.23457700000017212
Mid,Left,4558.701362,4558.768384,0.0670220000001791
Left,Mid,4558.768384,4558.801895,0.033510999999634805
Mid,Mid,4558.801895,4558.96945,0.16755499999999302
Mid,Mid,4558.96945,4559.170516,0.20106600000053731
Mid,Mid,4559.170516,4559.371582,0.20106599999962782
Mid,Mid,4559.371582,4559.539137,0.16755499999999302
Mid,Mid,4559.539137,4559.63967,0.10053299999981391
Mid,Mid,4559.63967,4559.941269,0.3015990000003512
Mid,Mid,4559.941269,4560.142335,0.20106599999962782
Mid,Mid,4560.142335,4560.309891,0.16755600000033155
Mid,Mid,4560.309891,4560.410424,0.10053299999981391
