fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Mid,250724.186358,24,250724.1985675,80.691500013927,1.4432577367672272,0.7184488326311111,0.44204800575971603,0.7000865340232849,0.4450966417789459,True,6,Mid|6,2.0,250724.454444,Right|7,Mid|6 -> Right|7,0.26808599999640137,Mid,Right
3,Right,250724.655509,38,250724.662543,185.5904999829363,0.5412007864933098,0.24554738828114098,0.7924496190888541,0.2480741739273071,0.8045743107795715,True,7,Right|7,4.0,250724.923595,Mid|6,Right|7 -> Mid|6,0.26808599999640137,Right,Mid
5,Mid,250725.158171,53,250725.1426575,122.72650000522844,1.2610797618507488,0.823509007692337,0.6425987035036087,0.8211544156074524,0.6398897171020508,True,6,Mid|6,6.0,250725.5603,Right|8,Mid|6 -> Right|8,0.4021290000237059,Mid,Right
6,Right,250725.5603,65,250725.566287,217.86699997028336,1.467121147577276,0.40341090783476824,0.9569156020879745,0.4029039442539215,0.9336191415786744,True,8,Right|8,7.0,250726.230516,Left|4,Right|8 -> Left|4,0.6702159999986179,Right,Left
7,Left,250726.230516,85,250726.236026,137.1754999854602,1.050840512527644,0.0258503276854753,0.3617697060108185,0.0258503276854753,0.3617697060108185,True,4,Left|4,7.0,250726.230516,Dashboard|9,Left|4 -> Dashboard|9,0.0,Left,Dashboard
8,Dashboard,250726.39807,90,250726.385305,92.79500000411645,1.3326460586675817,0.9270889560381571,0.8148808479309082,0.9281660318374634,0.8276730179786682,True,9,Dashboard|9,8.0,250726.465092,Left|2,Dashboard|9 -> Left|2,0.06702200000290759,Dashboard,Left
9,Left,250726.498602,93,250726.482135,181.55550002120435,0.6936180654025759,0.3821907378733158,0.2455467693507671,0.178219273686409,0.2693446278572082,True,2,Left|2,9.0,250726.498602,Dashboard|9,Left|2 -> Dashboard|9,0.0,Left,Dashboard
9,Dashboard,250726.498602,93,250726.482135,181.55550002120435,0.6936180654025759,0.9330739180246989,0.8029189805189768,0.9360408782958984,0.8383111357688904,True,9,Dashboard|9,10.0,250727.436904,Mid|2,Dashboard|9 -> Mid|2,0.9383019999950193,Dashboard,Mid
17,Mid,250729.112444,171,250729.1086405,169.45200000191107,1.3223064751726146,0.42302896082401276,0.09986069674293198,0.4268701374530792,0.0956626385450363,True,2,Mid|2,17.0,250729.112444,Left|2,Mid|2 -> Left|2,0.0,Mid,Left
17,Left,250729.112444,171,250729.1086405,169.45200000191107,1.3223064751726146,0.4164507389068603,0.129907414317131,0.4164507389068603,0.129907414317131,True,2,Left|2,18.0,250729.447552,Mid|9,Left|2 -> Mid|9,0.33510799999930896,Left,Mid
21,Mid,250730.117768,201,250730.1253525,117.00299999210984,1.4885458213135574,0.6267583131790161,0.42749571800231934,0.629757821559906,0.4523215889930725,True,5,Mid|5,22.0,250730.352343,Dashboard|3,Mid|5 -> Dashboard|3,0.2345750000094995,Mid,Dashboard
22,Dashboard,250730.352343,208,250730.367427,121.03699997533111,0.5995054705071282,0.8305454611778259,0.2553401798009872,0.8248871564865112,0.19602632522583,True,3,Dashboard|3,22.0,250730.385854,Left|3,Dashboard|3 -> Left|3,0.03351099998690188,Dashboard,Left
22,Left,250730.385854,209,250730.367427,121.03699997533111,0.5995054705071282,0.703853189945221,0.2762547433376312,0.703853189945221,0.2762547433376312,True,3,Left|3,23.0,250730.787984,Mid|6,Left|3 -> Mid|6,0.40213000000221655,Left,Mid
23,Mid,250730.787984,221,250730.7749185,141.21050003450364,1.3090598115884031,0.7524928689002991,0.35131341218948364,0.7558931112289429,0.3240332305431366,True,6,Mid|6,24.0,250731.123091,Dashboard|7,Mid|6 -> Dashboard|7,0.33510699999169447,Mid,Dashboard
24,Dashboard,250731.123091,231,250731.109788,141.21049997629598,1.0342418165987095,0.2440173983573913,0.8736400961875915,0.2501957714557647,0.860723078250885,True,7,Dashboard|7,24.0,250731.190113,Left|2,Dashboard|7 -> Left|2,0.06702200000290759,Dashboard,Left
