aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,18743,0.22211841060662588,0.23457600000074308
Mid|8,Mid|8,2891,0.22302046938775583,0.23457700000017212
Mid|5,Right|1,364,0.11066011813186828,0.10053399999924295
Right|1,Mid|5,360,0.11738176944446777,0.10053300000026866
Mid|5,Right|8,328,0.09787677743904402,0.10053299999981391
Mid|5,Left|8,317,0.10803894637225507,0.1005330000007234
Mid|4,Mid|4,312,0.21331089743587084,0.20106699999996636
Right|8,Mid|5,311,0.1259669260450423,0.13404399999944872
Left|8,Mid|5,309,0.11604169255661198,0.1005330000007234
Mid|5,Right|7,295,0.10928001694914108,0.1005330000007234
Mid|5,Right|2,291,0.10767304467355512,0.1005330000007234
Right|7,Mid|5,290,0.11347526206901452,0.1005339999996977
Right|2,Mid|5,285,0.11570867017545472,0.10053400000015245
Mid|5,Right|4,246,0.10938757317074017,0.1005330000007234
Right|4,Mid|5,245,0.11776724897958864,0.10053400000015245
Mid|4,Mid|5,229,0.2203829432313812,0.23457699999926263
Left|9,Mid|5,226,0.11921655309728586,0.10053399999924295
Mid|5,Left|9,218,0.10729700000006274,0.1005330000007234
Mid|5,Mid|4,218,0.20721533944958678,0.20106699999996636
Mid|5,Dashboard|5,217,0.22161737327186937,0.23457199999938894
Left|8,Mid|8,211,0.13483826540279242,0.1340440000003582
Mid|8,Left|8,205,0.10396600000000568,0.10053299999981391
Mid|2,Mid|5,167,0.22093234131736206,0.20106699999996636
Dashboard|5,Mid|5,158,0.22757722784809872,0.23457599999983358
Mid|5,Mid|2,158,0.2070051202531719,0.20106699999996636
Mid|8,Left|9,142,0.1047810352112886,0.10053299999981391
Left|9,Mid|8,141,0.11883349645391873,0.10053400000015245
Mid|6,Mid|6,138,0.20179460869571747,0.20106699999996636
Mid|6,Mid|5,132,0.20969767424237556,0.20106650000025184
Mid|5,Mid|6,131,0.2192409160304769,0.234574000000066
Left|3,Mid|5,121,0.11078045454536746,0.10053299999890442
Mid|2,Mid|2,114,0.1995966578947286,0.20106699999996636
Mid|5,Left|3,107,0.11901139252349141,0.1340440000003582
Dashboard|4,Dashboard|4,86,0.15859333720937832,0.13404500000069675
Mid|1,Mid|5,73,0.19831204109589773,0.20106699999996636
Left|2,Mid|5,68,0.14882864705878895,0.134045000000242
Left|8,Left|8,68,0.02414766176473356,0.0
Dashboard|5,Dashboard|5,64,0.1518463437499662,0.134045000000242
Left|6,Mid|5,62,0.12593691935475246,0.11728899999889109
Mid|5,Left|6,61,0.11536609836063884,0.10053399999924295
Mid|5,Mid|1,59,0.2459899322033133,0.23457700000017212
Mid|5,Left|2,55,0.12734225454537823,0.10053400000106194
Mid|8,Left|6,55,0.09322165454543045,0.0670220000001791
Dashboard|4,Mid|5,53,0.2472236037735954,0.23457800000142015
Left|6,Mid|8,51,0.13010164705890787,0.1340440000003582
Mid|5,Dashboard|8,49,0.24893897959176386,0.23457800000051066
Mid|5,Dashboard|4,48,0.25622056249990993,0.2513330000001588
Mid|1,Mid|1,47,0.18965829787229016,0.20106699999996636
Right|5,Mid|5,44,0.12338163636360894,0.1340440000003582
Mid|8,Mid|5,44,0.21934484090909542,0.21782149999989997
Mid|7,Mid|8,42,0.25053449999993627,0.23457700000017212
Mid|8,Mid|7,41,0.2198651951219778,0.20106699999996636
Dashboard|5,Left|4,40,0.08293964999993478,0.08377700000028199
Mid|5,Mid|8,39,0.2234064871795104,0.20106699999996636
Mid|5,Right|5,37,0.11230737837836755,0.10053299999981391
Mid|7,Mid|7,36,0.21875255555556172,0.23457700000017212
Right|1,Right|1,33,0.02234069696968425,0.0
Left|5,Mid|5,32,0.16022424999985674,0.16755499999999302
