aoi_id,Left|1,Left|2,Left|3,Left|4,Left|5,Left|6,Left|7,Left|8,Left|9,Mid|1,Mid|2,Mid|3,Mid|4,Mid|5,Mid|6,Mid|7,Mid|8,Mid|9,Right|1,Right|2,Right|3,Right|4,Right|5,Right|6,Right|7,Right|8,Right|9,Dashboard|1,Dashboard|2,Dashboard|3,Dashboard|4,Dashboard|5,Dashboard|6,Dashboard|7,Dashboard|8,Dashboard|9
Left|1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Left|2,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,9.0,68.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0
Left|3,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,121.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0
Left|4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,0.0,0.0
Left|5,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,32.0,1.0,3.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,3.0,1.0,0.0,1.0
Left|6,0.0,0.0,2.0,0.0,0.0,16.0,0.0,1.0,1.0,1.0,5.0,0.0,12.0,62.0,1.0,6.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left|7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,29.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
Left|8,0.0,0.0,1.0,0.0,0.0,2.0,2.0,68.0,3.0,1.0,8.0,0.0,24.0,309.0,1.0,9.0,211.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
Left|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,2.0,0.0,0.0,19.0,226.0,1.0,7.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mid|1,1.0,5.0,5.0,0.0,5.0,1.0,0.0,2.0,0.0,47.0,29.0,0.0,11.0,73.0,1.0,1.0,12.0,0.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,3.0,1.0,0.0
Mid|2,1.0,2.0,8.0,1.0,5.0,4.0,0.0,7.0,0.0,21.0,114.0,1.0,14.0,167.0,7.0,0.0,10.0,1.0,12.0,16.0,2.0,9.0,1.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,20.0,2.0,5.0,10.0,0.0
Mid|3,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
Mid|4,1.0,10.0,7.0,3.0,1.0,14.0,5.0,17.0,25.0,14.0,6.0,1.0,312.0,229.0,0.0,2.0,6.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0
Mid|5,3.0,55.0,107.0,5.0,11.0,61.0,21.0,317.0,218.0,59.0,158.0,11.0,218.0,18743.0,131.0,8.0,39.0,7.0,364.0,291.0,17.0,246.0,37.0,2.0,295.0,328.0,24.0,3.0,4.0,0.0,48.0,217.0,8.0,15.0,49.0,4.0
Mid|6,0.0,1.0,5.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,8.0,2.0,1.0,132.0,138.0,0.0,0.0,6.0,6.0,3.0,0.0,6.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0
Mid|7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,8.0,0.0,1.0,0.0,2.0,8.0,0.0,36.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mid|8,1.0,11.0,0.0,0.0,26.0,55.0,27.0,205.0,142.0,12.0,14.0,0.0,6.0,44.0,1.0,41.0,2891.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mid|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Right|1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,14.0,1.0,3.0,360.0,4.0,1.0,1.0,0.0,33.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
Right|2,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,285.0,4.0,0.0,2.0,0.0,4.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0
Right|3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Right|4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,0.0,2.0,245.0,8.0,0.0,6.0,2.0,2.0,2.0,0.0,31.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
Right|5,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
Right|6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Right|7,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,290.0,7.0,4.0,4.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Right|8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,12.0,0.0,7.0,311.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
Right|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dashboard|1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dashboard|2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dashboard|3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dashboard|4,0.0,0.0,7.0,1.0,10.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,53.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,1.0,0.0,1.0,1.0,0.0
Dashboard|5,0.0,18.0,9.0,40.0,22.0,0.0,7.0,0.0,0.0,22.0,19.0,7.0,16.0,158.0,14.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0,10.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,64.0,0.0,0.0,0.0,0.0
Dashboard|6,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0
Dashboard|7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0,0.0,1.0
Dashboard|8,0.0,5.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,4.0,7.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,1.0,1.0,3.0,0.0
Dashboard|9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
