aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,2926,0.2192808981544739,0.23457300000063697
Mid|8,Mid|8,2887,0.22303927918254346,0.23457700000017212
Left|8,Mid|8,211,0.13483826540279242,0.1340440000003582
Mid|8,Left|8,205,0.10396600000000568,0.10053299999981391
Mid|8,Left|9,142,0.1047810352112886,0.10053299999981391
Left|9,Mid|8,141,0.11883349645391873,0.10053400000015245
Mid|5,Dashboard|5,101,0.2176539999999486,0.20106500000019878
Dashboard|5,Mid|5,83,0.22851906024099816,0.23457599999983358
Mid|8,Left|6,55,0.09322165454543045,0.0670220000001791
Right|4,Mid|5,54,0.1166668888889338,0.10053250000009939
Mid|5,Right|4,53,0.11507450943399988,0.1340410000002521
Mid|5,Right|7,52,0.10310982692306844,0.10053100000004633
Left|6,Mid|8,51,0.13010164705890787,0.1340440000003582
Right|7,Mid|5,50,0.12533003999997164,0.1340424999998504
Mid|6,Mid|6,46,0.20470721739132822,0.23457199999984368
Mid|6,Mid|5,41,0.2084205853658515,0.20106500000019878
Mid|7,Mid|8,41,0.2517410243901794,0.23457700000017212
Mid|5,Right|8,40,0.08712785000004715,0.0670220000001791
Mid|8,Mid|7,40,0.21949737500003721,0.20106699999996636
Mid|5,Mid|6,36,0.18249208333324735,0.20106499999974403
Right|8,Mid|5,36,0.13869730555554977,0.13404399999990346
Mid|7,Mid|7,35,0.22117279999999612,0.23457700000017212
Mid|8,Mid|5,33,0.23051506060608407,0.23457699999926263
Mid|5,Right|1,32,0.11624028124998631,0.10053250000009939
Right|1,Mid|5,31,0.11134180645181445,0.0670220000001791
Dashboard|5,Dashboard|5,31,0.15350077419351427,0.1675519999998869
Mid|5,Mid|8,30,0.23122546666660734,0.2178219999996145
Left|8,Left|8,28,0.02273964285716699,0.0
Left|7,Mid|8,27,0.08439818518524624,0.10053299999981391
Mid|8,Left|7,27,0.11790937037043207,0.1005330000007234
Mid|8,Left|5,26,0.0915108846154628,0.0670220000001791
