fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
3,Left,10892.821744,34,10892.772933,88.76149999923655,1.4038000950119602,0.8542325496673584,0.3749922811985016,0.8542325496673584,0.3749922811985016,True,6,Left|6,A2:A2_delay3:000,5.0,10893.324412,Mid|2,Left|6 -> Mid|2,0.5026679999991757,Left,Mid
6,Mid,10893.55899,56,10893.551615,104.90049999862094,0.8908421493401347,0.5370751321315765,0.3118591457605362,0.5396186709403992,0.3159688711166382,True,2,Mid|2,A2:A2_delay3:000,7.0,10893.693035,Dashboard|6,Mid|2 -> Dashboard|6,0.13404500000069675,Mid,Dashboard
7,Dashboard,10893.693035,60,10893.692827,217.86950000023356,1.4335931223188094,0.7462427360670907,0.5313324076788766,0.7404618263244629,0.5394167900085449,True,6,Dashboard|6,A2:A2_delay3:000,7.0,10893.726546,Left|5,Dashboard|6 -> Left|5,0.033510999999634805,Dashboard,Left
7,Left,10893.726546,61,10893.692827,217.86950000023356,1.4335931223188094,0.4122407138347626,0.3392708599567413,0.4122407138347626,0.3392708599567413,True,5,Left|5,A2:A2_delay3:000,8.0,10893.927613,Dashboard|6,Left|5 -> Dashboard|6,0.20106699999996636,Left,Dashboard
8,Dashboard,10893.927613,67,10893.9147315,121.0384999994858,0.7533309542012715,0.7399414628744125,0.5028769448399544,0.7399413585662842,0.5068221092224121,True,6,Dashboard|6,A2:A2_delay3:000,8.0,10894.028147,Left|4,Dashboard|6 -> Left|4,0.10053400000106194,Dashboard,Left
11,Left,10894.597837,87,10894.443267,217.86950000023356,1.3884144635922366,0.6630511283874512,0.815009355545044,0.6630511283874512,0.815009355545044,True,8,Left|8,A2:A2_delay3:000,14.0,10895.066994,Dashboard|9,Left|8 -> Dashboard|9,0.46915700000135985,Left,Dashboard
14,Dashboard,10895.066994,101,10895.0524955,217.86950000023356,1.454194767435185,0.8593945332935878,0.7446695140429905,0.8595743179321289,0.7450391054153442,True,9,Dashboard|9,A2:A2_delay3:000,14.0,10895.100505,Mid|5,Dashboard|9 -> Mid|5,0.033510999999634805,Dashboard,Mid
14,Mid,10895.100505,102,10895.0524955,217.86950000023356,1.454194767435185,0.4966903030872345,0.34355640908082324,0.7630628347396851,0.338870495557785,True,5,Mid|5,A2:A2_delay3:000,14.0,10895.167527,Left|2,Mid|5 -> Left|2,0.06702199999926961,Mid,Left
14,Left,10895.167527,104,10895.0524955,217.86950000023356,1.454194767435185,0.3338682428002357,0.29265296459198,0.1807457655668258,0.363555371761322,True,2,Left|2,A2:A2_delay3:000,15.0,10895.268061,Dashboard|9,Left|2 -> Dashboard|9,0.10053400000106194,Left,Dashboard
15,Dashboard,10895.268061,107,10895.2743995,133.14250000075845,1.088055088768113,0.8697121143341064,0.719749140739441,0.8703807592391968,0.721969723701477,True,9,Dashboard|9,A2:A2_delay3:000,15.0,10895.268061,Mid|2,Dashboard|9 -> Mid|2,0.0,Dashboard,Mid
15,Mid,10895.268061,107,10895.2743995,133.14250000075845,1.088055088768113,0.4549835324287414,0.1769361495971679,0.4549835324287414,0.1769361495971679,True,2,Mid|2,A2:A2_delay3:000,15.0,10895.301572,Left|4,Mid|2 -> Left|4,0.033510999999634805,Mid,Left
15,Left,10895.301572,108,10895.2743995,133.14250000075845,1.088055088768113,0.16160584241151804,0.36646105349063873,0.1709615439176559,0.3874126076698303,True,4,Left|4,A2:A2_delay3:000,16.0,10895.469128,Mid|5,Left|4 -> Mid|5,0.16755600000033155,Left,Mid
26,Mid,10897.848422,184,10897.8444545,181.5580000002228,1.0860817256734776,0.5030958950519562,0.5204798877239227,0.5046951770782471,0.5065580010414124,True,5,Mid|5,A2:A2_delay3:000,29.0,10898.820246,Left|6,Mid|5 -> Left|6,0.971824000000197,Mid,Left
29,Left,10898.820246,213,10898.7764525,141.21200000045064,0.9981008001645184,0.7810294032096863,0.6578084826469421,0.7810294032096863,0.6578084826469421,True,6,Left|6,A2:A2_delay3:000,30.0,10899.188869,Mid|5,Left|6 -> Mid|5,0.3686230000002979,Left,Mid
34,Mid,10899.959627,247,10899.9707015,217.86950000023356,0.5933717730568595,0.47813918441534037,0.47261716425418854,0.4718344509601593,0.4814538955688476,True,5,Mid|5,A2:A2_delay3:000,34.0,10900.06016,Left|2,Mid|5 -> Left|2,0.1005330000007234,Mid,Left
34,Left,10900.06016,250,10899.9707015,217.86950000023356,0.5933717730568595,0.6124498844146729,0.2053292989730835,0.6124498844146729,0.2053292989730835,True,2,Left|2,A2:A2_delay3:000,35.0,10900.194205,Mid|5,Left|2 -> Mid|5,0.13404499999887776,Left,Mid
39,Mid,10901.065496,280,10901.068119,217.86950000023356,0.986763989646364,0.4851398356258869,0.4148397780954837,0.4799199998378753,0.4339489042758941,True,5,Mid|5,A2:A2_delay3:000,39.0,10901.099007,Left|8,Mid|5 -> Left|8,0.033511000001453795,Mid,Left
39,Left,10901.099007,281,10901.068119,217.86950000023356,0.986763989646364,0.6362382173538208,0.7356093525886536,0.6362382173538208,0.7356093525886536,True,8,Left|8,A2:A2_delay3:000,40.0,10901.300074,Mid|5,Left|8 -> Mid|5,0.20106699999996636,Left,Mid
41,Mid,10901.501141,293,10901.5119275,217.86950000023356,0.5062091535580803,0.4887740835547447,0.431498259305954,0.4769648015499115,0.4257780909538269,True,5,Mid|5,A2:A2_delay3:000,42.0,10901.869764,Dashboard|6,Mid|5 -> Dashboard|6,0.3686229999984789,Mid,Dashboard
44,Dashboard,10902.104342,311,10902.092913,217.8700000004028,0.4867348957567878,0.7153111696243286,0.4361179258142199,0.7161682844161987,0.4254146814346313,True,6,Dashboard|6,A2:A2_delay3:000,44.0,10902.238387,Left|2,Dashboard|6 -> Left|2,0.13404499999887776,Dashboard,Left
44,Left,10902.238387,315,10902.092913,217.8700000004028,0.4867348957567878,0.5270992517471313,0.2956880629062652,0.5270992517471313,0.2956880629062652,True,2,Left|2,A2:A2_delay3:000,45.0,10902.305409,Dashboard|6,Left|2 -> Dashboard|6,0.0670220000010886,Left,Dashboard
45,Dashboard,10902.305409,317,10902.3148175,157.3500000013155,0.2812980466612538,0.7025977174441019,0.4544725219408671,0.7071529030799866,0.4536623656749725,True,6,Dashboard|6,A2:A2_delay3:000,45.0,10902.372432,Left|5,Dashboard|6 -> Left|5,0.06702299999960815,Dashboard,Left
45,Left,10902.372432,319,10902.3148175,157.3500000013155,0.2812980466612538,0.3490140438079834,0.4324451684951782,0.3490140438079834,0.4324451684951782,True,5,Left|5,A2:A2_delay3:000,46.0,10902.573499,Dashboard|4,Left|5 -> Dashboard|4,0.20106699999996636,Left,Dashboard
48,Dashboard,10903.009144,338,10903.012807,217.86950000023356,0.7629370661068311,0.1983650587499141,0.5134571269154549,0.2115368247032165,0.4832873940467834,True,4,Dashboard|4,A2:A2_delay3:000,48.0,10903.1767,Left|7,Dashboard|4 -> Left|7,0.16755600000033155,Dashboard,Left
48,Left,10903.1767,343,10903.012807,217.86950000023356,0.7629370661068311,0.3319270312786102,0.6874162554740906,0.3319270312786102,0.6874162554740906,True,7,Left|7,A2:A2_delay3:000,49.0,10903.277234,Dashboard|6,Left|7 -> Dashboard|6,0.10053399999924295,Left,Dashboard
49,Dashboard,10903.277234,346,10903.2871615,217.86950000023356,1.193045888121243,0.7023533508181572,0.5319246500730515,0.7294387221336365,0.5486225485801697,True,6,Dashboard|6,A2:A2_delay3:000,49.0,10903.411278,Left|4,Dashboard|6 -> Left|4,0.1340440000003582,Dashboard,Left
49,Left,10903.411278,350,10903.2871615,217.86950000023356,1.193045888121243,0.1953981220722198,0.4957745373249054,0.1953981220722198,0.4957745373249054,True,4,Left|4,A2:A2_delay3:000,50.0,10903.511812,Dashboard|6,Left|4 -> Dashboard|6,0.10053400000106194,Left,Dashboard
50,Dashboard,10903.511812,353,10903.509066,189.62699999974572,0.7424785062595775,0.6959991114480155,0.49830573371478487,0.6939016580581665,0.4977428913116455,True,6,Dashboard|6,A2:A2_delay3:000,51.0,10903.779902,Mid|5,Dashboard|6 -> Mid|5,0.2680899999995745,Dashboard,Mid
68,Mid,10907.533154,473,10907.5194815,217.8700000004028,1.1398101908911618,0.4393770056111472,0.5396405032702855,0.4382920563220978,0.5133365988731384,True,5,Mid|5,A2:A2_delay3:000,68.0,10907.734221,Left|9,Mid|5 -> Left|9,0.20106699999996636,Mid,Left
68,Left,10907.734221,479,10907.5194815,217.8700000004028,1.1398101908911618,0.9211365580558776,0.6734917759895325,0.9211365580558776,0.6734917759895325,True,9,Left|9,A2:A2_delay3:000,69.0,10907.734221,Mid|5,Left|9 -> Mid|5,0.0,Left,Mid
69,Mid,10907.734221,479,10907.741386000002,217.8694999984145,0.7530272734889506,0.43993763253092766,0.5341785699129105,0.4433990716934204,0.5176166892051697,True,5,Mid|5,A2:A2_delay3:000,69.0,10907.734221,Left|6,Mid|5 -> Left|6,0.0,Mid,Left
69,Left,10907.734221,479,10907.741386000002,217.8694999984145,0.7530272734889506,0.8982582688331604,0.6532508134841919,0.8982582688331604,0.6532508134841919,True,6,Left|6,A2:A2_delay3:000,70.0,10907.9688,Mid|5,Left|6 -> Mid|5,0.2345789999999397,Left,Mid
78,Mid,10909.878937,543,10909.8878055,157.35050000148476,1.451480102790634,0.6192984580993652,0.10643037284413968,0.6222876310348511,0.10347431153059,True,2,Mid|2,A2:A2_delay3:000,79.0,10910.080004,Dashboard|6,Mid|2 -> Dashboard|6,0.20106699999996636,Mid,Dashboard
