aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,27147,0.21070064095481034,0.20106700000178535
Mid|6,Mid|6,3049,0.2003741193835042,0.20106600000872277
Mid|2,Mid|2,2969,0.20473273223306876,0.20106700000087585
Mid|5,Mid|6,1152,0.21238235677046427,0.20106600000872277
Mid|6,Mid|5,1121,0.22208190900983285,0.20107199999984005
Mid|5,Mid|2,1019,0.213069744847777,0.2345720000000142
Mid|2,Mid|5,1003,0.21606638484548868,0.20106699999996636
Mid|4,Mid|4,887,0.18791870687713272,0.20106600000008257
Left|8,Mid|5,569,0.12361823198583155,0.10053400000003876
Mid|5,Left|8,563,0.10648532859691429,0.10053300000004128
Mid|5,Left|9,481,0.10499185862812356,0.10053099999998949
Left|9,Mid|5,464,0.13100961637896227,0.10053400000003876
Mid|5,Mid|4,441,0.21489618820841871,0.20106699999996636
Mid|4,Mid|5,418,0.22423527272716678,0.20106699999996636
Mid|5,Dashboard|5,398,0.25276438944716223,0.23457700000017212
Dashboard|5,Dashboard|5,344,0.16229495348835796,0.16755499999999302
Dashboard|5,Mid|5,326,0.24136189877328554,0.23457700000017212
Left|3,Mid|5,318,0.14142085534590687,0.13404249999561557
Dashboard|4,Dashboard|4,312,0.1636885801282211,0.16755499999999302
Mid|5,Left|3,309,0.10823302912644842,0.1005330000007234
Dashboard|4,Mid|5,288,0.2343446354165969,0.23457699999994475
Mid|5,Dashboard|4,208,0.23860521634620113,0.23457699999971737
Left|2,Mid|5,199,0.13724374874381748,0.13404399999126326
Left|6,Mid|5,186,0.12160371505383877,0.10053300000026866
Mid|5,Left|6,183,0.12433871584715357,0.10053300000026866
Mid|5,Left|2,182,0.11323788461558061,0.10053299999981391
Dashboard|5,Dashboard|4,161,0.15548322360246652,0.134045000000242
Mid|5,Dashboard|8,140,0.25444460714326006,0.26808799999707844
Left|8,Mid|2,133,3.6932298421055174,0.10053300000026866
Mid|2,Left|8,125,0.11072051999991345,0.10053299999981391
Right|7,Mid|5,119,0.10391236974730242,0.06702300000051764
Mid|5,Right|7,114,0.10523649999956768,0.10053300000208765
Mid|2,Left|3,112,0.10172997321443791,0.10053300000015497
Left|3,Mid|2,111,0.122572117117051,0.1005339999996977
Dashboard|4,Dashboard|5,110,0.16968782727289883,0.16755499999999302
Dashboard|5,Left|4,98,0.08651322449027155,0.06702200000154335
