aoi_id,Left|1,Left|2,Left|3,Left|4,Left|5,Left|6,Left|7,Left|8,Left|9,Mid|1,Mid|2,Mid|3,Mid|4,Mid|5,Mid|6,Mid|7,Mid|8,Mid|9,Right|1,Right|2,Right|3,Right|4,Right|5,Right|6,Right|7,Right|8,Right|9,Dashboard|1,Dashboard|2,Dashboard|3,Dashboard|4,Dashboard|5,Dashboard|6,Dashboard|7,Dashboard|8,Dashboard|9
Left|1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,22.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,4.0,0.0
Left|2,1.0,27.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,54.0,7.0,11.0,199.0,12.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,5.0,1.0,4.0,4.0
Left|3,1.0,4.0,51.0,0.0,2.0,9.0,0.0,1.0,1.0,10.0,111.0,3.0,8.0,318.0,32.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,1.0,7.0,0.0
Left|4,0.0,0.0,0.0,16.0,1.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,3.0,77.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,28.0,50.0,11.0,0.0,10.0,2.0
Left|5,0.0,4.0,2.0,2.0,12.0,1.0,0.0,5.0,2.0,6.0,15.0,2.0,3.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,32.0,7.0,0.0,2.0,0.0
Left|6,0.0,2.0,5.0,1.0,4.0,29.0,0.0,2.0,7.0,5.0,87.0,2.0,25.0,186.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,2.0,2.0,2.0
Left|7,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,1.0,10.0,1.0,3.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,25.0,0.0,2.0,0.0,0.0
Left|8,0.0,0.0,1.0,0.0,5.0,3.0,1.0,68.0,3.0,3.0,133.0,3.0,36.0,569.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0
Left|9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,42.0,0.0,37.0,0.0,36.0,464.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,6.0,0.0
Mid|1,0.0,1.0,8.0,0.0,5.0,5.0,1.0,4.0,0.0,56.0,31.0,0.0,4.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,4.0,0.0
Mid|2,12.0,48.0,112.0,4.0,10.0,96.0,10.0,125.0,36.0,32.0,2969.0,42.0,12.0,1003.0,21.0,0.0,1.0,1.0,21.0,8.0,1.0,15.0,2.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,15.0,29.0,2.0,8.0,28.0,4.0
Mid|3,14.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,38.0,52.0,0.0,13.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0
Mid|4,0.0,12.0,10.0,0.0,1.0,29.0,2.0,47.0,37.0,6.0,9.0,0.0,887.0,418.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,1.0,9.0,3.0,0.0
Mid|5,12.0,182.0,309.0,16.0,22.0,183.0,34.0,563.0,481.0,11.0,1019.0,16.0,441.0,27147.0,1152.0,8.0,30.0,6.0,80.0,43.0,3.0,64.0,5.0,2.0,114.0,71.0,2.0,3.0,10.0,2.0,208.0,398.0,24.0,54.0,140.0,7.0
Mid|6,3.0,15.0,42.0,0.0,2.0,0.0,0.0,16.0,24.0,3.0,21.0,14.0,1.0,1121.0,3049.0,0.0,5.0,3.0,12.0,3.0,0.0,45.0,2.0,0.0,25.0,11.0,1.0,0.0,1.0,0.0,9.0,31.0,1.0,1.0,21.0,4.0
Mid|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
