fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Right,4545.699089,4,4545.696316,217.86799999972573,0.5987711344741063,0.3075613379478454,0.7115436281476702,0.3145481050014496,0.7111920118331909,True,7,Right|7,NA3_delay2:000,1.0,4545.900155,Left|3,Right|7 -> Left|3,0.20106600000053731,Right,Left
1,Left,4545.900155,10,4545.696316,217.86799999972573,0.5987711344741063,0.8453109860420227,0.0259693972766399,0.8453109860420227,0.0259693972766399,True,3,Left|3,NA3_delay2:000,2.0,4545.933666,Right|8,Left|3 -> Right|8,0.033510999999634805,Left,Right
2,Right,4545.933666,11,4545.918218999999,104.89900000084162,1.234668505236283,0.37580421566963196,0.8610519170761108,0.3159452676773071,0.7322630286216736,True,8,Right|8,NA3_delay2:000,3.0,4546.335798,Mid|5,Right|8 -> Mid|5,0.40213200000016514,Right,Mid
11,Mid,4547.341129,53,4547.354535500001,153.31499999956577,0.8778849483735501,0.48564586639404295,0.5208251655101777,0.4830102324485779,0.5393750071525574,True,5,Mid|5,NA3_delay2:000,13.0,4547.977838,Right|6,Mid|5 -> Right|6,0.6367089999994278,Mid,Right
13,Right,4547.977838,72,4547.935518,125.07249999998749,1.4875100042337914,0.8172216415405273,0.5515806376934052,0.7961646914482117,0.4932215809822082,True,6,Right|6,NA3_delay2:000,15.0,4548.514014,Left|9,Right|6 -> Left|9,0.5361760000005233,Right,Left
15,Left,4548.514014,88,4548.4398425,217.86799999972573,1.3589146950921356,0.7478935122489929,0.7568302154541016,0.7478935122489929,0.7568302154541016,True,9,Left|9,NA3_delay2:000,18.0,4549.35179,Mid|5,Left|9 -> Mid|5,0.8377759999993941,Left,Mid
28,Mid,4551.865115,188,4551.8571465,100.8654999995997,1.4279552688209354,0.2903377711772918,0.1271572560071945,0.2903377711772918,0.1271572560071945,True,1,Mid|1,NA3_delay2:000,30.0,4552.200226,Left|8,Mid|1 -> Left|8,0.33511100000032457,Mid,Left
30,Left,4552.200226,198,4552.1920185,80.69199999954435,1.452753483104308,0.5275870561599731,0.6999586820602417,0.5275870561599731,0.6999586820602417,True,8,Left|8,NA3_delay2:000,34.0,4552.903957,Mid|5,Left|8 -> Mid|5,0.7037310000005164,Left,Mid
37,Mid,4553.306089,231,4553.3217055000005,129.10749999991822,1.4336578905344617,0.5248333811759949,0.46580880880355835,0.6075373291969299,0.5307630300521851,True,5,Mid|5,NA3_delay2:000,37.0,4553.373111,Left|2,Mid|5 -> Left|2,0.0670220000001791,Mid,Left
37,Left,4553.373111,233,4553.3217055000005,129.10749999991822,1.4336578905344617,0.5959110856056213,0.2066366523504257,0.5959110856056213,0.2066366523504257,True,2,Left|2,NA3_delay2:000,38.0,4553.540666,Mid|5,Left|2 -> Mid|5,0.16755499999999302,Left,Mid
50,Mid,4555.852926,307,4555.855433000001,177.52199999995355,1.4994337183163922,0.5117675264676412,0.46060093740622204,0.5095189213752747,0.4655421376228332,True,5,Mid|5,NA3_delay2:000,51.0,4556.087503,Dashboard|4,Mid|5 -> Dashboard|4,0.23457700000017212,Mid,Dashboard
54,Dashboard,4556.556657,328,4556.565522499999,197.6955000009184,1.4682355213095422,0.31868786045483183,0.45934708203588215,0.3173439800739288,0.4691315591335296,True,4,Dashboard|4,NA3_delay2:000,55.0,4556.824745,Left|1,Dashboard|4 -> Left|1,0.2680879999998069,Dashboard,Left
55,Left,4556.824745,336,4556.8318055,104.90000000027068,1.4294870610194268,0.2822570204734802,0.0904029756784439,0.2822570204734802,0.0904029756784439,True,1,Left|1,NA3_delay2:000,55.0,4556.824745,Mid|5,Left|1 -> Mid|5,0.0,Left,Mid
62,Mid,4558.031142,372,4558.0300815,217.8680000006352,1.1515165639519505,0.4773184529372624,0.438660945211138,0.4942151606082916,0.4324621856212616,True,5,Mid|5,NA3_delay2:000,62.0,4558.198697,Left|8,Mid|5 -> Left|8,0.16755499999999302,Mid,Left
62,Left,4558.198697,377,4558.0300815,217.8680000006352,1.1515165639519505,0.4939351677894592,0.7948724031448364,0.4939351677894592,0.7948724031448364,True,8,Left|8,NA3_delay2:000,63.0,4558.265719,Mid|5,Left|8 -> Mid|5,0.0670220000001791,Left,Mid
65,Mid,4558.701362,392,4558.6877205,125.07249999998749,1.4155103858979938,0.49585384130477905,0.4572448879480362,0.4895783066749573,0.4358936846256256,True,5,Mid|5,NA3_delay2:000,65.0,4558.768384,Left|9,Mid|5 -> Left|9,0.0670220000001791,Mid,Left
65,Left,4558.768384,394,4558.6877205,125.07249999998749,1.4155103858979938,0.7125388979911804,0.7628016471862793,0.7125388979911804,0.7628016471862793,True,9,Left|9,NA3_delay2:000,66.0,4558.801895,Mid|5,Left|9 -> Mid|5,0.033510999999634805,Left,Mid
79,Mid,4561.147666,465,4561.132687,149.27999999963504,0.9860487722158808,0.3935980796813965,0.23219744265079495,0.394334614276886,0.2236620783805847,True,2,Mid|2,NA3_delay2:000,80.0,4561.315221,Dashboard|4,Mid|2 -> Dashboard|4,0.16755499999999302,Mid,Dashboard
82,Dashboard,4561.61682,479,4561.608769500001,133.14199999967968,0.862183788323173,0.33319396972656246,0.5134686768054962,0.3354725539684295,0.5262328386306763,True,5,Dashboard|5,NA3_delay2:000,83.0,4561.817886,Mid|5,Dashboard|5 -> Mid|5,0.20106599999962782,Dashboard,Mid
111,Mid,4566.710494,631,4566.6963975,217.86799999972573,1.2553642909548934,0.48917926635060993,0.49337291717529297,0.4888870418071747,0.5004802942276001,True,5,Mid|5,NA3_delay2:000,111.0,4566.744005,Left|8,Mid|5 -> Left|8,0.033510999999634805,Mid,Left
111,Left,4566.744005,632,4566.6963975,217.86799999972573,1.2553642909548934,0.4802597761154175,0.801665186882019,0.4802597761154175,0.801665186882019,True,8,Left|8,NA3_delay2:000,112.0,4566.91156,Mid|5,Left|8 -> Mid|5,0.16755499999999302,Left,Mid
113,Mid,4567.146137,644,4567.140203,217.86799999972573,0.9287918228940102,0.48848897218704224,0.47028404474258423,0.551118016242981,0.3958248794078827,True,5,Mid|5,NA3_delay2:000,113.0,4567.179648,Left|9,Mid|5 -> Left|9,0.0335110000005443,Mid,Left
113,Left,4567.179648,645,4567.140203,217.86799999972573,0.9287918228940102,0.802903413772583,0.6729887127876282,0.802903413772583,0.6729887127876282,True,9,Left|9,NA3_delay2:000,114.0,4567.347203,Mid|5,Left|9 -> Mid|5,0.16755499999999302,Left,Mid
121,Mid,4568.788177,693,4568.7943885,209.7990000002028,1.1365490069909463,0.4884281711918967,0.08455938845872875,0.4875151216983795,0.0838038027286529,True,2,Mid|2,NA3_delay2:000,122.0,4569.056265,Dashboard|5,Mid|2 -> Dashboard|5,0.2680879999998069,Mid,Dashboard
123,Dashboard,4569.22382,706,4569.218021000001,181.55699999988428,1.4564147268809555,0.2918519576390584,0.3848327745993932,0.292168527841568,0.3861275315284729,True,4,Dashboard|4,NA3_delay2:000,124.0,4569.458397,Mid|5,Dashboard|4 -> Mid|5,0.23457700000017212,Dashboard,Mid
137,Mid,4572.038745,790,4572.0261005,92.79650000007678,0.4270333652148311,0.48027727007865906,0.4483490784962972,0.47731813788414,0.4465720653533935,True,5,Mid|5,NA3_delay2:000,138.0,4572.172789,Dashboard|4,Mid|5 -> Dashboard|4,0.1340440000003582,Mid,Dashboard
139,Dashboard,4572.340344,799,4572.3286960000005,217.86799999972573,1.325909474762207,0.30266432251249037,0.4752962376390184,0.3002848327159881,0.4767655432224273,True,4,Dashboard|4,NA3_delay2:000,140.0,4572.675454,Mid|5,Dashboard|4 -> Mid|5,0.33510999999998603,Dashboard,Mid
158,Mid,4575.959533,907,4575.9638685,125.07249999998749,1.1020601099274498,0.4490321934223175,0.47492589950561526,0.4515259265899658,0.4704121351242065,True,5,Mid|5,NA3_delay2:000,159.0,4576.127088,Dashboard|4,Mid|5 -> Dashboard|4,0.16755499999999302,Mid,Dashboard
160,Dashboard,4576.261132,916,4576.258394,157.34949999932724,1.4278934243550612,0.2586953987677892,0.4796668390432994,0.2560272514820099,0.4722683429718017,True,4,Dashboard|4,NA3_delay2:000,161.0,4576.52922,Mid|5,Dashboard|4 -> Mid|5,0.2680880000007164,Dashboard,Mid
175,Mid,4579.344145,1008,4579.344861,217.86900000006423,1.105356217384666,0.4496996775269508,0.4511585272848606,0.4486004710197449,0.4483181834220886,True,5,Mid|5,NA3_delay2:000,175.0,4579.444678,Left|9,Mid|5 -> Left|9,0.10053299999981391,Mid,Left
175,Left,4579.444678,1011,4579.344861,217.86900000006423,1.105356217384666,0.6963640451431274,0.7284837961196899,0.6963640451431274,0.7284837961196899,True,9,Left|9,NA3_delay2:000,176.0,4579.612234,Dashboard|7,Left|9 -> Dashboard|7,0.16755600000033155,Left,Dashboard
178,Dashboard,4579.779789,1021,4579.788667000001,201.72999999886088,1.4627881010437858,0.24250348338059013,0.552595147064754,0.2405108958482742,0.5705520510673523,True,4,Dashboard|4,NA3_delay2:000,178.0,4579.880322,Left|5,Dashboard|4 -> Left|5,0.10053299999981391,Dashboard,Left
178,Left,4579.880322,1024,4579.788667000001,201.72999999886088,1.4627881010437858,0.5244624018669128,0.5424836277961731,0.5244624018669128,0.5424836277961731,True,5,Left|5,NA3_delay2:000,179.0,4579.980855,Dashboard|4,Left|5 -> Dashboard|4,0.10053299999981391,Left,Dashboard
179,Dashboard,4579.980855,1027,4579.9944315,217.8684999989855,1.310908521159284,0.29130300134420395,0.5109437555074692,0.2880885303020477,0.5090004801750183,True,4,Dashboard|4,NA3_delay2:000,180.0,4580.315965,Mid|5,Dashboard|4 -> Mid|5,0.33510999999998603,Dashboard,Mid
182,Mid,4580.684586,1048,4580.680313000001,88.76099999906728,0.5885180095310552,0.41250307112932205,0.5081343352794647,0.4132360816001892,0.5056657791137695,True,5,Mid|5,NA3_delay2:000,183.0,4580.81863,Dashboard|7,Mid|5 -> Dashboard|7,0.13404399999944872,Mid,Dashboard
187,Dashboard,4581.354806,1068,4581.354091,217.86799999972573,0.892280190392549,0.29217510563986643,0.494025890316282,0.2879839539527893,0.5008055567741394,True,4,Dashboard|4,NA3_delay2:000,188.0,4581.689916,Mid|5,Dashboard|4 -> Mid|5,0.33510999999998603,Dashboard,Mid
192,Mid,4582.46067,1101,4582.455536,165.41850000066916,0.9441242971005722,0.4793781290451686,0.4473028878370921,0.477720558643341,0.4475139677524566,True,5,Mid|5,NA3_delay2:000,193.0,4582.661736,Dashboard|5,Mid|5 -> Dashboard|5,0.20106599999962782,Mid,Dashboard
196,Dashboard,4583.030357,1118,4583.0324835,117.00350000046456,1.454392870377201,0.3081686615943908,0.48930041790008544,0.3095056712627411,0.4859534204006195,True,4,Dashboard|4,NA3_delay2:000,195.0,4583.030357,Left|5,Dashboard|4 -> Left|5,0.0,Dashboard,Left
196,Left,4583.030357,1118,4583.0324835,117.00350000046456,1.454392870377201,0.3523743450641632,0.5045915246009827,0.3523743450641632,0.5045915246009827,True,5,Left|5,NA3_delay2:000,197.0,4583.164401,Dashboard|5,Left|5 -> Dashboard|5,0.1340440000003582,Left,Dashboard
197,Dashboard,4583.164401,1122,4583.1535215,217.868499999895,0.9199939374838751,0.3773095267159598,0.5389159917831421,0.3793987333774566,0.5356738567352295,True,5,Dashboard|5,NA3_delay2:000,197.0,4583.231423,Left|5,Dashboard|5 -> Left|5,0.0670220000001791,Dashboard,Left
197,Left,4583.231423,1124,4583.1535215,217.868499999895,0.9199939374838751,0.4829536378383636,0.367155373096466,0.4829536378383636,0.367155373096466,True,5,Left|5,NA3_delay2:000,198.0,4583.365467,Dashboard|4,Left|5 -> Dashboard|4,0.13404399999944872,Left,Dashboard
198,Dashboard,4583.365467,1128,4583.3754245,217.86799999972573,1.102030207801885,0.3267968185245991,0.5258024260401726,0.326433777809143,0.5168399810791016,True,4,Dashboard|4,NA3_delay2:000,199.0,4583.700577,Mid|5,Dashboard|4 -> Mid|5,0.33510999999998603,Dashboard,Mid
207,Mid,4585.342617,1187,4585.344308,161.3839999999982,0.9215080512272684,0.35300497710704803,0.4493868996699651,0.3541744649410248,0.4556280374526977,True,5,Mid|5,NA3_delay2:000,208.0,4585.543683,Left|1,Mid|5 -> Left|1,0.20106599999962782,Mid,Left
208,Left,4585.543683,1193,4585.5541075,217.86799999972573,1.247561419679388,0.2798632085323334,0.0164113193750381,0.2798632085323334,0.0164113193750381,True,1,Left|1,NA3_delay2:000,208.0,4585.543683,Dashboard|5,Left|1 -> Dashboard|5,0.0,Left,Dashboard
211,Dashboard,4586.180392,1212,4586.195608,217.868499999895,1.3715546901789997,0.29893439635634417,0.5411245971918106,0.297339916229248,0.5359565019607544,True,4,Dashboard|4,NA3_delay2:000,212.0,4586.44848,Mid|5,Dashboard|4 -> Mid|5,0.2680879999998069,Dashboard,Mid
213,Mid,4586.616035,1225,4586.62731,80.69199999954435,1.4787608286697658,0.3649761825799942,0.45987410098314285,0.3650366067886352,0.4601811170578003,True,5,Mid|5,NA3_delay2:000,213.0,4586.683057,Left|6,Mid|5 -> Left|6,0.0670220000001791,Mid,Left
213,Left,4586.683057,1227,4586.62731,80.69199999954435,1.4787608286697658,0.9207605719566344,0.6387909054756165,0.9207605719566344,0.6387909054756165,True,6,Left|6,NA3_delay2:000,214.0,4586.716568,Mid|5,Left|6 -> Mid|5,0.033510999999634805,Left,Mid
224,Mid,4588.660207,1286,4588.6728515,217.8680000006352,1.389367201516552,0.36676668748259544,0.4612758830189705,0.3608121871948242,0.4570947289466858,True,5,Mid|5,NA3_delay2:000,224.0,4588.894784,Left|3,Mid|5 -> Left|3,0.23457700000017212,Mid,Left
225,Left,4588.894784,1293,4588.894754,217.868499999895,1.1425226900477492,0.7573641538619995,0.2969838082790375,0.7573641538619995,0.2969838082790375,True,3,Left|3,NA3_delay2:000,225.0,4588.894784,Mid|5,Left|3 -> Mid|5,0.0,Left,Mid
231,Mid,4590.235224,1333,4590.2261715,108.93450000003212,0.8890627900786908,0.416883148252964,0.48881369084119797,0.5150765180587769,0.5684546232223511,True,5,Mid|5,NA3_delay2:000,232.0,4590.369268,Dashboard|4,Mid|5 -> Dashboard|4,0.1340440000003582,Mid,Dashboard
233,Dashboard,4590.536823,1342,4590.520697,84.72650000021531,1.4978192714254308,0.2800763646761576,0.6083623369534811,0.2798245251178741,0.6063769459724426,True,4,Dashboard|4,NA3_delay2:000,234.0,4590.637357,Mid|5,Dashboard|4 -> Mid|5,0.10053399999924295,Dashboard,Mid
237,Mid,4591.140022,1360,4591.142025499999,217.8680000006352,1.449694297276879,0.3752063512802124,0.49459412693977356,0.3692302405834198,0.4984525740146637,True,5,Mid|5,NA3_delay2:000,237.0,4591.173533,Left|8,Mid|5 -> Left|8,0.0335110000005443,Mid,Left
237,Left,4591.173533,1361,4591.142025499999,217.8680000006352,1.449694297276879,0.5378209948539734,0.7941586375236511,0.5378209948539734,0.7941586375236511,True,8,Left|8,NA3_delay2:000,238.0,4591.374599,Mid|5,Left|8 -> Mid|5,0.20106599999962782,Left,Mid
244,Mid,4592.681528,1406,4592.6953455,137.17600000018138,0.5227456080269836,0.3607387642065684,0.5063137312730154,0.3598701357841491,0.5028222799301147,True,5,Mid|5,NA3_delay2:000,245.0,4592.949616,Dashboard|4,Mid|5 -> Dashboard|4,0.2680879999998069,Mid,Dashboard
246,Dashboard,4593.117171,1419,4593.1109085,181.55750000096305,1.3987718227522024,0.24041492988665894,0.5375311772028605,0.2412256747484207,0.5426095724105835,True,4,Dashboard|4,NA3_delay2:000,247.0,4593.318237,Mid|5,Dashboard|4 -> Mid|5,0.20106600000053731,Dashboard,Mid
258,Mid,4595.429431,1488,4595.4186985,137.1770000005199,1.4935785818672729,0.36834604740142823,0.4845516443252563,0.3672358691692352,0.4822999536991119,True,5,Mid|5,NA3_delay2:000,258.0,4595.429431,Left|6,Mid|5 -> Left|6,0.0,Mid,Left
258,Left,4595.429431,1488,4595.4186985,137.1770000005199,1.4935785818672729,0.8955451846122742,0.3656667470932007,0.8955451846122742,0.3656667470932007,True,6,Left|6,NA3_delay2:000,259.0,4595.563475,Mid|5,Left|6 -> Mid|5,0.1340440000003582,Left,Mid
264,Mid,4596.535295,1521,4596.5443515,161.3839999999982,1.433323204501762,0.30468469858169556,0.4679507911205292,0.3004847764968872,0.4697117209434509,True,4,Mid|4,NA3_delay2:000,264.0,4596.635828,Left|6,Mid|4 -> Left|6,0.1005330000007234,Mid,Left
264,Left,4596.635828,1524,4596.5443515,161.3839999999982,1.433323204501762,0.730144202709198,0.6152267456054688,0.730144202709198,0.6152267456054688,True,6,Left|6,NA3_delay2:000,265.0,4596.803383,Mid|4,Left|6 -> Mid|4,0.16755499999999302,Left,Mid
284,Mid,4601.02577,1655,4601.0388935,217.86799999972573,0.9605348510718924,0.23218225128948686,0.5486596673727036,0.2359686195850372,0.5425671339035034,True,4,Mid|4,NA3_delay2:000,284.0,4601.092792,Left|8,Mid|4 -> Left|8,0.0670220000001791,Mid,Left
284,Left,4601.092792,1657,4601.0388935,217.86799999972573,0.9605348510718924,0.4003422260284424,0.8511257171630859,0.4003422260284424,0.8511257171630859,True,8,Left|8,NA3_delay2:000,285.0,4601.260347,Mid|4,Left|8 -> Mid|4,0.16755499999999302,Left,Mid
288,Mid,4601.964079,1683,4601.966851,217.86799999972573,0.7522710402343915,0.2994756568223238,0.498329222202301,0.3151896297931671,0.4867227673530578,True,4,Mid|4,NA3_delay2:000,288.0,4602.131634,Left|2,Mid|4 -> Left|2,0.16755499999999302,Mid,Left
288,Left,4602.131634,1688,4601.966851,217.86799999972573,0.7522710402343915,0.4301363527774811,0.2007459849119186,0.4301363527774811,0.2007459849119186,True,2,Left|2,NA3_delay2:000,289.0,4602.265678,Dashboard|7,Left|2 -> Dashboard|7,0.13404399999944872,Left,Dashboard
