aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,9399,0.20092256771997072,0.20106600000053731
Mid|6,Mid|6,845,0.18976452544378974,0.20106600000008257
Mid|4,Mid|4,747,0.1913762784471168,0.20106600000008257
Mid|5,Mid|6,308,0.20748642532467995,0.20106600000008257
Dashboard|5,Dashboard|5,304,0.1652405164473856,0.16755499999999302
Mid|6,Mid|5,301,0.2221089667774138,0.23457699999971737
Dashboard|4,Dashboard|4,282,0.16387141489359713,0.16755499999999302
Mid|5,Mid|4,278,0.2054057985611694,0.20106600000053731
Mid|5,Dashboard|5,276,0.23530599637679947,0.23457700000017212
Mid|4,Mid|5,254,0.2135998897637486,0.20106600000053731
Dashboard|4,Mid|5,243,0.23209506995885276,0.23457700000017212
Dashboard|5,Mid|5,238,0.23697112184873814,0.23457700000017212
Mid|5,Dashboard|4,177,0.23874276271185485,0.23457700000017212
Dashboard|5,Dashboard|4,134,0.1593027686566794,0.13404799999989336
Left|8,Mid|5,121,0.11631223966944824,0.10053299999981391
Mid|5,Left|9,116,0.09966655172416754,0.06702299999983552
Mid|5,Left|8,114,0.10876384210525446,0.10053299999981391
Left|9,Mid|5,111,0.13132210810807682,0.10053400000015245
Dashboard|4,Dashboard|5,106,0.1691360188679628,0.16755499999999302
Dashboard|5,Left|4,81,0.08729422222216462,0.0670220000001791
Mid|2,Mid|2,57,0.16814328070176202,0.16755499999999302
Mid|5,Mid|2,49,0.20311828571424,0.20106600000008257
Left|4,Mid|5,48,0.19059420833334192,0.18431099999997969
Mid|5,Dashboard|8,48,0.2227088958333828,0.23457699999994475
Left|4,Dashboard|5,46,0.0728500434783121,0.06702199999995173
Mid|5,Left|3,46,0.11510308695649299,0.10053299999981391
Mid|5,Dashboard|7,46,0.23603421739129693,0.23457700000017212
Dashboard|5,Left|5,42,0.08537340476193224,0.0670220000001791
Left|6,Mid|5,42,0.13883133333333067,0.11728850000031343
Left|3,Mid|5,42,0.15000178571428824,0.10053299999981391
Mid|5,Left|6,40,0.14074627500001496,0.08377800000016578
Dashboard|4,Left|5,39,0.09709641025643251,0.10053299999981391
Dashboard|7,Dashboard|4,38,0.15432713157897046,0.16755499999999302
Mid|2,Mid|5,37,0.19925497297299444,0.20106599999962782
Dashboard|8,Dashboard|5,35,0.14361905714285966,0.1340440000003582
