aoi_id,next_aoi,transition_count,mean_duration,median_duration
Mid|5,Mid|5,8328,0.20811414313160698,0.20106700000178535
Mid|6,Mid|6,1670,0.20120674970076788,0.20106600000872277
Mid|2,Mid|2,1068,0.20523487453183278,0.20106700000087585
Mid|5,Mid|6,690,0.21160528550675886,0.20106600000872277
Mid|6,Mid|5,664,0.22190968222896043,0.20106700000178535
Mid|5,Mid|2,264,0.21718670075739446,0.23457299999995485
Mid|2,Mid|5,260,0.2129237230769765,0.2010680000003049
Mid|5,Dashboard|5,164,0.26338852438962523,0.23457700000017212
Dashboard|5,Mid|5,136,0.24418696323619862,0.23457700000017212
Dashboard|5,Dashboard|5,113,0.1625136548672932,0.16755499999999302
Left|8,Mid|5,90,0.11952204444444495,0.1340409999999963
Left|3,Mid|5,86,0.14300623255870581,0.11728750000006016
Mid|5,Left|3,82,0.11156708536616677,0.10053399999833346
Mid|5,Left|8,80,0.11393726250041283,0.10053399999992507
Mid|5,Left|9,56,0.16156976785739477,0.13404399999126326
Dashboard|4,Mid|5,56,0.22320724999969702,0.21782050000086883
Mid|5,Dashboard|4,51,0.23260566666645704,0.20106700000178535
Left|9,Mid|5,50,0.08511761999984514,0.0670220000001791
Left|3,Mid|2,45,0.11393782222221363,0.10053400000015245
Mid|5,Dashboard|8,44,0.2498096136377254,0.2513330000001588
Dashboard|5,Left|4,44,0.07768461363689932,0.06702199999972436
Dashboard|5,Dashboard|4,43,0.15196881395365042,0.13404500000001462
Mid|2,Left|3,39,0.09022192307693534,0.10053100000004633
Mid|2,Left|8,38,0.11464294736835032,0.13404450000007273
Mid|3,Mid|3,36,0.16104158333258548,0.16755900000015345
Left|2,Mid|5,34,0.16262726470528954,0.13404500000001462
Mid|5,Left|6,33,0.14013672727252863,0.06702199998835567
Dashboard|4,Dashboard|4,33,0.1584155757575445,0.16755499999999302
Left|4,Mid|5,33,0.19395778787838935,0.16755499999999302
Left|8,Mid|2,33,0.19089584848540936,0.10053099999998949
Left|6,Mid|5,31,0.11782783870999981,0.0670229999999492
Mid|5,Mid|4,30,0.23457676666677305,0.20106699999996636
Right|7,Mid|5,30,0.08042640000251898,0.06702200000290759
Left|6,Mid|2,30,0.17313963333331608,0.15079849999989392
Mid|4,Mid|5,29,0.2114649999989524,0.20106699999996636
Mid|2,Left|6,29,0.08782196551726135,0.06702300000051764
Mid|1,Mid|1,29,0.1687117241380065,0.20106200000003582
Mid|5,Left|2,28,0.10651739285680963,0.08377699999797983
Mid|4,Mid|4,28,0.18311339285728373,0.1675559999998768
Dashboard|8,Mid|5,28,0.25133264285698587,0.23457699999562465
Right|4,Mid|5,27,0.13776755555601397,0.06702200000290759
Mid|3,Mid|2,27,0.21596314814807674,0.1675559999999905
Mid|5,Right|7,27,0.10798018518548984,0.10053400001197588
Mid|6,Right|4,26,0.0863553461515144,0.06702199999404002
Right|4,Mid|6,24,0.1563848333316855,0.15079999999943539
Mid|2,Mid|3,24,0.15923770833333606,0.20106249999997772
Dashboard|4,Dashboard|5,23,0.1617269999999972,0.16755499999999302
Mid|5,Right|4,22,0.08225422727298337,0.06702200000131597
Left|3,Left|3,20,0.04021349999999302,0.0
Left|4,Dashboard|5,19,0.07584063157901255,0.06702199999972436
Mid|1,Mid|2,18,0.17314138888898217,0.16755600000033155
Right|8,Mid|5,18,0.1545233888913976,0.10053399999742396
Left|7,Mid|5,17,0.15388323529379022,0.1675520000000006
Dashboard|5,Left|5,17,0.08082070588012785,0.10053299998980947
Dashboard|8,Dashboard|5,16,0.13823299999913274,0.13404400000013084
Left|7,Dashboard|5,16,0.07958881250027616,0.06702199999995173
