aoi_id,Left|1,Left|2,Left|3,Left|4,Left|5,Left|6,Left|7,Left|8,Left|9,Mid|1,Mid|2,Mid|3,Mid|4,Mid|5,Mid|6,Mid|7,Mid|8,Mid|9,Right|1,Right|2,Right|3,Right|4,Right|5,Right|6,Right|7,Right|8,Right|9,Dashboard|1,Dashboard|2,Dashboard|3,Dashboard|4,Dashboard|5,Dashboard|6,Dashboard|7,Dashboard|8,Dashboard|9
Left|1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
Left|2,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0
Left|3,0.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,21.0,0.0,6.0,108.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0
Left|4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,0.0,5.0,0.0
Left|5,0.0,2.0,0.0,1.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,1.0,0.0
Left|6,0.0,1.0,2.0,1.0,1.0,14.0,0.0,0.0,1.0,1.0,16.0,2.0,14.0,71.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0
Left|7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
Left|8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,25.0,0.0,21.0,217.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Left|9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,19.0,0.0,7.0,0.0,22.0,177.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0
Mid|1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Mid|2,1.0,7.0,26.0,1.0,4.0,18.0,2.0,18.0,10.0,6.0,612.0,6.0,2.0,260.0,1.0,0.0,0.0,0.0,3.0,6.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,2.0,7.0,2.0
Mid|3,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mid|4,0.0,6.0,4.0,0.0,1.0,18.0,1.0,28.0,23.0,0.0,3.0,0.0,477.0,186.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,3.0,0.0
