fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
3,Mid,83063.967401,16,83063.96335199999,217.86850001080893,1.098935302907556,0.646429785660335,0.33907558236803326,0.6464163661003113,0.3398257791996002,True,5.0,Mid|5,NA1:NA1_delay3:000,3.0,83064.101445,Left|9,Mid|5 -> Left|9,0.13404399999126326,Mid,Left
3,Left,83064.101445,20,83063.96335199999,217.86850001080893,1.098935302907556,0.7015620470046997,0.7291269302368164,0.7015620470046997,0.7291269302368164,True,9.0,Left|9,NA1:NA1_delay3:000,4.0,83064.201978,Mid|5,Left|9 -> Mid|5,0.10053300000436138,Left,Mid
7,Mid,83064.771666,40,83064.76220249999,216.1425000085728,0.8031492342771533,0.6638766952923366,0.4268915184906551,0.6665623784065247,0.4291111826896667,True,5.0,Mid|5,NA1:NA1_delay3:000,7.0,83064.838688,Left|3,Mid|5 -> Left|3,0.06702200000290759,Mid,Left
7,Left,83064.838688,42,83064.76220249999,216.1425000085728,0.8031492342771533,0.747494101524353,0.096604635939002,0.825148344039917,0.0157672278583049,True,3.0,Left|3,NA1:NA1_delay3:000,8.0,83065.408376,Mid|6,Left|3 -> Mid|6,0.5696880000032252,Left,Mid
15,Mid,83066.983396,106,83066.9731645,201.7300000006799,0.812474853240446,0.6755561232566833,0.3996506375925882,0.670962393283844,0.4071053564548492,True,6.0,Mid|6,NA1:NA1_delay3:000,16.0,83067.586595,Right|5,Mid|6 -> Right|5,0.603199000004679,Mid,Right
16,Right,83067.586595,124,83067.578354,80.69200000318233,1.4219508426277434,0.6059377094109853,0.5072288711865743,0.488434761762619,0.430986613035202,True,5.0,Right|5,NA1:NA1_delay3:000,16.0,83067.586595,Left|1,Right|5 -> Left|1,0.0,Right,Left
16,Left,83067.586595,124,83067.578354,80.69200000318233,1.4219508426277434,0.28632492292672396,0.05005130916833875,0.556412935256958,0.0628271549940109,True,1.0,Left|1,NA1:NA1_delay3:000,17.0,83068.122772,Mid|2,Left|1 -> Mid|2,0.5361770000017714,Left,Mid
17,Mid,83068.122772,140,83068.118991,112.96900000888854,1.2164865048676046,0.629628598690033,0.1478129960596561,0.6165399551391602,0.1457660049200058,True,2.0,Mid|2,NA1:NA1_delay3:000,17.0,83068.156283,Left|2,Mid|2 -> Left|2,0.033511000001453795,Mid,Left
17,Left,83068.156283,141,83068.118991,112.96900000888854,1.2164865048676046,0.43582360446453094,0.0741038098931312,0.4388221502304077,0.1008626967668533,True,2.0,Left|2,NA1:NA1_delay3:000,18.0,83068.256816,Mid|6,Left|2 -> Mid|6,0.10053299998980947,Left,Mid
21,Mid,83068.625438,155,83068.6192815,161.38400000636466,1.0203873688530198,0.9052883585294088,0.46146243810653687,0.9087396264076232,0.4543467164039612,True,6.0,Mid|6,NA1:NA1_delay3:000,21.0,83068.725971,Left|3,Mid|6 -> Left|3,0.10053300000436138,Mid,Left
21,Left,83068.725971,158,83068.6192815,161.38400000636466,1.0203873688530198,0.7630842328071594,0.0288429204374551,0.7630842328071594,0.0288429204374551,True,3.0,Left|3,NA1:NA1_delay3:000,22.0,83068.893526,Mid|5,Left|3 -> Mid|5,0.16755499999271706,Left,Mid
28,Mid,83070.803657,220,83070.8100695,217.868499996257,1.42649188502448,0.5698159635066986,0.5218608900904655,0.5733366012573242,0.5104299783706665,True,5.0,Mid|5,NA1:NA1_delay3:000,30.0,83073.082408,Left|2,Mid|5 -> Left|2,2.278751000005286,Mid,Left
30,Left,83073.082408,288,83073.05734249999,193.66099999751896,1.3653665852010235,0.45430439710617065,0.0307996403425931,0.3397039175033569,0.0384344942867755,True,2.0,Left|2,NA1:NA1_delay3:000,30.0,83073.115919,Mid|5,Left|2 -> Mid|5,0.033511000001453795,Left,Mid
30,Mid,83073.115919,289,83073.05734249999,193.66099999751896,1.3653665852010235,0.4336219032605489,0.40673025449117023,0.2694015800952911,0.7103863954544067,True,5.0,Mid|5,NA1:NA1_delay3:000,31.0,83073.384008,Dashboard|6,Mid|5 -> Dashboard|6,0.268088999990141,Mid,Dashboard
32,Dashboard,83073.484541,300,83073.49307950001,189.6264999813866,1.3784023740303055,0.695629860673632,0.5254799979073661,0.7413215637207031,0.4898962378501892,True,6.0,Dashboard|6,NA1:NA1_delay3:000,32.0,83073.585074,Mid|4,Dashboard|6 -> Mid|4,0.10053300000436138,Dashboard,Mid
34,Mid,83074.523384,331,83074.48155649999,157.34950001933612,0.9623158913528248,0.48087190836668015,0.4320390000939369,0.5092378854751587,0.5161796808242798,True,5.0,Mid|5,NA1:NA1_delay3:000,34.0,83074.590406,Left|9,Mid|5 -> Left|9,0.06702200000290759,Mid,Left
34,Left,83074.590406,333,83074.48155649999,157.34950001933612,0.9623158913528248,0.6914239525794983,0.7339030504226685,0.6914239525794983,0.7339030504226685,True,9.0,Left|9,NA1:NA1_delay3:000,35.0,83074.690939,Dashboard|6,Left|9 -> Dashboard|6,0.10053299998980947,Left,Dashboard
35,Dashboard,83074.690939,336,83074.679252,209.7994999930961,1.4746924142010012,0.7992410234042576,0.6224635924611773,0.7969459295272827,0.6192681789398193,True,6.0,Dashboard|6,NA1:NA1_delay3:000,35.0,83074.72445,Left|4,Dashboard|6 -> Left|4,0.033511000001453795,Dashboard,Left
35,Left,83074.72445,337,83074.679252,209.7994999930961,1.4746924142010012,0.2542375326156616,0.426998883485794,0.2542375326156616,0.426998883485794,True,4.0,Left|4,NA1:NA1_delay3:000,35.0,83074.824983,Mid|4,Left|4 -> Mid|4,0.10053300000436138,Left,Mid
35,Mid,83074.824983,340,83074.679252,209.7994999930961,1.4746924142010012,0.19122707098722455,0.6245984435081482,0.1955257207155227,0.6188375949859619,True,4.0,Mid|4,NA1:NA1_delay3:000,36.0,83074.892005,Dashboard|6,Mid|4 -> Dashboard|6,0.06702200000290759,Mid,Dashboard
36,Dashboard,83074.892005,342,83074.893086,137.17649999307469,0.901733392941718,0.7905638694763184,0.5350051283836365,0.7925176620483398,0.5189241170883179,True,6.0,Dashboard|6,NA1:NA1_delay3:000,36.0,83074.892005,Mid|4,Dashboard|6 -> Mid|4,0.0,Dashboard,Mid
37,Mid,83075.428182,358,83075.3893415,217.86900000006423,1.2421304723724609,0.5394223779439926,0.4384145935376485,0.4155753254890442,0.5589474439620972,True,5.0,Mid|5,NA1:NA1_delay3:000,37.0,83075.495204,Left|8,Mid|5 -> Left|8,0.06702200000290759,Mid,Left
37,Left,83075.495204,360,83075.3893415,217.86900000006423,1.2421304723724609,0.4379207491874695,0.7911108136177063,0.4379207491874695,0.7911108136177063,True,8.0,Left|8,NA1:NA1_delay3:000,38.0,83075.729782,Dashboard|6,Left|8 -> Dashboard|6,0.23457799998868722,Left,Dashboard
38,Dashboard,83075.729782,367,83075.720179,129.1075000044657,1.4395023992221756,0.8221909165382385,0.5296499967575073,0.8172703981399536,0.5546455383300781,True,6.0,Dashboard|6,NA1:NA1_delay3:000,38.0,83075.796804,Left|5,Dashboard|6 -> Left|5,0.06702200000290759,Dashboard,Left
