fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
0,Dashboard,522967.863231,19,522967.8531695,92.79500000411645,0.6605988659036963,0.7304083903630575,0.7942630847295126,0.7299879193305969,0.7943553924560547,True,9,Dashboard|9,000,0.0,522967.863231,Mid|2,Dashboard|9 -> Mid|2,0.0,Dashboard,Mid
1,Mid,522967.963762,22,522967.9661375,181.5564999706112,1.494890002098766,0.5791074335575104,0.07239251087109243,0.5800095200538635,0.0698218867182731,True,2,Mid|2,000,1.0,522967.963762,Dashboard|9,Mid|2 -> Dashboard|9,0.0,Mid,Dashboard
1,Dashboard,522967.963762,22,522967.9661375,181.5564999706112,1.494890002098766,0.7421090006828308,0.8409827748934428,0.7447366714477539,0.8442100882530212,True,9,Dashboard|9,000,1.0,522968.064293,Left|2,Dashboard|9 -> Left|2,0.10053099994547665,Dashboard,Left
1,Left,522968.064293,25,522967.9661375,181.5564999706112,1.494890002098766,0.4322838485240936,0.1170624122023582,0.4322838485240936,0.1170624122023582,True,2,Left|2,000,2.0,522968.164824,Mid|2,Left|2 -> Mid|2,0.10053100000368431,Left,Mid
2,Mid,522968.164824,28,522968.1517285,92.79549994971605,0.5435305879599621,0.5793108940124512,0.11206268519163126,0.5796598196029663,0.1112872809171676,True,2,Mid|2,000,2.0,522968.164824,Dashboard|9,Mid|2 -> Dashboard|9,0.0,Mid,Dashboard
2,Dashboard,522968.164824,28,522968.1517285,92.79549994971605,0.5435305879599621,0.7477953433990479,0.9314192533493042,0.7489868402481079,0.9337862133979796,True,9,Dashboard|9,000,2.0,522968.198335,Left|2,Dashboard|9 -> Left|2,0.03351100004510954,Dashboard,Left
2,Left,522968.198335,29,522968.1517285,92.79549994971605,0.5435305879599621,0.3978094160556793,0.0840126499533653,0.3978094160556793,0.0840126499533653,True,2,Left|2,000,3.0,522968.265356,Mid|2,Left|2 -> Mid|2,0.06702099996618927,Left,Mid
3,Mid,522968.265356,31,522968.2727665,117.0024999883026,0.7805129137500773,0.591237735748291,0.08584707528352732,0.5900622010231018,0.0858293697237968,True,2,Mid|2,000,3.0,522968.265356,Dashboard|9,Mid|2 -> Dashboard|9,0.0,Mid,Dashboard
3,Dashboard,522968.265356,31,522968.2727665,117.0024999883026,0.7805129137500773,0.7745466709136963,0.8681179761886597,0.7745283246040344,0.8662537336349487,True,9,Dashboard|9,000,3.0,522968.265356,Left|1,Dashboard|9 -> Left|1,0.0,Dashboard,Left
3,Left,522968.265356,31,522968.2727665,117.0024999883026,0.7805129137500773,0.20062989741563797,0.12574303150177,0.2259404361248016,0.1142636388540268,True,1,Left|1,000,4.0,522968.399397,Mid|2,Left|1 -> Mid|2,0.1340409999829717,Left,Mid
