pattern_id,proto_window_idx,prototype,n_occurrences,occurrence_indices
1,81,"[[ 6.56361520e-01  1.08705389e+00]
 [-2.94076514e+00  2.41152811e+00]
 [-4.43095255e+00  3.91625911e-01]
 [-2.07254529e+00  5.43634832e-01]
 [ 7.03883553e+00 -1.37014163e+00]
 [ 1.91524541e+00  7.39180386e-01]
 [ 1.80561523e+01 -1.36315489e+00]
 [ 4.51333885e+01 -7.06738615e+00]
 [ 4.43731594e+00 -9.16630179e-02]
 [-2.21284032e+00  1.27292049e+00]
 [ 3.38541436e+00  5.04497550e-02]
 [ 6.95627928e+00  2.71160984e+00]
 [ 2.35922890e+01  8.42882347e+00]
 [ 7.30451584e+00  2.57115984e+00]
 [ 3.15696597e+00  1.19585371e+00]
 [ 2.50745034e+00  8.15144479e-01]
 [ 2.58108640e+00  1.49873555e+00]
 [ 2.61667156e+00  1.99042666e+00]
 [ 8.82933140e+00  5.27036238e+00]
 [ 4.39901447e+00  2.55195093e+00]
 [ 2.14287162e+00  1.13246429e+00]
 [ 3.14887381e+00  1.54587603e+00]
 [ 1.76776862e+00  1.17750537e+00]
 [ 2.77356124e+00  1.38741529e+00]
 [ 3.99597406e+00  5.51054895e-01]
 [-1.95578468e+00  1.39961362e+00]
 [ 3.15129423e+00  2.61556525e-02]
 [-2.99914336e+00 -5.30542254e-01]
 [ 4.95000029e+00  1.48425078e+00]
 [ 4.97679806e+00  1.66778362e+00]
 [ 2.73118544e+00  1.26324761e+00]
 [ 2.15685701e+00  9.96926665e-01]
 [ 1.74243391e+00  8.18904638e-01]
 [-2.10413265e+00 -9.22400117e-01]
 [ 1.91186905e+00  1.00110126e+00]
 [-3.86327565e-01 -1.76608711e-01]
 [-5.80983448e+00 -2.45964479e+00]
 [ 2.98018312e+00  1.40739763e+00]
 [-9.69398689e+00  1.47113040e-01]
 [ 2.83641070e-01  3.95728081e-01]
 [ 2.84605950e-01  4.18895185e-01]
 [ 2.80632913e-01  4.23999071e-01]]",13,[  4   9  10  15  17  18  40  72  81  97 148 149 221]
2,80,"[[ 5.15236735e-01  1.00300050e+00]
 [ 7.88665235e-01 -9.25708890e-01]
 [ 5.38533449e-01  1.00145423e+00]
 [ 5.16652346e-01  1.00516093e+00]
 [ 7.94615567e-01 -9.30305183e-01]
 [ 8.20267081e-01 -9.31172073e-01]
 [ 5.42420149e-01  1.00425029e+00]
 [ 8.29583287e-01 -9.29523468e-01]
 [ 8.40847373e-01 -9.22967911e-01]
 [ 5.56276083e-01  1.01739299e+00]
 [ 6.56361520e-01  1.08705389e+00]
 [-2.94076514e+00  2.41152811e+00]
 [-4.43095255e+00  3.91625911e-01]
 [-2.07254529e+00  5.43634832e-01]
 [ 7.03883553e+00 -1.37014163e+00]
 [ 1.91524541e+00  7.39180386e-01]
 [ 1.80561523e+01 -1.36315489e+00]
 [ 4.51333885e+01 -7.06738615e+00]
 [ 4.43731594e+00 -9.16630179e-02]
 [-2.21284032e+00  1.27292049e+00]
 [ 3.38541436e+00  5.04497550e-02]
 [ 6.95627928e+00  2.71160984e+00]
 [ 2.35922890e+01  8.42882347e+00]
 [ 7.30451584e+00  2.57115984e+00]
 [ 3.15696597e+00  1.19585371e+00]
 [ 2.50745034e+00  8.15144479e-01]
 [ 2.58108640e+00  1.49873555e+00]
 [ 2.61667156e+00  1.99042666e+00]
 [ 8.82933140e+00  5.27036238e+00]
 [ 4.39901447e+00  2.55195093e+00]
 [ 2.14287162e+00  1.13246429e+00]
 [ 3.14887381e+00  1.54587603e+00]
 [ 1.76776862e+00  1.17750537e+00]
 [ 2.77356124e+00  1.38741529e+00]
 [ 3.99597406e+00  5.51054895e-01]
 [-1.95578468e+00  1.39961362e+00]
 [ 3.15129423e+00  2.61556525e-02]
 [-2.99914336e+00 -5.30542254e-01]
 [ 4.95000029e+00  1.48425078e+00]
 [ 4.97679806e+00  1.66778362e+00]
 [ 2.73118544e+00  1.26324761e+00]
 [ 2.15685701e+00  9.96926665e-01]]",13,[  3   5   6   7  14  16  71  75  80  95  96 147 220]
3,79,"[[ 0.51575857  0.99494523]
 [ 0.79193854 -0.9243573 ]
 [ 0.79738581 -0.93509316]
 [ 0.51506692  0.99390405]
 [ 0.51478684  0.99441457]
 [ 0.79932857 -0.94212162]
 [ 0.78778577 -0.92274994]
 [ 0.51458746  0.99898261]
 [ 0.51045012  1.00147855]
 [ 0.78732449 -0.92487234]
 [ 0.51523674  1.0030005 ]
 [ 0.78866524 -0.92570889]
 [ 0.53853345  1.00145423]
 [ 0.51665235  1.00516093]
 [ 0.79461557 -0.93030518]
 [ 0.82026708 -0.93117207]
 [ 0.54242015  1.00425029]
 [ 0.82958329 -0.92952347]
 [ 0.84084737 -0.92296791]
 [ 0.55627608  1.01739299]
 [ 0.65636152  1.08705389]
 [-2.94076514  2.41152811]
 [-4.43095255  0.39162591]
 [-2.07254529  0.54363483]
 [ 7.03883553 -1.37014163]
 [ 1.91524541  0.73918039]
 [18.05615234 -1.36315489]
 [45.13338852 -7.06738615]
 [ 4.43731594 -0.09166302]
 [-2.21284032  1.27292049]
 [ 3.38541436  0.05044976]
 [ 6.95627928  2.71160984]
 [23.59228897  8.42882347]
 [ 7.30451584  2.57115984]
 [ 3.15696597  1.19585371]
 [ 2.50745034  0.81514448]
 [ 2.5810864   1.49873555]
 [ 2.61667156  1.99042666]
 [ 8.8293314   5.27036238]
 [ 4.39901447  2.55195093]
 [ 2.14287162  1.13246429]
 [ 3.14887381  1.54587603]]",14,[  2  13  26  27  30  37  38  68  70  74  79  94 146 219]
4,78,"[[ 0.79158062 -0.93258631]
 [ 0.5067659   1.01053405]
 [ 0.51073325  1.01074505]
 [ 0.78917992 -0.92376608]
 [ 0.79098952 -0.92242008]
 [ 0.5104683   1.01295149]
 [ 0.79045469 -0.9176473 ]
 [ 0.79703695 -0.92763203]
 [ 0.51585954  0.99344951]
 [ 0.51050764  1.01449108]
 [ 0.51575857  0.99494523]
 [ 0.79193854 -0.9243573 ]
 [ 0.79738581 -0.93509316]
 [ 0.51506692  0.99390405]
 [ 0.51478684  0.99441457]
 [ 0.79932857 -0.94212162]
 [ 0.78778577 -0.92274994]
 [ 0.51458746  0.99898261]
 [ 0.51045012  1.00147855]
 [ 0.78732449 -0.92487234]
 [ 0.51523674  1.0030005 ]
 [ 0.78866524 -0.92570889]
 [ 0.53853345  1.00145423]
 [ 0.51665235  1.00516093]
 [ 0.79461557 -0.93030518]
 [ 0.82026708 -0.93117207]
 [ 0.54242015  1.00425029]
 [ 0.82958329 -0.92952347]
 [ 0.84084737 -0.92296791]
 [ 0.55627608  1.01739299]
 [ 0.65636152  1.08705389]
 [-2.94076514  2.41152811]
 [-4.43095255  0.39162591]
 [-2.07254529  0.54363483]
 [ 7.03883553 -1.37014163]
 [ 1.91524541  0.73918039]
 [18.05615234 -1.36315489]
 [45.13338852 -7.06738615]
 [ 4.43731594 -0.09166302]
 [-2.21284032  1.27292049]
 [ 3.38541436  0.05044976]
 [ 6.95627928  2.71160984]]",14,[ 12  24  25  28  29  67  69  73  78  99 176 181 218 224]
5,82,"[[ 3.38541436  0.05044976]
 [ 6.95627928  2.71160984]
 [23.59228897  8.42882347]
 [ 7.30451584  2.57115984]
 [ 3.15696597  1.19585371]
 [ 2.50745034  0.81514448]
 [ 2.5810864   1.49873555]
 [ 2.61667156  1.99042666]
 [ 8.8293314   5.27036238]
 [ 4.39901447  2.55195093]
 [ 2.14287162  1.13246429]
 [ 3.14887381  1.54587603]
 [ 1.76776862  1.17750537]
 [ 2.77356124  1.38741529]
 [ 3.99597406  0.55105489]
 [-1.95578468  1.39961362]
 [ 3.15129423  0.02615565]
 [-2.99914336 -0.53054225]
 [ 4.95000029  1.48425078]
 [ 4.97679806  1.66778362]
 [ 2.73118544  1.26324761]
 [ 2.15685701  0.99692667]
 [ 1.74243391  0.81890464]
 [-2.10413265 -0.92240012]
 [ 1.91186905  1.00110126]
 [-0.38632756 -0.17660871]
 [-5.80983448 -2.45964479]
 [ 2.98018312  1.40739763]
 [-9.69398689  0.14711304]
 [ 0.28364107  0.39572808]
 [ 0.28460595  0.41889518]
 [ 0.28063291  0.42399907]
 [ 0.28094476  0.42431274]
 [ 0.28154626  0.41795781]
 [ 0.24165626 -0.62384701]
 [ 0.24315694 -0.63046896]
 [ 0.24434982 -0.63475484]
 [ 0.26521522 -0.57553148]
 [ 0.25786066 -0.57218975]
 [ 4.72620916 -5.7583046 ]
 [ 0.25089121 -0.56874514]
 [ 0.24683873 -0.56453562]]",14,[  8  11  19  20  41  76  82  89  91  98 150 151 172 222]
6,83,"[[ 2.14287162  1.13246429]
 [ 3.14887381  1.54587603]
 [ 1.76776862  1.17750537]
 [ 2.77356124  1.38741529]
 [ 3.99597406  0.55105489]
 [-1.95578468  1.39961362]
 [ 3.15129423  0.02615565]
 [-2.99914336 -0.53054225]
 [ 4.95000029  1.48425078]
 [ 4.97679806  1.66778362]
 [ 2.73118544  1.26324761]
 [ 2.15685701  0.99692667]
 [ 1.74243391  0.81890464]
 [-2.10413265 -0.92240012]
 [ 1.91186905  1.00110126]
 [-0.38632756 -0.17660871]
 [-5.80983448 -2.45964479]
 [ 2.98018312  1.40739763]
 [-9.69398689  0.14711304]
 [ 0.28364107  0.39572808]
 [ 0.28460595  0.41889518]
 [ 0.28063291  0.42399907]
 [ 0.28094476  0.42431274]
 [ 0.28154626  0.41795781]
 [ 0.24165626 -0.62384701]
 [ 0.24315694 -0.63046896]
 [ 0.24434982 -0.63475484]
 [ 0.26521522 -0.57553148]
 [ 0.25786066 -0.57218975]
 [ 4.72620916 -5.7583046 ]
 [ 0.25089121 -0.56874514]
 [ 0.24683873 -0.56453562]
 [ 0.24538231 -0.56473613]
 [ 0.0796619   2.23976564]
 [ 0.24389018 -0.56173313]
 [ 0.24302861 -0.56328857]
 [ 0.24170965 -0.56573886]
 [ 0.2107335  -0.52839684]
 [ 0.21125808 -0.52960783]
 [ 0.21172759 -0.52662796]
 [ 0.21233995 -0.52697229]
 [ 0.21386781 -0.52668977]]",14,[ 21  42  56  83  92 100 103 125 169 171 206 211 212 228]
7,84,"[[ 2.73118544  1.26324761]
 [ 2.15685701  0.99692667]
 [ 1.74243391  0.81890464]
 [-2.10413265 -0.92240012]
 [ 1.91186905  1.00110126]
 [-0.38632756 -0.17660871]
 [-5.80983448 -2.45964479]
 [ 2.98018312  1.40739763]
 [-9.69398689  0.14711304]
 [ 0.28364107  0.39572808]
 [ 0.28460595  0.41889518]
 [ 0.28063291  0.42399907]
 [ 0.28094476  0.42431274]
 [ 0.28154626  0.41795781]
 [ 0.24165626 -0.62384701]
 [ 0.24315694 -0.63046896]
 [ 0.24434982 -0.63475484]
 [ 0.26521522 -0.57553148]
 [ 0.25786066 -0.57218975]
 [ 4.72620916 -5.7583046 ]
 [ 0.25089121 -0.56874514]
 [ 0.24683873 -0.56453562]
 [ 0.24538231 -0.56473613]
 [ 0.0796619   2.23976564]
 [ 0.24389018 -0.56173313]
 [ 0.24302861 -0.56328857]
 [ 0.24170965 -0.56573886]
 [ 0.2107335  -0.52839684]
 [ 0.21125808 -0.52960783]
 [ 0.21172759 -0.52662796]
 [ 0.21233995 -0.52697229]
 [ 0.21386781 -0.52668977]
 [ 0.2142676  -0.52448767]
 [ 0.21698315 -0.52548152]
 [ 0.21765392 -0.53040463]
 [ 0.21321227 -0.53493994]
 [-0.13943587  2.66391802]
 [ 0.21159622  1.97873271]
 [ 0.2165935  -0.52557272]
 [ 0.21149422 -0.53817797]
 [ 0.21029374 -0.53568184]
 [ 0.20956627 -0.53480905]]",13,[ 57  60  63  84 104 108 126 137 170 207 210 213 229]
8,199,"[[-0.23284426  2.91602874]
 [ 0.04442274  0.66923857]
 [-0.20527542  2.770468  ]
 [ 0.27779284  0.58926404]
 [ 0.02791494  0.68081391]
 [-0.23067334  2.9094367 ]
 [ 0.33441281  0.59649104]
 [-0.22915429  2.92982697]
 [-0.20413963  2.82192945]
 [ 0.36576653  0.59935457]
 [-0.23167379  3.03499746]
 [ 0.18590617  0.86818922]
 [ 0.43309599  3.09158802]
 [ 0.44637504  2.98557043]
 [ 0.18369803  0.86170936]
 [ 0.188022    0.85555589]
 [ 0.35358247  3.37327266]
 [ 0.42260948  3.14013863]
 [ 0.19626705  0.85089958]
 [ 0.19178537  0.86850905]
 [ 0.42278892  3.15702343]
 [ 0.45657936  3.00048494]
 [ 0.2018556   0.8647573 ]
 [ 0.21102004  0.86261666]
 [ 0.37262589  3.40258217]
 [ 0.21969153  0.86113429]
 [ 0.28270119  3.5956459 ]
 [ 0.29543069  3.55503321]
 [ 0.19489169  0.89090061]
 [ 0.44170412  3.11232257]
 [ 0.20656608  0.8901155 ]
 [ 0.22050288  0.88931   ]
 [ 0.30141917  3.78122687]
 [ 0.26221973  3.82324338]
 [ 0.23201141  0.88496751]
 [ 0.18158816  0.89232117]
 [ 0.18879674  0.88824391]
 [-0.05194324  5.31897116]
 [ 0.19328509  0.88712066]
 [ 0.19800553  0.88298339]
 [ 0.38321185  3.2947154 ]
 [ 0.39014968  3.29594326]]",13,[155 156 162 163 164 166 189 190 195 196 197 198 199]
9,200,"[[-0.23167379  3.03499746]
 [ 0.18590617  0.86818922]
 [ 0.43309599  3.09158802]
 [ 0.44637504  2.98557043]
 [ 0.18369803  0.86170936]
 [ 0.188022    0.85555589]
 [ 0.35358247  3.37327266]
 [ 0.42260948  3.14013863]
 [ 0.19626705  0.85089958]
 [ 0.19178537  0.86850905]
 [ 0.42278892  3.15702343]
 [ 0.45657936  3.00048494]
 [ 0.2018556   0.8647573 ]
 [ 0.21102004  0.86261666]
 [ 0.37262589  3.40258217]
 [ 0.21969153  0.86113429]
 [ 0.28270119  3.5956459 ]
 [ 0.29543069  3.55503321]
 [ 0.19489169  0.89090061]
 [ 0.44170412  3.11232257]
 [ 0.20656608  0.8901155 ]
 [ 0.22050288  0.88931   ]
 [ 0.30141917  3.78122687]
 [ 0.26221973  3.82324338]
 [ 0.23201141  0.88496751]
 [ 0.18158816  0.89232117]
 [ 0.18879674  0.88824391]
 [-0.05194324  5.31897116]
 [ 0.19328509  0.88712066]
 [ 0.19800553  0.88298339]
 [ 0.38321185  3.2947154 ]
 [ 0.39014968  3.29594326]
 [ 0.17811823  0.89370513]
 [ 0.17851949  0.88287574]
 [ 0.1817877   0.86487085]
 [-0.13014139  3.43993235]
 [ 0.16893771  0.19824654]
 [ 0.16755958  0.20139036]
 [-0.13567084  3.46728444]
 [-0.13481282  3.46545315]
 [ 0.16906482  0.2040021 ]
 [ 0.16756532  0.20364437]]",13,[ 22  33  34 157 158 160 161 167 173 174 191 193 200]
10,201,"[[ 0.42278892  3.15702343]
 [ 0.45657936  3.00048494]
 [ 0.2018556   0.8647573 ]
 [ 0.21102004  0.86261666]
 [ 0.37262589  3.40258217]
 [ 0.21969153  0.86113429]
 [ 0.28270119  3.5956459 ]
 [ 0.29543069  3.55503321]
 [ 0.19489169  0.89090061]
 [ 0.44170412  3.11232257]
 [ 0.20656608  0.8901155 ]
 [ 0.22050288  0.88931   ]
 [ 0.30141917  3.78122687]
 [ 0.26221973  3.82324338]
 [ 0.23201141  0.88496751]
 [ 0.18158816  0.89232117]
 [ 0.18879674  0.88824391]
 [-0.05194324  5.31897116]
 [ 0.19328509  0.88712066]
 [ 0.19800553  0.88298339]
 [ 0.38321185  3.2947154 ]
 [ 0.39014968  3.29594326]
 [ 0.17811823  0.89370513]
 [ 0.17851949  0.88287574]
 [ 0.1817877   0.86487085]
 [-0.13014139  3.43993235]
 [ 0.16893771  0.19824654]
 [ 0.16755958  0.20139036]
 [-0.13567084  3.46728444]
 [-0.13481282  3.46545315]
 [ 0.16906482  0.2040021 ]
 [ 0.16756532  0.20364437]
 [-0.13235438  3.45046353]
 [ 0.10327537  0.83253956]
 [ 0.43181336 -0.92253041]
 [ 0.10831244  0.83152652]
 [ 0.44460422 -0.91855878]
 [ 0.44526818 -0.92294854]
 [ 0.11521047  0.82621467]
 [ 0.12311113  0.82529229]
 [ 0.45372322 -0.93725038]
 [ 0.46452186 -0.91785008]]",12,[ 23  35  36  39  90  93 159 168 175 192 194 201]
