aoi_id,Surface 1|1,Surface 1|2,Surface 1|3,Surface 1|4,Surface 1|5,Surface 1|6,Surface 1|7,Surface 1|8,Surface 1|9,Surface 2|1,Surface 2|2,Surface 2|3,Surface 2|4,Surface 2|5,Surface 2|6,Surface 2|7,Surface 2|8,Surface 2|9
Surface 1|1,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,0.0,0
Surface 1|2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 1|3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 1|4,0.0,0.0,0,8.0,0.0,0.0,5.0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0.0,0
Surface 1|5,0.0,1.0,0,0.0,11.0,0.0,2.0,2.0,0.0,0,0,0,0.0,0.0,0,1.0,0.0,0
Surface 1|6,0.0,0.0,0,0.0,2.0,10.0,0.0,2.0,1.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 1|7,1.0,0.0,0,4.0,2.0,1.0,35.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 1|8,1.0,0.0,0,1.0,0.0,1.0,3.0,9.0,2.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 1|9,0.0,0.0,0,1.0,1.0,3.0,0.0,0.0,9.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 2|1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 2|2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 2|3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 2|4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,0.0,0
Surface 2|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0,0.0,1.0,0
Surface 2|6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
Surface 2|7,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1.0,1.0,0,46.0,0.0,0
Surface 2|8,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0
Surface 2|9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0
