fixation_id,aoi_id,world_timestamp,next_fixation_id,next_aoi,next_world_timestamp,transition_duration,transition
8,Surface 1|Bottom-Center,1473652.891088,9.0,Surface 1|Bottom-Center,1473652.958109,0.06702099996618927,Surface 1|Bottom-Center → Surface 1|Bottom-Center
9,Surface 1|Bottom-Center,1473652.958109,10.0,Surface 1|Bottom-Center,1473653.125661,0.16755199991166592,Surface 1|Bottom-Center → Surface 1|Bottom-Center
10,Surface 1|Bottom-Center,1473653.125661,11.0,Surface 1|Bottom-Right,1473653.259702,0.13404100015759468,Surface 1|Bottom-Center → Surface 1|Bottom-Right
11,Surface 1|Bottom-Right,1473653.259702,12.0,Surface 1|Bottom-Right,1473653.460765,0.2010629998985678,Surface 1|Bottom-Right → Surface 1|Bottom-Right
12,Surface 1|Bottom-Right,1473653.460765,13.0,Surface 1|Bottom-Right,1473653.695337,0.23457200010307133,Surface 1|Bottom-Right → Surface 1|Bottom-Right
13,Surface 1|Bottom-Right,1473653.695337,14.0,Surface 1|Bottom-Right,1473653.8964,0.2010629998985678,Surface 1|Bottom-Right → Surface 1|Bottom-Right
14,Surface 1|Bottom-Right,1473653.8964,15.0,Surface 1|Bottom-Right,1473654.130973,0.23457300011068583,Surface 1|Bottom-Right → Surface 1|Bottom-Right
15,Surface 1|Bottom-Right,1473654.130973,16.0,Surface 1|Bottom-Right,1473654.265014,0.13404099992476404,Surface 1|Bottom-Right → Surface 1|Bottom-Right
16,Surface 1|Bottom-Right,1473654.265014,17.0,Surface 1|Bottom-Right,1473654.399056,0.13404199993237853,Surface 1|Bottom-Right → Surface 1|Bottom-Right
17,Surface 1|Bottom-Right,1473654.399056,18.0,Surface 1|Bottom-Right,1473654.633629,0.23457300011068583,Surface 1|Bottom-Right → Surface 1|Bottom-Right
18,Surface 1|Bottom-Right,1473654.633629,19.0,Surface 1|Bottom-Right,1473654.700649,0.06701999995857477,Surface 1|Bottom-Right → Surface 1|Bottom-Right
19,Surface 1|Bottom-Right,1473654.700649,22.0,Surface 1|Middle-Right,1473656.342659,1.6420100000686944,Surface 1|Bottom-Right → Surface 1|Middle-Right
22,Surface 1|Middle-Right,1473656.342659,23.0,Surface 1|Bottom-Right,1473656.376169,0.033509999979287386,Surface 1|Middle-Right → Surface 1|Bottom-Right
23,Surface 1|Bottom-Right,1473656.376169,24.0,Surface 1|Bottom-Right,1473656.476701,0.10053199995309114,Surface 1|Bottom-Right → Surface 1|Bottom-Right
24,Surface 1|Bottom-Right,1473656.476701,25.0,Surface 1|Middle-Right,1473656.577232,0.10053099994547665,Surface 1|Bottom-Right → Surface 1|Middle-Right
25,Surface 1|Middle-Right,1473656.577232,26.0,Surface 1|Middle-Center,1473656.744784,0.16755200014449656,Surface 1|Middle-Right → Surface 1|Middle-Center
26,Surface 1|Middle-Center,1473656.744784,27.0,Surface 1|Middle-Right,1473656.945846,0.2010619998909533,Surface 1|Middle-Center → Surface 1|Middle-Right
27,Surface 1|Middle-Right,1473656.945846,28.0,Surface 1|Middle-Center,1473657.180419,0.23457300011068583,Surface 1|Middle-Right → Surface 1|Middle-Center
28,Surface 1|Middle-Center,1473657.180419,29.0,Surface 1|Bottom-Left,1473657.482013,0.30159399984404445,Surface 1|Middle-Center → Surface 1|Bottom-Left
29,Surface 1|Bottom-Left,1473657.482013,30.0,Surface 1|Bottom-Left,1473657.582544,0.10053099994547665,Surface 1|Bottom-Left → Surface 1|Bottom-Left
30,Surface 1|Bottom-Left,1473657.582544,31.0,Surface 1|Bottom-Left,1473657.817117,0.23457300011068583,Surface 1|Bottom-Left → Surface 1|Bottom-Left
31,Surface 1|Bottom-Left,1473657.817117,32.0,Surface 1|Middle-Right,1473658.0852,0.2680830000899732,Surface 1|Bottom-Left → Surface 1|Middle-Right
32,Surface 1|Middle-Right,1473658.0852,33.0,Surface 1|Middle-Right,1473658.286262,0.2010619998909533,Surface 1|Middle-Right → Surface 1|Middle-Right
33,Surface 1|Middle-Right,1473658.286262,34.0,Surface 1|Middle-Right,1473658.520835,0.23457300011068583,Surface 1|Middle-Right → Surface 1|Middle-Right
34,Surface 1|Middle-Right,1473658.520835,35.0,Surface 1|Middle-Right,1473658.755408,0.23457299987785518,Surface 1|Middle-Right → Surface 1|Middle-Right
35,Surface 1|Middle-Right,1473658.755408,36.0,Surface 1|Middle-Right,1473658.889449,0.13404099992476404,Surface 1|Middle-Right → Surface 1|Middle-Right
36,Surface 1|Middle-Right,1473658.889449,37.0,Surface 1|Middle-Right,1473659.124022,0.23457300011068583,Surface 1|Middle-Right → Surface 1|Middle-Right
37,Surface 1|Middle-Right,1473659.124022,38.0,Surface 1|Middle-Right,1473659.325085,0.2010629998985678,Surface 1|Middle-Right → Surface 1|Middle-Right
38,Surface 1|Middle-Right,1473659.325085,39.0,Surface 1|Middle-Right,1473659.559657,0.23457200010307133,Surface 1|Middle-Right → Surface 1|Middle-Right
39,Surface 1|Middle-Right,1473659.559657,40.0,Surface 1|Middle-Right,1473659.79423,0.23457300011068583,Surface 1|Middle-Right → Surface 1|Middle-Right
